obs_ID,study_ID,year_pub,es,var
obs001,38,2008,-2.20541179,1
obs002,38,2008,-1.057876896,1
obs003,1083,2014,1.345244277,0.5
obs004,41,2014,-1.514557274,0.142857143
obs005,17,2009,-0.567891772,0.111111111
obs006,42,2015,-0.845053723,0.111111111
obs007,42,2015,-0.515657675,0.111111111
obs008,17,2009,-2.243743934,0.111111111
obs009,41,2014,-1.635369982,0.090909091
obs010,33,2014,-1.040171504,0.09090909
obs011,33,2014,-1.178671634,0.09090909
obs012,70,2012,-0.490317473,0.09090909
obs013,1083,2014,-0.604678398,0.083333333
obs014,95,2008,0.864502029,0.07692308
obs015,95,2008,-1.768075502,0.076923077
obs016,90,2015,-0.801421658,0.076923077
obs017,67,2012,0.159451623,0.066666667
obs018,43,2005,-0.04475121,0.0625
obs019,23,2007,-0.398200186,0.05
obs020,44,2007,-0.808758695,0.05
obs021,44,2007,-0.822285092,0.05
obs022,54,2008,-0.106766378,0.04761905
obs023,16,2009,-0.030817323,0.03846154
obs024,85,2011,0.159451623,0.066666667
obs025,110,2008,-0.356094037,0.02564103
obs026,1096,2010,-0.079723424,0.02040816
obs027,43,2005,0.031633324,0.015873016
obs028,131,2007,-0.290769289,0.01315789
obs029,424,2008,-0.320928423,0.011111111
obs030,424,2008,-1.177277759,0.142857143
obs031,394,2007,2.203546199,0.1666667
obs032,401,2005,0.339103958,0.333333
obs033,401,2005,-0.40046091,0.333333
obs034,401,2005,-0.176389217,0.333333
obs035,401,2005,-0.290115409,0.333333
obs036,285,2012,-1.711408723,0.25
obs037,285,2012,-0.790626843,0.25
obs038,285,2012,-1.703666972,0.25
obs039,285,2012,-1.671269876,0.25
obs040,285,2012,-1.608398888,0.25
obs041,285,2012,-1.703666972,0.25
obs042,990,2011,-1.465023888,0.25
obs043,990,2011,-2.284970995,0.25
obs044,1143,2012,-0.165710557,0.2
obs045,296,2006,-0.029999495,0.02439024
obs046,296,2006,-0.048130478,0.02439024
obs047,417,2002,-0.318732265,0.125
obs048,300,2011,-0.501503856,0.090909
obs049,1010,2013,-0.826368397,0.090909
obs050,1020,2007,-0.257420141,0.090909
obs051,283,2012,-0.678988216,0.076923
obs052,283,2012,0.444755785,0.076923
obs053,417,2002,-0.51475972,0.066667
obs054,338,2006,-0.635050769,0.058824
obs055,420,2008,-1.58686188,0.055556
obs056,992,2015,-0.604909715,0.047619
obs057,300,2011,-0.630695753,0.034483
obs058,1021,2011,2.229923184,0.032258
obs059,998,2003,-1.186718326,0.032258
obs060,998,2003,-1.502246696,0.032258
obs061,998,2003,-1.459070937,0.03125
obs062,276,2009,0.308443101,0.027778
obs063,999,2005,-1.14725324,0.02381
obs064,328,2011,0.099943203,0.02325581
obs065,992,2015,-0.339235872,0.022727
obs066,998,2003,-1.542410432,0.022222
obs067,413,2012,-0.05858878,0.01960784
obs068,968,2012,-0.387925011,0.016667
obs069,1021,2011,-1.51805988,0.014706
obs070,1021,2011,-1.765249496,0.014706
obs071,1021,2011,-0.098114441,0.014706
obs072,1021,2011,0.01104581,0.014706
obs073,997,2011,-1.657137813,0.011364
obs074,997,2011,-1.987546178,0.011364
obs075,407,2009,-0.102933934,0.009259
obs076,407,2009,-0.821635969,0.00625
obs077,298,2004,-0.773076607,0.00578
obs078,298,2004,-0.69206783,0.004717
obs079,542,2014,-1.295164213,0.3333333
obs080,172,2007,0.228570175,0.3333333
obs081,548,2008,0.095114267,0.25
obs082,167,2008,-0.368106801,0.1
obs083,1137,2015,-0.43178178,0.08333333
obs084,1137,2015,-1.115025742,0.08333333
obs085,1136,2012,0.59742448,0.06666667
obs086,551,2015,0.006066375,0.05882353
obs087,170,2009,-1.012271449,0.05882353
obs088,1136,2012,-0.163446226,0.03846154
obs089,217,2010,0.134695538,0.04761905
obs090,217,2010,-0.662015046,0.04545455
obs091,1136,2012,-0.078806318,0.04347826
obs092,172,2007,-0.322465641,0.04
obs093,1137,2015,-0.41032201,0.03703704
obs094,188,2009,-0.323958932,0.03333333
obs095,1136,2012,0.252400013,0.03333333
obs096,172,2007,-0.695727453,0.03125
obs097,93,2012,0.082490408,0.02439024
obs098,1139,2013,1.729327046,0.02380952
obs099,1139,2013,-1.741877444,0.02325581
obs100,188,2009,-0.879129169,0.02040816
obs101,695,2013,0.072223625,0.01666667
obs102,212,2004,-0.484866898,0.01265823
obs103,158,2010,-1.685520864,0.01234568
obs104,188,2009,-0.743765303,0.01219512
obs105,1139,2013,0.158282608,0.01136364
obs106,212,2004,-1.013414463,0.009615385
obs107,153,2012,-0.380234077,0.007518797
obs108,442,2004,0.169267839,0.00617284
obs109,717,2015,-0.482542195,0.005847953
obs110,212,2004,-0.801164515,0.005376344
obs111,201,2014,-0.329963861,0.004504505
obs112,1138,2003,-0.171231444,0.004115226
obs113,717,2015,-0.704795861,0.003984064
obs114,222,2006,-0.284565746,0.003472222
obs115,717,2015,0.136924683,0.002352941
obs116,169,2015,-0.601109564,0.00101833
obs117,13,2009,0.708291402,0.000680735
obs118,13,2009,-1.127722704,0.000431593
obs119,13,2009,-0.563457894,0.000263922
obs120,771,2006,-0.050460182,0.000246063
obs121,613,2010,-1.557247355,0.166667
obs122,1145,2010,1.833076798,0.5
obs123,663,2009,0.730940698,0.3333333
obs124,647,2014,0.3522542,0.2
obs125,666,2012,-1.145527084,0.1666667
obs126,668,2013,-0.70030251,0.1666667
obs127,668,2013,-0.692910986,0.1666667
obs128,615,2005,-0.516217257,0.1
obs129,1144,2015,1.110000124,0.1
obs130,676,2011,-0.873303739,0.3333333
obs131,676,2011,0.344980899,0.07142857
obs132,616,2014,0.067006771,0.07142857
obs133,289,2004,-0.620040649,0.04347826
obs134,415,2014,-0.086523613,0.03030303
obs135,678,2009,0.814330352,0.02941176
obs136,678,2009,0.495570039,0.02941176
obs137,614,2014,0.356849008,0.02083333
obs138,826,2013,0.005594699,0.02
obs139,653,2010,-0.370571143,0.009174312
obs140,652,2008,0.397405883,0.00862069
obs141,617,2015,0.802435724,0.001694915
obs142,682,2011,1.387210009,0.0625
obs143,677,2014,0.770361273,0.02631579
obs144,677,2014,0.90793355,0.02777778
obs145,677,2014,-0.036852377,0.02941176
obs146,677,2014,0.391113171,0.03125
obs147,385,2014,-1.98334444,0.01851852
obs148,385,2014,-1.728879888,0.01666667
obs149,664,2007,-2.316359234,0.01886792
obs150,664,2007,-2.201098645,0.01428571
obs151,617,2015,-0.398452043,0.01052632
obs152,617,2015,0.19276567,0.0078125
obs153,784,2011,0.300687644,0.25
obs154,764,2007,-1.361071349,0.2
obs155,745,2004,-1.549324113,0.1666667
obs156,745,2004,-1.443356028,0.1666667
obs157,781,2007,-2.039207241,0.25
obs158,781,2007,-0.836927701,0.5
obs159,713,2015,-0.729461678,0.1
obs160,743,2010,-0.516609449,0.1
obs161,710,2005,0.388109883,0.066666667
obs162,710,2005,0.225749332,0.066666667
obs163,749,2011,-0.079811989,0.05882353
obs164,825,2013,-0.167345938,0.05263158
obs165,770,2012,-1.335447823,0.01333333
obs166,797,2009,0.95107695,0.03333333
obs167,710,2005,-0.877701383,0.03125
obs168,710,2005,-0.892590824,0.03125
obs169,734,2009,0.377523832,0.03125
obs170,835,2013,-0.127973287,0.03030303
obs171,835,2013,0.621769103,0.03030303
obs172,741,2006,-1.065557686,0.03030303
obs173,776,2014,-0.798727833,0.02702703
obs174,741,2006,-1.264467314,0.02173913
obs175,792,2011,0.366257158,0.01666667
obs176,774,2012,-0.004037348,0.01298701
obs177,774,2012,-0.362178077,0.006944444
obs178,862,2008,-0.643437523,0.5
obs179,853,2004,-1.437706437,0.09090909
obs180,853,2004,-1.571680783,0.09090909
obs181,874,2008,-0.128296295,0.07142857
obs182,874,2008,-0.063734599,0.07142857
obs183,853,2004,-1.247769976,0.07142857
obs184,853,2004,-1.054317269,0.07142857
obs185,842,2014,1.527160151,0.06666667
obs186,877,2004,-0.60544222,0.0625
obs187,842,2014,-1.7200338,0.0625
obs188,877,2004,-0.781417344,0.05
obs189,842,2014,1.933703491,0.05
obs190,877,2004,-0.203814771,0.04761905
obs191,842,2014,-1.678447944,0.04545455
obs192,842,2014,1.698707023,0.04347826
obs193,847,2015,-1.360947926,0.04347826
obs194,847,2015,-2.662986479,0.04347826
obs195,877,2004,0.73150465,0.04166667
obs196,865,2011,-1.180535858,0.04166667
obs197,842,2014,1.542774083,0.04
obs198,842,2014,-1.319974765,0.03703704
obs199,842,2014,0.809770012,0.03703704
obs200,842,2014,1.846455456,0.03703704
obs201,865,2011,-1.208654914,0.03703704
obs202,842,2014,-2.069738625,0.03571429
obs203,847,2015,-1.953755056,0.03333333
obs204,847,2015,-1.742995557,0.03333333
obs205,847,2015,-0.800454842,0.03333333
obs206,842,2014,0.003209372,0.03125
obs207,847,2015,-0.622836535,0.03030303
obs208,842,2014,1.047120257,0.02941176
obs209,962,2015,0.435852481,0.01886792
obs210,872,2013,-0.708568778,0.1428571
obs211,892,2008,0.042623599,0.01818182
obs212,906,2014,-0.680928922,0.0625
obs213,1054,2014,-0.902404944,0.015625
obs214,1054,2014,-1.005239471,0.01515152
obs215,962,2015,-0.300245434,0.01388889
obs216,841,2014,-0.443753948,0.01086957
obs217,888,2010,0.387968257,0.009803922
obs218,864,2009,-0.160267232,0.008928571
obs219,864,2009,0.043314583,0.008928571
obs220,864,2009,-0.484112737,0.008928571
obs221,897,2015,-0.138144813,0.007352941
obs222,897,2015,-0.077741508,0.007352941
obs223,897,2015,0.167904324,0.007352941
obs224,888,2010,0.52791244,0.006060606
obs225,866,2011,-0.49326324,0.003816794
obs226,866,2011,-0.110260879,0.003816794
obs227,866,2011,-0.415405382,0.003816794
obs228,839,2015,-0.497450941,0.000819001
obs229,839,2015,-0.589510265,0.000819001
obs230,839,2015,-0.432621588,0.000819001
obs231,839,2015,-0.688562195,0.000819001
obs232,839,2015,0.71748469,0.000819001
obs233,839,2015,-0.9768349,0.000819001
obs234,839,2015,-1.12987888,0.000498008
obs235,839,2015,-1.130736279,0.000498008
obs236,839,2015,-0.324080377,0.000498008
obs237,839,2015,-0.633750845,0.000498008
obs238,839,2015,-0.864242732,0.000498008
obs239,839,2015,-0.9349511,0.000498008
obs240,861,2014,-0.584924842,0.000162602
obs241,875,2007,-0.130109816,0.03448276
obs242,337,2015,-2.702775559,0.3333333
obs243,597,2012,-0.02950139,0.25
obs244,1141,2010,-0.345165899,0.25
obs245,506,2010,0.339023078,0.2
obs246,1140,2012,-1.030576839,0.2
obs247,332,2011,-0.579051198,0.1666667
obs248,332,2011,-1.064734828,0.1666667
obs249,597,2012,0.345809393,0.1428571
obs250,1141,2010,-0.663941079,0.1428571
obs251,332,2011,-1.304226401,0.1
obs252,332,2011,-1.172325125,0.1
obs253,587,2012,-1.233451703,0.07142857
obs254,719,2011,1.234152083,0.0625
obs255,721,2007,-0.655775724,0.04
obs256,1142,2008,0.216050819,0.03846154
obs257,1142,2008,0.136125194,0.03846154
obs258,309,2013,0.276738839,0.03333333
obs259,309,2013,0.116304966,0.03225806
obs260,309,2013,-0.073202012,0.03125
obs261,309,2013,-0.256298769,0.03125
obs262,309,2013,0.593683401,0.02857143
obs263,510,2012,-0.571591803,0.02777778
obs264,309,2013,-0.286973495,0.02777778
obs265,724,2015,-0.358893488,0.02702703
obs266,337,2015,-0.428892366,0.01886792
obs267,533,2005,-0.860640663,0.03225806
obs268,707,2004,-0.63495024,0.01075269
obs269,333,2006,-0.473042461,0.007692308
obs270,337,2015,0.198455625,0.007142857
obs271,333,2006,-0.522413801,0.006369427
obs272,694,2005,-1.18021491,0.01136364
obs273,348,2003,0.403576162,0.02777778
obs274,115,2009,-0.409042362,0.02702703
obs275,364,2014,-1.327250261,0.02941176
obs276,1040,2015,-0.107616233,0.08333333
obs277,232,2009,-0.201179351,0.05882353
obs278,238,2011,-0.710755927,0.04545455
obs279,238,2011,-0.692393703,0.04545455
obs280,238,2011,-0.182179241,0.04545455
obs281,242,2015,0.832668977,0.04166667
obs282,242,2015,0.576984527,0.04
obs283,242,2015,0.413631193,0.04
obs284,247,2012,-0.60190123,0.02631579
obs285,126,2014,-0.423684346,0.05263158
obs286,456,2004,-0.409816523,0.04545455
obs287,456,2004,0.787564723,0.07142857
obs288,456,2004,-0.753108343,0.3333333
obs289,456,2004,1.072789109,0.3333333
obs290,1041,2009,-0.954757067,0.3333333
obs291,1041,2009,-1.137521547,0.3333333
obs292,243,2015,-0.190143915,0.005263158
obs293,272,2012,-0.613710392,0.02941176
obs294,272,2012,-0.399285199,0.02941176
obs295,117,2006,-0.750031284,0.04347826
obs296,459,2010,-0.63330705,0.2
obs297,342,2007,-1.159951441,0.08333333
obs298,342,2007,-1.128044329,0.06666667
obs299,342,2007,-1.111148762,0.125
obs300,342,2007,-0.319031922,0.1428571
obs301,342,2007,-0.439725909,0.1111111
obs302,244,2008,-0.39463567,0.01818182
obs303,244,2008,0.281643831,0.01923077
obs304,244,2008,-0.479949969,0.02941176
obs305,244,2008,-0.337280674,0.01886792
obs306,244,2008,-0.666561741,0.01724138
obs307,244,2008,-0.491326749,0.01785714
obs308,244,2008,-0.730008618,0.01923077
obs309,244,2008,-0.47198727,0.01886792
obs310,244,2008,-0.613772353,0.025
obs311,244,2008,-0.15534143,0.02040816
obs312,244,2008,-0.613529071,0.02380952
obs313,244,2008,-0.790505895,0.02272727
obs314,244,2008,-1.213713657,0.06666667
obs315,244,2008,-1.496062239,0.05882353
obs316,244,2008,-0.935402056,0.02380952
obs317,244,2008,-0.675755228,0.03571429
obs318,485,2013,0.519990554,0.5
obs319,485,2013,2.271924391,1
obs320,485,2013,1.51417988,1
obs321,504,2014,-0.487592568,0.058823529
obs322,504,2014,-0.627712654,0.0625
obs323,504,2014,-0.627283548,0.142857143
obs324,504,2014,-0.685237126,0.023809524
obs325,504,2014,0.625081281,0.052631579
obs326,504,2014,-0.453233346,0.024390244
obs327,3,2003,-1.817940292,0.022727273
obs328,3,2003,-1.044888815,0.022727273
obs329,799,2007,0.016654017,0.083333333
obs330,805,2013,-0.316735521,0.066666667
obs331,805,2013,-0.327709625,0.006622517
obs332,808,2011,0.4783664,0.083333333
obs333,811,2011,0.079021257,0.041666667
obs334,814,2006,-0.35624435,0.0625
obs335,814,2006,-0.255324722,0.0625
obs336,814,2006,-0.767012944,0.0625
obs337,816,2007,-0.614133432,0.090909091
obs338,916,2004,-1.266085774,0.066666667
obs339,916,2004,-0.670003225,0.066666667
obs340,917,2014,0.451724685,0.043478261
obs341,927,2012,-1.224848381,0.125
obs342,945,2011,-0.740749722,0.076923077
obs343,949,2007,-0.933178561,0.04
obs344,950,2005,-0.740639888,0.001526718
obs345,950,2005,-1.009637902,0.00257732
obs346,960,2008,-0.549306144,0.045454545
obs347,9,2005,-0.275220838,0.04
obs348,1056,2014,-2.955480691,0.333333333
obs349,1056,2014,-1.424244635,0.090909091
obs350,429,2007,-0.528128311,0.033333333
obs351,1069,2004,-0.92998494,0.125
obs352,1069,2004,-0.962992061,0.125
obs353,438,2009,-0.874926495,0.5
obs354,438,2009,0.139216794,0.333333333
obs355,438,2009,-0.044526909,0.333333333
obs356,438,2009,-0.304142138,0.333333333
obs357,438,2009,0.012331927,0.166666667
obs358,438,2009,-0.14697192,0.125
obs359,438,2009,0.041203029,0.25
obs360,438,2009,0.262026717,0.333333333
obs361,1081,2014,0.581620766,0.05263158
obs362,691,2014,-0.775665967,0.03846154
obs363,700,2015,-0.666470666,0.1666667
obs364,700,2015,0.029991284,0.1666667
obs365,1120,2015,-0.570585184,0.1
obs366,1120,2015,0.57576575,0.1428571
obs367,1120,2015,0.059222373,0.25
obs368,1120,2015,-0.483012651,0.25
obs369,1120,2015,-0.227144996,0.125
obs370,1120,2015,-0.086426864,0.2
obs371,1120,2015,-0.188795994,0.1
obs372,1120,2015,0.253990385,0.1428571
obs373,1118,2015,-0.940766596,0.03030303
obs374,150,2005,0.501233802,0.1
obs375,1119,2007,-0.349367546,0.04761905
