obs_ID,study_ID,year_pub,es,var
obs001,Boulton et al. 2015,2015,-0.026,0.013
obs002,Boulton et al. 2015,2015,-0.052,0.013
obs003,Dosmann et al. 2015,2015,-0.065,0.004
obs004,Dosmann et al. 2015,2015,-0.035,0.006
obs005,Dosmann et al. 2015,2015,0.046,0.006
obs006,Ferrari et al. 2013,2013,0.27,0.036
obs007,Ferrari et al. 2013,2013,0.15,0.039
obs008,Ferrari et al. 2013,2013,0.04,0.03
obs009,Iserbyt et al. 2017,2017,0.02,0.023
obs010,Iserbyt et al. 2017,2017,0,0.014
obs011,Iserbyt et al. 2017,2017,-0.05,0.032
obs012,Mutzel et al. 2011*,2011,-0.042,0.011
obs013,Mutzel et al. 2011*,2011,0.047,0.013
