obs_ID,study_ID,year_pub,es,var
obs001,Han et al. 2016,2016,-0.320545409,0.012658228
obs002,Han et al. 2016,2016,0.255412812,0.012658228
obs003,Han et al. 2016,2016,-0.151140436,0.012658228
obs004,Han et al. Unpublished I,,0.503671887,0.002702703
obs005,Han et al. Unpublished I,,0.154210913,0.003194888
obs006,Han et al. Unpublished I,,-0.173726908,0.002702703
obs007,Han et al. Unpublished I,,0.019002287,0.003194888
obs008,Han et al. Unpublished II,,0.237359351,0.001658375
obs009,Han et al. Unpublished II,,0.132774772,0.001811594
obs010,Han et al. Unpublished II,,-0.111459277,0.001451379
obs011,Han et al. Unpublished II,,-0.112471866,0.001642036
obs012,Iserbyt et al. 2017,2017,0.100335348,0.025641026
obs013,Iserbyt et al. 2017,2017,-0.040021354,0.024390244
obs014,Iserbyt et al. 2017,2017,-0.287682072,0.027777778
obs015,Iserbyt et al. 2017,2017,0.060072156,0.03030303
obs016,Iserbyt et al. 2017,2017,-0.342828254,0.03030303
obs017,Iserbyt et al. 2017,2017,-0.376885901,0.03030303
obs018,Kelleher et al. 2017,2017,-0.010000333,0.047619048
obs019,Kelleher et al. 2017,2017,0.758173745,0.047619048
obs020,Kelleher et al. 2017,2017,0.331647109,0.047619048
obs021,Moiron et al. Unpublished,,-0.120581028,0.00135318
obs022,Moiron et al. Unpublished,,-0.020002667,0.00135318
obs023,Niemela et al. Unpublished,,-0.192337169,0.004901961
obs024,Royaute and Dochtermann 2017,2017,0.223656109,0.023809524
obs025,Royaute and Dochtermann 2017,2017,0.255412812,0.02
obs026,Royaute and Dochtermann 2017,2017,0.010000333,0.023809524
obs027,Royaute and Dochtermann 2017,2017,0.411800034,0.02
obs028,Royaute et al. 2015,2015,0.161386696,0.025641026
obs029,Royaute et al. 2015,2015,0.13073985,0.025641026
obs030,Wilson et al. 2011,2011,0.015001125,0.038461538
obs031,Wilson et al. 2011,2011,0.242652949,0.038461538
obs032,Wilson et al. 2011,2011,-0.963874235,0.038461538
obs033,Wilson et al. 2011,2011,0.457445576,0.038461538
obs034,Wilson et al. 2011,2011,0.249022949,0.038461538
obs035,Wilson et al. 2011,2011,0.707330294,0.038461538
obs036,Wilson et al. 2011,2011,-0.213171347,0.038461538
obs037,Wilson et al. 2011,2011,0.63575171,0.038461538
obs038,Wilson et al. 2011,2011,0.295293894,0.038461538
obs039,Wilson et al. 2011,2011,-0.766688937,0.038461538
obs040,Wilson et al. 2013,2013,0.952693439,0.076923077
obs041,Wilson et al. 2013,2013,0.52168571,0.076923077
obs042,Wilson et al. 2013,2013,0.467281249,0.076923077
obs043,Wilson et al. 2013,2013,0.560030416,0.076923077
obs044,Wilson et al. 2013,2013,0.805319196,0.076923077
obs045,Wilson et al. 2013,2013,0.909724507,0.076923077
obs046,Wilson et al. 2013,2013,2.043878628,0.076923077
obs047,Wilson et al. 2013,2013,0.522984278,0.076923077
obs048,Wilson et al. 2013,2013,0.004000021,0.076923077
obs049,Bijlevelt et al. 2014,2014,-1.221173518,0.05
obs050,Guenther at al. 2014*,2014,-0.082184534,0.017241379
obs051,Guenther at al. 2014*,2014,-0.368866667,0.017241379
obs052,Guenther at al. 2014*,2014,0.019002287,0.017241379
obs053,Santostefano et al. 2016,2016,0.459896681,0.028571429
obs054,Santostefano et al. 2016,2016,0.223656109,0.028571429
obs055,Santostefano et al. 2016,2016,0.171666664,0.028571429
obs056,Krams et al. Unpublished*,,0.102355961,0.006993007
obs057,Krams et al. Unpublished*,,-0.084198409,0.006993007
