obs_ID,study_ID,year_pub,es,var
obs001,Boulton et al. 2015,2015,1.058267833,0.058823529
obs002,Boulton et al. 2015,2015,0.403570654,0.058823529
obs003,Dosmann et al. 2015,2015,-0.210035,0.006493506
obs004,Dosmann et al. 2015,2015,-0.028007321,0.006493506
obs005,Dosmann et al. 2015,2015,-0.095287349,0.006493506
obs006,Ferrari et al. 2013,2013,0.040021354,0.024390244
obs007,Ferrari et al. 2013,2013,0.080171325,0.024390244
obs008,Ferrari et al. 2013,2013,-0.140925576,0.027027027
obs009,Iserbyt et al. 2017,2017,0.677666068,0.026315789
obs010,Iserbyt et al. 2017,2017,0.354092529,0.025
obs011,Iserbyt et al. 2017,2017,0.255412812,0.028571429
obs012,Iserbyt et al. 2017,2017,0.040021354,0.03030303
obs013,Iserbyt et al. 2017,2017,-0.140925576,0.03030303
obs014,Iserbyt et al. 2017,2017,-0.060072156,0.03030303
obs015,Mutzel et al. 2011*,2011,0.005000042,0.025641026
obs016,Guenther at al. 2014*,2014,-0.062079626,0.017241379
obs017,Guenther at al. 2014*,2014,-1.013000009,0.017241379
obs018,Guenther at al. 2014*,2014,-0.470991401,0.017241379
obs019,Guenther and Trillmich 2013*,2013,-0.126673217,0.021276596
obs020,Guenther and Trillmich 2013*,2013,0.497311288,0.021276596
obs021,Guenther and Trillmich 2013*,2013,0.59014516,0.021276596
obs022,Guenther and Trillmich 2013*,2013,0.320545409,0.021276596
obs023,Guenther and Trillmich 2013*,2013,0.235245578,0.021276596
obs024,Guenther and Trillmich 2013*,2013,0.185084885,0.021276596
obs025,Guenther and Trillmich 2013*,2013,-0.83471571,0.021276596
obs026,Guenther and Trillmich 2013*,2013,-0.153187103,0.021276596
