obs_ID,study_ID,year_pub,es,var
obs001,63,1993,0.436,0.036
obs002,63,1993,0.224,0.1
obs003,7,1998,0.489,0.048
obs004,23,1981,-0.308,0.05
obs005,23,1981,0.267,0.031
obs006,23,1981,-0.031,0.024
obs007,40,1988,0.1,0.019
obs008,42,1994,-0.536,0.059
obs009,46,1981,0.182,0.017
obs010,52,1976,1.053,0.026
obs011,91,1978,-0.098,0.25
obs012,67,1986,0.648,1
obs013,67,1986,0.11,0.143
obs014,67,1986,0.523,0.111
obs015,67,1986,0.758,0.1
obs016,67,1986,0.354,0.091
obs017,67,1986,-0.332,0.083
obs018,67,1986,-0.151,0.077
obs019,67,1986,0.255,0.067
obs020,67,1986,0.131,0.056
obs021,67,1986,0.412,0.04
obs022,67,1986,0.141,0.029
obs023,67,1986,0.497,0.029
obs024,67,1986,0.536,0.024
obs025,67,1986,0.46,0.009
obs026,61,1998,0.565,0.01
obs027,79,1983,0.09,0.048
obs028,31,2015,0.012,0.014
obs029,91,1978,0.332,0.1
obs030,91,1978,0.11,0.059
obs031,91,1978,-0.234,0.045
obs032,91,1978,0.662,1
obs033,91,1978,-0.497,1
obs034,78,1982,0.02,0.067
obs035,80,1983,0.234,0.023
obs036,81,1987,0.523,0.053
obs037,94,1982,0.343,0.071
obs038,94,1982,0.07,0.042
obs039,94,1982,0.131,0.013
obs040,3,1999,0.182,0.053
obs041,3,1999,0.332,0.045
obs042,3,1999,0.365,0.022
obs043,3,1999,-0.05,0.016
obs044,14,1977,0.643,0.077
obs045,14,1977,0.308,0.043
obs046,14,1977,0.094,0.034
obs047,27,1980,-0.448,0.125
obs048,27,1980,0.354,0.037
obs049,27,1980,0.236,0.026
obs050,27,1980,0.299,0.013
obs051,35,1983,0.203,0.03
obs052,35,1983,0.035,0.011
obs053,54,1986,0.02,0.029
obs054,62,2002,0.028,0.04
obs055,87,2015,0.224,0.077
obs056,87,2015,0.234,0.033
obs057,87,2015,0.172,0.022
obs058,87,2015,0.213,0.018
obs059,87,2015,0.141,0.016
obs060,87,2015,0.121,0.012
obs061,87,2015,0.144,0.003
obs062,11,2016,0.343,0.025
obs063,51,2012,0.508,0.25
obs064,51,2012,0.404,0.167
obs065,51,2012,0.499,0.083
obs066,51,2012,0.601,0.022
obs067,95,2010,0.355,0.029
obs068,96,2010,0.172,0.011
obs069,96,2010,0.249,0.01
obs070,96,2010,0.204,0.01
obs071,97,2012,0.266,0.026
obs072,97,2012,0.09,0.006
obs073,99,2012,0.709,0.02
obs074,55,2016,0.316,0.024
obs075,55,2016,0.159,0.016
obs076,55,2016,0.241,0.015
obs077,34,2014,0.371,0.111
obs078,34,2014,0.619,0.111
obs079,34,2014,0.342,0.077
obs080,34,2014,0.589,0.024
obs081,34,2014,0.324,0.009
obs082,34,2014,0.442,0.007
obs083,49,2009,0.334,0.043
obs084,49,2009,0.365,0.037
obs085,49,2009,0.271,0.033
obs086,49,2009,0.218,0.011
obs087,30,2012,0.412,0.007
obs088,2,1988,0.122,0.037
obs089,43,1991,0.678,0.167
obs090,43,1991,0.365,0.029
obs091,48,1989,0.412,0.333
obs092,48,1989,0.31,0.111
obs093,49,1989,0.097,0.02
obs094,88,1995,-0.829,0.2
obs095,88,1995,-0.06,0.143
obs096,88,1995,-0.131,0.029
obs097,88,1995,0.121,0.022
obs098,44,2005,0.227,0.037
obs099,89,1979,0.131,0.016
obs100,98,2012,-0.07,0.2
obs101,98,2012,0.255,0.083
obs102,98,2012,-0.09,0.042
obs103,98,2012,0.213,0.032
obs104,98,2012,0.07,0.018
obs105,98,2012,0.11,0.009
obs106,84,1994,0.114,0.016
obs107,9,2007,0.875,0.016
obs108,10,2008,1.325,0.143
obs109,10,2008,0.084,0.083
obs110,10,2008,0.114,0.028
obs111,9,2007,0.444,0.02
obs112,10,2008,0.57,0.167
obs113,10,2008,0.342,0.025
obs114,92,2007,0.234,0.004
obs115,4,1996,0.442,0.021
obs116,33,2002,0.775,0.056
obs117,59,2001,-0.1,0.5
obs118,59,2001,-0.04,0.25
obs119,59,2001,0.266,0.167
obs120,59,2001,0.929,0.125
obs121,59,2001,0.633,0.1
obs122,59,2001,-0.412,0.053
obs123,59,2001,0.618,0.036
obs124,59,2001,-0.08,0.033
obs125,59,2001,0.172,0.008
obs126,47,1981,0.604,0.167
obs127,22,2005,-0.379,0.053
obs128,22,2005,-0.26,0.037
obs129,64,1990,0.353,0.024
obs130,28,1983,-0.132,0.021
obs131,70,1991,0.105,0.5
obs132,70,1991,0.838,0.5
obs133,70,1991,1.576,0.2
obs134,70,1991,-0.548,0.091
obs135,70,1991,-0.098,0.059
obs136,70,1991,0.168,0.059
obs137,70,1991,0.08,0.056
obs138,70,1991,0.097,0.048
obs139,70,1991,0.296,0.021
obs140,25,1982,0.182,0.016
obs141,26,1987,0.288,0.045
obs142,26,1987,0.02,0.02
obs143,26,1987,0.151,0.016
obs144,26,1987,0.172,0.015
obs145,32,2006,0.378,0.025
obs146,19,1979,0.472,0.167
obs147,24,1981,1.003,0.333
obs148,24,1981,0.215,0.167
obs149,85,2001,0.518,1
obs150,93,2005,-0.08,0.022
obs151,21,1985,0.021,0.006
obs152,24,1981,0.137,0.2
obs153,68,1984,-0.036,0.01
obs154,1,2007,0.617,0.125
obs155,8,1993,0.984,0.02
obs156,47,1981,0.618,0.077
obs157,15,1992,0.081,0.004
obs158,29,1997,0.063,0.004
obs159,83,1988,0.277,0.002
obs160,74,2014,0.189,0.019
obs161,74,2014,0.199,0.018
obs162,74,2014,0.448,0.009
obs163,76,1983,-0.1,0.016
obs164,73,2010,0.514,0.015
obs165,82,2003,0.224,0.01
obs166,20,2006,0.143,0.045
obs167,45,1997,1.589,0.5
obs168,72,1990,0.277,0.026
obs169,71,1986,0.365,0.083
obs170,53,1994,0.182,0.143
obs171,12,2013,0.68,0.029
obs172,94,1982,0.203,0.1
obs173,94,1982,0.144,0.063
obs174,94,1982,0.294,0.04
obs175,94,1982,0.276,0.143
obs176,94,1982,0.585,0.167
obs177,66,2001,0.093,0.026
obs178,66,2001,0.082,0.05
obs179,37,1978,0.354,0.019
obs180,39,1983,0.213,0.033
obs181,39,1983,0.354,0.03
obs182,39,1983,0.31,0.025
obs183,5,1981,0.354,0.077
obs184,5,1981,0.497,0.056
obs185,5,1981,0.213,0.053
obs186,5,1981,0.06,0.05
obs187,5,1981,0.182,0.048
obs188,5,1981,0.172,0.032
obs189,5,1981,0.288,0.029
