obs_ID,study_ID,year_pub,es,var
obs001,(Angelier et al. 2007a),2007,-0.327197097,0.166666667
obs002,(Angelier et al. 2007a),2007,-0.713713193,0.125
obs003,(Angelier et al. 2007a),2007,-0.046032487,0.083333333
obs004,(Angelier et al. 2007b),2007,0.40005965,0.034482759
obs005,(Angelier et al. 2007b),2007,0.188190607,0.055555556
obs006,(Angelier et al. 2007b),2007,-0.100335348,0.055555556
obs007,(Angelier et al. 2007b),2007,-0.244774113,0.026315789
obs008,(Angelier et al. 2007c),2007,0.329420529,0.047619048
obs009,(Angelier et al. 2007c),2007,0.403570654,0.03030303
obs010,(Angelier et al. 2007c),2007,-0.354092529,0.017857143
obs011,(Angelier et al. 2009a),2009,-0.013000732,0.018181818
obs012,(Angelier et al. 2009a),2009,-0.084198409,0.018181818
obs013,(Angelier et al. 2009b),2009,0.150117575,0.03030303
obs014,(Angelier et al. 2010),2010,-0.611240885,0.03125
obs015,(Angelier et al. 2010),2010,-0.049039273,0.038461538
obs016,(Barrett et al. 2015),2015,-0.448906825,0.009345794
obs017,(Buck et al. 2007),2007,-0.063334548,0.005524862
obs018,(Buck et al. 2007),2007,-1.364792677,0.005524862
obs019,(Chastel et al. 2005),2005,0.490987692,0.04
obs020,(Crossin et al. 2012),2012,0.732348442,0.083333333
obs021,(Crossin et al. 2012),2012,0.641154315,0.083333333
obs022,(Crossin et al. 2012),2012,0.641154315,0.083333333
obs023,(Crossin et al. 2012),2012,0.693147181,0.083333333
obs024,(Crossin et al. 2012),2012,0.349576602,0.071428571
obs025,(Crossin et al. 2012),2012,0.785310083,0.083333333
obs026,(Crossin et al. 2013),2013,0.123625981,0.05
obs027,(Crossin et al. 2013),2013,-0.012000576,0.0625
obs028,(Crossin et al. 2013),2013,-0.318334288,0.071428571
obs029,(Crossin et al. 2013),2013,-0.056058649,0.05
obs030,(Doody et al. 2008),2008,-0.741416144,0.111111111
obs031,(Doody et al. 2008),2008,0.296383998,0.05
obs032,(Doody et al. 2008),2008,0.023004057,0.045454545
obs033,(Doody et al. 2008),2008,0.42364893,0.052631579
obs034,(Ellenberg et al. 2007),2007,-1.504733651,0.5
obs035,(Ellenberg et al. 2007),2007,-1.181741638,0.333333333
obs036,(Ellenberg et al. 2007),2007,-0.237359351,0.333333333
obs037,(Ellenberg et al. 2007),2007,0.371153208,0.5
obs038,(Elliott et al. 2015),2015,-0.943880367,0.25
obs039,(Elliott et al. 2015),2015,0.805319196,0.25
obs040,(Elliott et al. 2015),2015,0.662462707,0.25
obs041,(Elliott et al. 2015),2015,-1.259767503,0.333333333
obs042,(Elliott et al. 2015),2015,0.128706004,0.25
obs043,(Goutte et al. 2010),2010,-0.010000333,0.018867925
obs044,(Goutte et al. 2010),2010,-0.516507503,0.027027027
obs045,(Goutte et al. 2011),2011,0.041022997,0.055555556
