obs_ID,study_ID,year_pub,es,var
obs001,van Baaren et al. (1999),1999,0.028007321,0.003367003
obs002,Lebreton et al. (2010),2010,-0.043026532,0.05
obs003,Lebreton et al. (2010),2010,-0.261823156,0.025
obs004,Lebreton et al. (2010),2010,0.226810893,0.05
obs005,Lebreton et al. (2010),2010,0.807122807,0.025
obs006,van Baaren et al. (1999),1999,0.028007321,0.003367003
obs007,Lebreton et al. (2010),2010,-0.043026532,0.05
obs008,Lebreton et al. (2010),2010,-0.261823156,0.025
obs009,Lebreton et al. (2010),2010,0.226810893,0.05
obs010,Lebreton et al. (2010),2010,0.807122807,0.025
