obs_ID,study_ID,year_pub,es,var
obs001,Kurvers et al. 2009*,2009,-0.068105102,0.066666667
obs002,Kurvers et al. 2009*,2009,-0.113484684,0.066666667
obs003,Kurvers et al. 2009*,2009,-0.631377497,0.066666667
obs004,Kurvers et al. 2009*,2009,-0.096296554,0.066666667
obs005,Kurvers et al. 2009*,2009,0.334992946,0.066666667
obs006,Kurvers et al. 2009*,2009,-0.059068603,0.066666667
obs007,Moiron et al. Unpublished,,-0.010000333,0.00135318
obs008,Moiron et al. Unpublished,,-0.070114671,0.00135318
obs009,Moiron et al. Unpublished,,-0.060072156,0.00135318
obs010,Moiron et al. Unpublished,,-0.110446916,0.00135318
obs011,Moiron et al. Unpublished,,0.010000333,0.00135318
obs012,Moiron et al. Unpublished,,-0.080171325,0.00135318
obs013,White et al. 2016,2016,-0.467281249,0.034482759
obs014,White et al. 2016,2016,0.33610983,0.034482759
obs015,White et al. 2016,2016,0.326086553,0.034482759
obs016,White et al. 2016,2016,0.202732554,0.034482759
obs017,White et al. 2016,2016,-0.091252446,0.034482759
obs018,White et al. 2016,2016,0.403570654,0.034482759
obs019,Kluen et al. 2014,2014,0.100335348,0.002074689
obs020,Kluen et al. 2014,2014,-0.031009936,0.001703578
obs021,Santostefano et al. 2017,2017,-0.13073985,0.002212389
obs022,Santostefano et al. 2017,2017,0.309519604,0.002212389
obs023,Wilson et al. 2011,2011,-0.068105102,0.038461538
obs024,Wilson et al. 2011,2011,0.212125441,0.038461538
obs025,Wilson et al. 2011,2011,-1.169151588,0.038461538
obs026,Wilson et al. 2011,2011,0.307323247,0.038461538
obs027,Wilson et al. 2011,2011,-0.017001638,0.038461538
obs028,Wilson et al. 2011,2011,0.409443429,0.038461538
obs029,Wilson et al. 2011,2011,-0.382642354,0.038461538
obs030,Wilson et al. 2011,2011,0.462352964,0.038461538
obs031,Wilson et al. 2011,2011,0.506226677,0.038461538
obs032,Wilson et al. 2011,2011,-0.725005088,0.038461538
obs033,Iserbyt et al. 2017,2017,-0.181982689,0.025641026
obs034,Iserbyt et al. 2017,2017,0.3884231,0.024390244
obs035,Iserbyt et al. 2017,2017,-0.234189467,0.027777778
obs036,Iserbyt et al. 2017,2017,-0.050041729,0.03030303
obs037,Iserbyt et al. 2017,2017,0.181982689,0.03030303
