obs_ID,study_ID,year_pub,es,var
obs001,Robertson 1985,1985,-0.110446916,0.111111111
obs002,Robertson 1985,1985,0.40005965,0.083333333
obs003,Robertson 1985,1985,0.562729769,0.1
obs004,Reid 1988,1988,0.472230804,0.015625
obs005,Richardson et al. 2005,2005,0.13073985,0.012345679
obs006,Briggs 2007,2007,-1.324910848,0.142857143
obs007,Briggs 2007,2007,0.306226146,0.5
obs008,Briggs 2007,2007,0.084198409,0.083333333
obs009,Briggs 2007,2007,0.121595763,0.083333333
obs010,Briggs 2007,2007,0.114497735,0.027777778
obs011,Briggs 2007,2007,0.021003088,0.027777778
obs012,Briggs 2007,2007,-0.875187127,0.016393443
obs013,Briggs 2007,2007,0.287682072,0.017857143
obs014,Briggs 2007,2007,0.569510914,0.166666667
obs015,Briggs 2007,2007,0.112471866,0.166666667
obs016,Briggs 2007,2007,0.341706461,0.025
obs017,Briggs 2007,2007,0.132774772,0.025
obs018,Briggs 2007,2007,0.444055027,0.019607843
obs019,Briggs 2007,2007,-0.153187103,0.020408163
obs020,Masumoto 1999,1999,0.513927934,0.027027027
obs021,Masumoto 1999,1999,0.441636481,0.045454545
obs022,Masumoto 1999,1999,-0.838474102,0.058823529
obs023,Masumoto 1999,1999,0.629924172,0.071428571
obs024,Masumoto 1999,1999,0.511354644,0.027027027
obs025,Masumoto 1999,1999,0.312819583,0.045454545
obs026,Masumoto 1999,1999,0.846049502,0.058823529
obs027,Masumoto 1999,1999,0.292027659,0.071428571
obs028,Wagner 1999,1999,0.40005965,0.03030303
obs029,Wagner 1999,1999,0.110446916,0.029411765
obs030,Wagner 1999,1999,0.411800034,0.029411765
obs031,Wagner 1999,1999,0.244774113,0.03125
obs032,Wagner 1999,1999,0.080171325,0.04
obs033,Wagner 1999,1999,0.010000333,0.035714286
obs034,Wagner 1999,1999,0.13073985,0.03125
obs035,Wagner 1999,1999,0.192337169,0.034482759
obs036,Wagner 1999,1999,0,0.03125
obs037,Wagner 1999,1999,0.080171325,0.029411765
obs038,Hughes 1996,1996,-1.308912555,0.005319149
obs039,Hughes 1996,1996,0.930871588,0.005319149
obs040,Márquez 1993,1993,0.435611223,0.035714286
obs041,Márquez 1993,1993,0.223656109,0.1
obs042,Elmer et al. 2009,2009,0.686765374,0.004545455
obs043,Elmer et al. 2009,2009,0.293115727,0.007518797
obs044,Chardine and Morris 1989,1989,0.562729769,0.032258065
obs045,Chardine and Morris 1989,1989,0.050041729,0.032258065
obs046,Chardine and Morris 1989,1989,0.110446916,0.035714286
obs047,Chardine and Morris 1989,1989,0.060072156,0.052631579
obs048,Bortolotti et al. 2008,2008,-0.865074024,0.024390244
obs049,Beeching et al. 2004,2004,0.508840879,0.027027027
obs050,Baur 1992,1992,0.25008653,0.03125
obs051,Forbes et al. 1992,1992,-0.110446916,0.022222222
obs052,Forbes et al. 1992,1992,0.950479381,0.076923077
obs053,Forbes et al. 1992,1992,0.447692024,0.111111111
obs054,Forbes et al. 1992,1992,0.632833187,0.032258065
obs055,Adams et al. 1985b,1985,0.331647109,0.011111111
obs056,Adams et al. 1985b,1985,1.156817465,0.083333333
obs057,Adams et al. 1985b,1985,0.472230804,0.076923077
obs058,Adams et al. 1985b,1985,0.972955075,0.071428571
obs059,Adams et al. 1985b,1985,0.928727364,0.076923077
obs060,Adams et al. 1985b,1985,1.256152812,0.111111111
obs061,Adams et al. 1985b,1985,0.576339755,0.125
obs062,Adams et al. 1985b,1985,0.708921359,0.055555556
obs063,Adams et al. 1985b,1985,0.161386696,0.058823529
obs064,Hargeby and Erlandsson 2006,2006,-0.677666068,0.006369427
obs065,Hargeby and Erlandsson 2006,2006,0.438391849,0.027027027
obs066,Hargeby and Erlandsson 2006,2006,-0.798727833,0.027027027
obs067,Hargeby and Erlandsson 2006,2006,0.562597262,0.027027027
obs068,Hargeby and Erlandsson 2006,2006,-0.8955881,0.027027027
obs069,Ridley and Thompson 1979,1979,0.618381314,0.125
obs070,Ridley and Thompson 1979,1979,0.151140436,0.047619048
obs071,Ridley and Thompson 1979,1979,0.181982689,1
obs072,Ridley and Thompson 1979,1979,0.331647109,0.2
obs073,Ridley and Thompson 1979,1979,0.725005088,0.058823529
obs074,Ridley and Thompson 1979,1979,0,0.333333333
obs075,Ridley and Thompson 1979,1979,-0.151140436,0.166666667
obs076,Ridley and Thompson 1979,1979,0.3884231,0.00952381
obs077,Ridley and Thompson 1979,1979,0.276863823,0.008333333
