COMMON_NAME,SCIENTIFIC_NAME,TipLabel,class,order,family,adult_body_mass_g,female_body_mass_g,male_body_mass_g
Steppe Eagle,Aquila nipalensis,Aquila_nipalensis,Aves,Accipitriformes,Accipitridae,2534.5,2987,2333
Tawny Eagle,Aquila rapax,Aquila_rapax,Aves,Accipitriformes,Accipitridae,2347,2405.5,2034.6
Verreaux's Eagle,Aquila verreauxii,Aquila_verreauxii,Aves,Accipitriformes,Accipitridae,4195,4355.5,3665
African Cuckoo-Hawk,Aviceda cuculoides,Aviceda_cuculoides,Aves,Accipitriformes,Accipitridae,275.75,-999,-999
Jerdon's Baza,Aviceda jerdoni,Aviceda_jerdoni,Aves,Accipitriformes,Accipitridae,363,-999,363
Black Baza,Aviceda leuphotes,Aviceda_leuphotes,Aves,Accipitriformes,Accipitridae,196,-999,-999
Pacific Baza,Aviceda subcristata,Aviceda_subcristata,Aves,Accipitriformes,Accipitridae,328,346.875,308.75
Black-collared Hawk,Busarellus nigricollis,Busarellus_nigricollis,Aves,Accipitriformes,Accipitridae,614,956,613.5
Grey-faced Buzzard,Butastur indicus,Butastur_indicus,Aves,Accipitriformes,Accipitridae,402,433,400.5
Rufous-winged Buzzard,Butastur liventer,Butastur_liventer,Aves,Accipitriformes,Accipitridae,338,-999,-999
Grasshopper Buzzard,Butastur rufipennis,Butastur_rufipennis,Aves,Accipitriformes,Accipitridae,335,344,326
White-eyed Buzzard,Butastur teesa,Butastur_teesa,Aves,Accipitriformes,Accipitridae,325,-999,-999
White-throated Hawk,Buteo albigula,Buteo_albigula,Aves,Accipitriformes,Accipitridae,495,583,432.5
Zone-tailed Hawk,Buteo albonotatus,Buteo_albonotatus,Aves,Accipitriformes,Accipitridae,757,886,628
Archer's Buzzard,Buteo archeri,Buteo_archeri,Aves,Accipitriformes,Accipitridae,1062.333333,1330,988
Augur Buzzard,Buteo augur,Buteo_augur,Aves,Accipitriformes,Accipitridae,1060.666667,1165,988
Red-necked Buzzard,Buteo auguralis,Buteo_auguralis,Aves,Accipitriformes,Accipitridae,670,760,580
Madagascan Buzzard,Buteo brachypterus,Buteo_brachypterus,Aves,Accipitriformes,Accipitridae,511,-999,-999
Short-tailed Hawk,Buteo brachyurus,Buteo_brachyurus,Aves,Accipitriformes,Accipitridae,495,583,432.5
Common Buzzard,Buteo buteo,Buteo_buteo,Aves,Accipitriformes,Accipitridae,878.25,945.75,781
Galapagos Hawk,Buteo galapagoensis,Buteo_galapagoensis,Aves,Accipitriformes,Accipitridae,1163.333333,1365.333333,961.3333333
Upland Buzzard,Buteo hemilasius,Buteo_hemilasius,Aves,Accipitriformes,Accipitridae,1342.5,1562.5,1175
Red-tailed Hawk,Buteo jamaicensis,Buteo_jamaicensis,Aves,Accipitriformes,Accipitridae,1126,1224,1028
Rough-legged Buzzard,Buteo lagopus,Buteo_lagopus,Aves,Accipitriformes,Accipitridae,945.5,1051.5,847
Red-shouldered Hawk,Buteo lineatus,Buteo_lineatus,Aves,Accipitriformes,Accipitridae,616,676.75,539
Grey-lined Hawk,Buteo nitidus,Buteo_nitidus,Aves,Accipitriformes,Accipitridae,510.5833333,624,429.75
Mountain Buzzard,Buteo oreophilus,Buteo_oreophilus,Aves,Accipitriformes,Accipitridae,700,-999,-999
Grey Hawk,Buteo plagiatus,Buteo_nitidus,Aves,Accipitriformes,Accipitridae,510.5833333,624,429.75
Broad-winged Hawk,Buteo platypterus,Buteo_platypterus,Aves,Accipitriformes,Accipitridae,437,490,420
Ferruginous Hawk,Buteo regalis,Buteo_regalis,Aves,Accipitriformes,Accipitridae,1469.5,1775,1162.5
Ridgway's Hawk,Buteo ridgwayi,Buteo_ridgwayi,Aves,Accipitriformes,Accipitridae,-999,-999,-999
Long-legged Buzzard,Buteo rufinus,Buteo_rufinus,Aves,Accipitriformes,Accipitridae,1174.5,1314,1035
Jackal Buzzard,Buteo rufofuscus,Buteo_rufofuscus,Aves,Accipitriformes,Accipitridae,1062.333333,1330,988
Hawaiian Hawk,Buteo solitarius,Buteo_solitarius,Aves,Accipitriformes,Accipitridae,505,606,414
Swainson's Hawk,Buteo swainsoni,Buteo_swainsoni,Aves,Accipitriformes,Accipitridae,969.57,1109,811.25
Rufous-tailed Hawk,Buteo ventralis,Buteo_ventralis,Aves,Accipitriformes,Accipitridae,1210,1285,1103
Rufous Crab Hawk,Buteogallus aequinoctialis,Buteogallus_aequinoctialis,Aves,Accipitriformes,Accipitridae,693.25,752.5,594.5
Common Black Hawk,Buteogallus anthracinus,Buteogallus_anthracinus,Aves,Accipitriformes,Accipitridae,996,1199,793
Cuban Black Hawk,Buteogallus gundlachii,Buteogallus_gundlachii,Aves,Accipitriformes,Accipitridae,945,1199,793
Savanna Hawk,Buteogallus meridionalis,Buteogallus_meridionalis,Aves,Accipitriformes,Accipitridae,808,893.4,849
Great Black Hawk,Buteogallus urubitinga,Buteogallus_urubitinga,Aves,Accipitriformes,Accipitridae,1230,1248,1065
Scissor-tailed Kite,Chelictinia riocourii,Chelictinia_riocourii,Aves,Accipitriformes,Accipitridae,110,-999,-999
Hook-billed Kite,Chondrohierax uncinatus,Chondrohierax_uncinatus,Aves,Accipitriformes,Accipitridae,288.75,310,264
Cuban Kite,Chondrohierax wilsonii,Chondrohierax_wilsonii,Aves,Accipitriformes,Accipitridae,288.75,310,264
Beaudouin's Snake Eagle,Circaetus beaudouini,Circaetus_beaudouini,Aves,Accipitriformes,Accipitridae,1717.25,1774.5,1664
Western Banded Snake Eagle,Circaetus cinerascens,Circaetus_cinerascens,Aves,Accipitriformes,Accipitridae,-999,-999,-999
Brown Snake Eagle,Circaetus cinereus,Circaetus_cinereus,Aves,Accipitriformes,Accipitridae,2048,-999,-999
Southern Banded Snake Eagle,Circaetus fasciolatus,Circaetus_fasciolatus,Aves,Accipitriformes,Accipitridae,1021.5,1100,938.5
Short-toed Snake Eagle,Circaetus gallicus,Circaetus_gallicus,Aves,Accipitriformes,Accipitridae,1717.25,1774.5,1664
Black-chested Snake Eagle,Circaetus pectoralis,Circaetus_pectoralis,Aves,Accipitriformes,Accipitridae,1717.25,1774.5,1664
Western Marsh Harrier,Circus aeruginosus,Circus_aeruginosus,Aves,Accipitriformes,Accipitridae,607,741.5,552.5
Swamp Harrier,Circus approximans,Circus_approximans,Aves,Accipitriformes,Accipitridae,752.5,870,640
Spotted Harrier,Circus assimilis,Circus_assimilis,Aves,Accipitriformes,Accipitridae,521.25,654.25,465
Long-winged Harrier,Circus buffoni,Circus_buffoni,Aves,Accipitriformes,Accipitridae,519.5,612.5,423.5
Cinereous Harrier,Circus cinereus,Circus_cinereus,Aves,Accipitriformes,Accipitridae,468.5,471.25,337
Hen Harrier,Circus cyaneus,Circus_cyaneus,Aves,Accipitriformes,Accipitridae,436.5,522.5,346
Northern Harrier,Circus hudsonius,Circus_cyaneus,Aves,Accipitriformes,Accipitridae,436.5,522.5,346
Malagasy Harrier,Circus macrosceles,Circus_macrosceles,Aves,Accipitriformes,Accipitridae,655.75,711.5,600
Pallid Harrier,Circus macrourus,Circus_macrourus,Aves,Accipitriformes,Accipitridae,383.5,445,327
Reunion Harrier,Circus maillardi,Circus_maillardi,Aves,Accipitriformes,Accipitridae,655.75,711.5,600
Black Harrier,Circus maurus,Circus_maurus,Aves,Accipitriformes,Accipitridae,532,-999,-999
Pied Harrier,Circus melanoleucos,Circus_melanoleucos,Aves,Accipitriformes,Accipitridae,375,422.5,292.5
Montagu's Harrier,Circus pygargus,Circus_pygargus,Aves,Accipitriformes,Accipitridae,315.5,376,264
African Marsh Harrier,Circus ranivorus,Circus_ranivorus,Aves,Accipitriformes,Accipitridae,494.5,-999,423
Eastern Marsh Harrier,Circus spilonotus,Circus_spilonotus,Aves,Accipitriformes,Accipitridae,562.25,622.25,502.25
Greater Spotted Eagle,Clanga clanga,Aquila_clanga,Aves,Accipitriformes,Accipitridae,1934.65,2405,1751.5
Indian Spotted Eagle,Clanga hastata,Aquila_hastata,Aves,Accipitriformes,Accipitridae,1431.666667,1643.75,1269.25
Lesser Spotted Eagle,Clanga pomarina,Aquila_pomarina,Aves,Accipitriformes,Accipitridae,1431.666667,1643.75,1269.25
Plumbeous Hawk,Cryptoleucopteryx plumbea,Leucopternis_plumbeus,Aves,Accipitriformes,Accipitridae,482,-999,-999
Swallow-tailed Kite,Elanoides forficatus,Elanoides_forficatus,Aves,Accipitriformes,Accipitridae,442.625,536,493.5
Black-shouldered Kite,Elanus axillaris,Elanus_axillaris,Aves,Accipitriformes,Accipitridae,265.5,293,249
Black-winged Kite,Elanus caeruleus,Elanus_caeruleus,Aves,Accipitriformes,Accipitridae,248,268,237
White-tailed Kite,Elanus leucurus,Elanus_leucurus,Aves,Accipitriformes,Accipitridae,311.65,317.75,274
Letter-winged Kite,Elanus scriptus,Elanus_scriptus,Aves,Accipitriformes,Accipitridae,315.8,343,288.6
Chestnut-shouldered Goshawk,Erythrotriorchis buergersi,Erythrotriorchis_buergersi,Aves,Accipitriformes,Accipitridae,575,-999,575
Red Goshawk,Erythrotriorchis radiatus,Erythrotriorchis_radiatus,Aves,Accipitriformes,Accipitridae,937.5,1240,635
Madagascan Serpent Eagle,Eutriorchis astur,Eutriorchis_astur,Aves,Accipitriformes,Accipitridae,-999,-999,-999
Pearl Kite,Gampsonyx swainsonii,Gampsonyx_swainsonii,Aves,Accipitriformes,Accipitridae,92.9,-999,94
White-tailed Hawk,Geranoaetus albicaudatus,Buteo_albicaudatus,Aves,Accipitriformes,Accipitridae,889,984,865
Black-chested Buzzard-Eagle,Geranoaetus melanoleucus,Geranoaetus_melanoleucus,Aves,Accipitriformes,Accipitridae,2433.75,2975.5,1919.5
Crane Hawk,Geranospiza caerulescens,Geranospiza_caerulescens,Aves,Accipitriformes,Accipitridae,303,328,279
Bearded Vulture,Gypaetus barbatus,Gypaetus_barbatus,Aves,Accipitriformes,Accipitridae,5606.041667,6212.5,5075
Palm-nut Vulture,Gypohierax angolensis,Gypohierax_angolensis,Aves,Accipitriformes,Accipitridae,1600,1712,1505
White-backed Vulture,Gyps africanus,Gyps_africanus,Aves,Accipitriformes,Accipitridae,5442.5,-999,-999
White-rumped Vulture,Gyps bengalensis,Gyps_bengalensis,Aves,Accipitriformes,Accipitridae,4871,-999,-999
Cape Vulture,Gyps coprotheres,Gyps_coprotheres,Aves,Accipitriformes,Accipitridae,7862,8525,8350
Griffon Vulture,Gyps fulvus,Gyps_fulvus,Aves,Accipitriformes,Accipitridae,7436,8525,8350
Himalayan Vulture,Gyps himalayensis,Gyps_himalayensis,Aves,Accipitriformes,Accipitridae,10000,9000,11000
Indian Vulture,Gyps indicus,Gyps_indicus,Aves,Accipitriformes,Accipitridae,5705,-999,-999
Slender-billed Vulture,Gyps tenuirostris,Gyps_tenuirostris,Aves,Accipitriformes,Accipitridae,5705,-999,-999
White-tailed Eagle,Haliaeetus albicilla,Haliaeetus_albicilla,Aves,Accipitriformes,Accipitridae,4793,5572,4014
Bald Eagle,Haliaeetus leucocephalus,Haliaeetus_leucocephalus,Aves,Accipitriformes,Accipitridae,4740,5350,4130
White-bellied Sea Eagle,Haliaeetus leucogaster,Haliaeetus_leucogaster,Aves,Accipitriformes,Accipitridae,2751.5,3330,2400
Pallas's Fish Eagle,Haliaeetus leucoryphus,Haliaeetus_leucoryphus,Aves,Accipitriformes,Accipitridae,2807.5,3088,2562
Steller's Sea Eagle,Haliaeetus pelagicus,Haliaeetus_pelagicus,Aves,Accipitriformes,Accipitridae,7224.75,7885,5500
Sanford's Sea Eagle,Haliaeetus sanfordi,Haliaeetus_sanfordi,Aves,Accipitriformes,Accipitridae,2190,2400,1980
African Fish Eagle,Haliaeetus vocifer,Haliaeetus_vocifer,Aves,Accipitriformes,Accipitridae,2806.5,3400,2212.75
Madagascan Fish Eagle,Haliaeetus vociferoides,Haliaeetus_vociferoides,Aves,Accipitriformes,Accipitridae,3000,3000,-999
Brahminy Kite,Haliastur indus,Haliastur_indus,Aves,Accipitriformes,Accipitridae,529,466,409
Whistling Kite,Haliastur sphenurus,Haliastur_sphenurus,Aves,Accipitriformes,Accipitridae,755,845,650
Black-breasted Buzzard,Hamirostra melanosternon,Hamirostra_melanosternon,Aves,Accipitriformes,Accipitridae,1196,-999,1196
Double-toothed Kite,Harpagus bidentatus,Harpagus_bidentatus,Aves,Accipitriformes,Accipitridae,198.5,255.5,187
Rufous-thighed Kite,Harpagus diodon,Harpagus_diodon,Aves,Accipitriformes,Accipitridae,200,200,-999
