COMMON_NAME,SCIENTIFIC_NAME,TipLabel,class,order,family,adult_body_mass_g,female_body_mass_g,male_body_mass_g
River Lapwing,Vanellus duvaucelii,Vanellus_duvaucelii,Aves,Charadriiformes,Charadriidae,158.75,143,174.5
Sociable Lapwing,Vanellus gregarius,Vanellus_gregarius,Aves,Charadriiformes,Charadriidae,231.25,208,252.25
Red-wattled Lapwing,Vanellus indicus,Vanellus_indicus,Aves,Charadriiformes,Charadriidae,175.5,170,181
White-tailed Lapwing,Vanellus leucurus,Vanellus_leucurus,Aves,Charadriiformes,Charadriidae,132,119,139
Senegal Lapwing,Vanellus lugubris,Vanellus_lugubris,Aves,Charadriiformes,Charadriidae,117,113,109.5
Yellow-wattled Lapwing,Vanellus malarbaricus,Vanellus_malarbaricus,Aves,Charadriiformes,Charadriidae,140,-999,-999
Spot-breasted Lapwing,Vanellus melanocephalus,Vanellus_melanocephalus,Aves,Charadriiformes,Charadriidae,213.75,-999,-999
Black-winged Lapwing,Vanellus melanopterus,Vanellus_melanopterus,Aves,Charadriiformes,Charadriidae,181,180,189.75
Masked Lapwing,Vanellus miles,Vanellus_miles,Aves,Charadriiformes,Charadriidae,379,248.4,254.6
Andean Lapwing,Vanellus resplendens,Vanellus_resplendens,Aves,Charadriiformes,Charadriidae,213.5,216,211
African Wattled Lapwing,Vanellus senegallus,Vanellus_senegallus,Aves,Charadriiformes,Charadriidae,238,-999,-999
Spur-winged Lapwing,Vanellus spinosus,Vanellus_spinosus,Aves,Charadriiformes,Charadriidae,187.65,183.9,191.75
Brown-chested Lapwing,Vanellus superciliosus,Vanellus_superciliosus,Aves,Charadriiformes,Charadriidae,150,-999,-999
Black-headed Lapwing,Vanellus tectus,Vanellus_tectus,Aves,Charadriiformes,Charadriidae,100,100,-999
Banded Lapwing,Vanellus tricolor,Vanellus_tricolor,Aves,Charadriiformes,Charadriidae,183,176,188
Northern Lapwing,Vanellus vanellus,Vanellus_vanellus,Aves,Charadriiformes,Charadriidae,218,226,211
Snowy Sheathbill,Chionis albus,Chionis_albus,Aves,Charadriiformes,Chionidae,663.25,636.5,725
Black-faced Sheathbill,Chionis minor,Chionis_minor,Aves,Charadriiformes,Chionidae,551,551,625
Crab-plover,Dromas ardeola,Dromas_ardeola,Aves,Charadriiformes,Dromadidae,309.25,325,262
Indian Courser,Cursorius coromandelicus,Cursorius_coromandelicus,Aves,Charadriiformes,Glareolidae,-999,-999,-999
Cream-colored Courser,Cursorius cursor,Cursorius_cursor,Aves,Charadriiformes,Glareolidae,138,128,133
Burchell's Courser,Cursorius rufus,Cursorius_rufus,Aves,Charadriiformes,Glareolidae,131.5,128,133
Somali Courser,Cursorius somalensis,Cursorius_somalensis,Aves,Charadriiformes,Glareolidae,138,128,133
Temminck's Courser,Cursorius temminckii,Cursorius_temminckii,Aves,Charadriiformes,Glareolidae,69.2,74.3,68.6
Grey Pratincole,Glareola cinerea,Glareola_cinerea,Aves,Charadriiformes,Glareolidae,37.4,37.4,-999
Small Pratincole,Glareola lactea,Glareola_lactea,Aves,Charadriiformes,Glareolidae,39.8,-999,-999
Oriental Pratincole,Glareola maldivarum,Glareola_maldivarum,Aves,Charadriiformes,Glareolidae,76,75.2,76.8
Black-winged Pratincole,Glareola nordmanni,Glareola_nordmanni,Aves,Charadriiformes,Glareolidae,97.2,96,98.75
Rock Pratincole,Glareola nuchalis,Glareola_nuchalis,Aves,Charadriiformes,Glareolidae,62.7,-999,-999
Madagascan Pratincole,Glareola ocularis,Glareola_ocularis,Aves,Charadriiformes,Glareolidae,92.5,82,103
Collared Pratincole,Glareola pratincola,Glareola_pratincola,Aves,Charadriiformes,Glareolidae,80.33333333,75,79
Double-banded Courser,Rhinoptilus africanus,Rhinoptilus_africanus,Aves,Charadriiformes,Glareolidae,87.25,88,86
Jerdon's Courser,Rhinoptilus bitorquatus,Rhinoptilus_bitorquatus,Aves,Charadriiformes,Glareolidae,164.5,-999,-999
Bronze-winged Courser,Rhinoptilus chalcopterus,Rhinoptilus_chalcopterus,Aves,Charadriiformes,Glareolidae,153.1,155.2,151
Three-banded Courser,Rhinoptilus cinctus,Rhinoptilus_cinctus,Aves,Charadriiformes,Glareolidae,109.6,-999,125
Australian Pratincole,Stiltia isabella,Stiltia_isabella,Aves,Charadriiformes,Glareolidae,65.5,65,66
Blackish Oystercatcher,Haematopus ater,Haematopus_ater,Aves,Charadriiformes,Haematopodidae,717.5,643,702
Black Oystercatcher,Haematopus bachmani,Haematopus_bachmani,Aves,Charadriiformes,Haematopodidae,555,548.5,542
Chatham Oystercatcher,Haematopus chathamensis,Haematopus_chathamensis,Aves,Charadriiformes,Haematopodidae,542,542,542
South Island Oystercatcher,Haematopus finschi,Haematopus_finschi,Aves,Charadriiformes,Haematopodidae,530.75,548.5,517
Sooty Oystercatcher,Haematopus fuliginosus,Haematopus_fuliginosus,Aves,Charadriiformes,Haematopodidae,789.2,778.5,740.3
Magellanic Oystercatcher,Haematopus leucopodus,Haematopus_leucopodus,Aves,Charadriiformes,Haematopodidae,618,632,598
Pied Oystercatcher,Haematopus longirostris,Haematopus_longirostris,Aves,Charadriiformes,Haematopodidae,566.25,616,580
African Oystercatcher,Haematopus moquini,Haematopus_moquini,Aves,Charadriiformes,Haematopodidae,547.25,542,542
Eurasian Oystercatcher,Haematopus ostralegus,Haematopus_ostralegus,Aves,Charadriiformes,Haematopodidae,526,539,521
American Oystercatcher,Haematopus palliatus,Haematopus_palliatus,Aves,Charadriiformes,Haematopodidae,560,616,554.5
Variable Oystercatcher,Haematopus unicolor,Haematopus_unicolor,Aves,Charadriiformes,Haematopodidae,552.5,579,620
Ibisbill,Ibidorhyncha struthersii,Ibidorhyncha_struthersii,Aves,Charadriiformes,Ibidorhynchidae,294,287,300
African Jacana,Actophilornis africanus,Actophilornis_africanus,Aves,Charadriiformes,Jacanidae,200.475,261,137
Madagascan Jacana,Actophilornis albinucha,Actophilornis_albinucha,Aves,Charadriiformes,Jacanidae,239,239,-999
Pheasant-tailed Jacana,Hydrophasianus chirurgus,Hydrophasianus_chirurgus,Aves,Charadriiformes,Jacanidae,178.5,214,126
Comb-crested Jacana,Irediparra gallinacea,Irediparra_gallinacea,Aves,Charadriiformes,Jacanidae,108,132.25,75.55
Wattled Jacana,Jacana jacana,Jacana_jacana,Aves,Charadriiformes,Jacanidae,120.85,144.1,87.5
Northern Jacana,Jacana spinosa,Jacana_spinosa,Aves,Charadriiformes,Jacanidae,116.15,153.2,86.9
Bronze-winged Jacana,Metopidius indicus,Metopidius_indicus,Aves,Charadriiformes,Jacanidae,155,282.4,176.2
Lesser Jacana,Microparra capensis,Microparra_capensis,Aves,Charadriiformes,Jacanidae,41.3,41.3,-999
Black Noddy,Anous minutus,Anous_minutus,Aves,Charadriiformes,Laridae,111.325,97.5,-999
Brown Noddy,Anous stolidus,Anous_stolidus,Aves,Charadriiformes,Laridae,180,171.5,186
Lesser Noddy,Anous tenuirostris,Anous_tenuirostris,Aves,Charadriiformes,Laridae,104.56,114,92
Black-fronted Tern,Chlidonias albostriatus,Sterna_albostriata,Aves,Charadriiformes,Laridae,93.85,-999,-999
Whiskered Tern,Chlidonias hybrida,Chlidonias_hybrida,Aves,Charadriiformes,Laridae,88,86,90
White-winged Tern,Chlidonias leucopterus,Chlidonias_leucopterus,Aves,Charadriiformes,Laridae,54.1,58.5,70.3
Black Tern,Chlidonias niger,Chlidonias_niger,Aves,Charadriiformes,Laridae,63,63,61.8
Brown-headed Gull,Chroicocephalus brunnicephalus,Larus_brunnicephalus,Aves,Charadriiformes,Laridae,585,525,632.5
Black-billed Gull,Chroicocephalus bulleri,Larus_bulleri,Aves,Charadriiformes,Laridae,230.5,218,243
Grey-headed Gull,Chroicocephalus cirrocephalus,Larus_cirrocephalus,Aves,Charadriiformes,Laridae,322.5,308.5,338.5
Slender-billed Gull,Chroicocephalus genei,Larus_genei,Aves,Charadriiformes,Laridae,281,236,275
Brown-hooded Gull,Chroicocephalus maculipennis,Larus_maculipennis,Aves,Charadriiformes,Laridae,351.75,-999,-999
Silver Gull,Chroicocephalus novaehollandiae,Larus_novaehollandiae,Aves,Charadriiformes,Laridae,295.375,240.5,302.5
Bonaparte's Gull,Chroicocephalus philadelphia,Larus_philadelphia,Aves,Charadriiformes,Laridae,191,175,189
Black-headed Gull,Chroicocephalus ridibundus,Larus_ridibundus,Aves,Charadriiformes,Laridae,271.6666667,254,277
Saunders's Gull,Chroicocephalus saundersi,Larus_saundersi,Aves,Charadriiformes,Laridae,196.5,-999,196.5
Red-billed Gull,Chroicocephalus scopulinus,Larus_scopulinus,Aves,Charadriiformes,Laridae,295.375,240.5,302.5
Andean Gull,Chroicocephalus serranus,Larus_serranus,Aves,Charadriiformes,Laridae,478,-999,478
Swallow-tailed Gull,Creagrus furcatus,Creagrus_furcatus,Aves,Charadriiformes,Laridae,687,-999,-999
Gull-billed Tern,Gelochelidon nilotica,Sterna_nilotica,Aves,Charadriiformes,Laridae,220.5,235,230
White Tern,Gygis alba,Gygis_alba,Aves,Charadriiformes,Laridae,115.5,321,379.5
Little Gull,Hydrocoloeus minutus,Larus_minutus,Aves,Charadriiformes,Laridae,118.5,98,99
Caspian Tern,Hydroprogne caspia,Sterna_caspia,Aves,Charadriiformes,Laridae,654.6666667,588,694
Audouin's Gull,Ichthyaetus audouinii,Larus_audouinii,Aves,Charadriiformes,Laridae,545.25,-999,-999
Pallas's Gull,Ichthyaetus ichthyaetus,Larus_ichthyaetus,Aves,Charadriiformes,Laridae,1423.5,1193,1582
White-eyed Gull,Ichthyaetus leucophthalmus,Larus_leucophthalmus,Aves,Charadriiformes,Laridae,330,303,357
Mediterranean Gull,Ichthyaetus melanocephalus,Larus_melanocephalus,Aves,Charadriiformes,Laridae,256,-999,-999
Relict Gull,Ichthyaetus relictus,Larus_relictus,Aves,Charadriiformes,Laridae,391.5,463,519
Inca Tern,Larosterna inca,Larosterna_inca,Aves,Charadriiformes,Laridae,199.5,-999,-999
European Herring Gull,Larus argentatus,Larus_argentatus,Aves,Charadriiformes,Laridae,1085,1015,1147
Armenian Gull,Larus armenicus,Larus_armenicus,Aves,Charadriiformes,Laridae,871,-999,-999
Olrog's Gull,Larus atlanticus,Larus_atlanticus,Aves,Charadriiformes,Laridae,770,766.5,930
Belcher's Gull,Larus belcheri,Larus_belcheri,Aves,Charadriiformes,Laridae,642.75,567.75,717.75
Caspian Gull,Larus cachinnans,Larus_cachinnans,Aves,Charadriiformes,Laridae,1089.5,1019,1160
California Gull,Larus californicus,Larus_californicus,Aves,Charadriiformes,Laridae,670.25,649.5,758.625
Mew Gull,Larus canus,Larus_canus,Aves,Charadriiformes,Laridae,415.75,393,426.25
Black-tailed Gull,Larus crassirostris,Larus_crassirostris,Aves,Charadriiformes,Laridae,558.75,522,591
Ring-billed Gull,Larus delawarensis,Larus_delawarensis,Aves,Charadriiformes,Laridae,518.5,471,566
Kelp Gull,Larus dominicanus,Larus_dominicanus,Aves,Charadriiformes,Laridae,989,840,1062
Lesser Black-backed Gull,Larus fuscus,Larus_fuscus,Aves,Charadriiformes,Laridae,1010.25,859,977
Glaucous-winged Gull,Larus glaucescens,Larus_glaucescens,Aves,Charadriiformes,Laridae,1010,946.1,1180
Iceland Gull,Larus glaucoides,Larus_glaucoides,Aves,Charadriiformes,Laridae,863,-999,863
Heermann's Gull,Larus heermanni,Larus_heermanni,Aves,Charadriiformes,Laridae,500,-999,-999
-999,Larus hemprichii,Larus_hemprichii,Aves,Charadriiformes,Laridae,482.25,400,510
Glaucous Gull,Larus hyperboreus,Larus_hyperboreus,Aves,Charadriiformes,Laridae,1605.5,1373,1702.75
Yellow-footed Gull,Larus livens,Larus_livens,Aves,Charadriiformes,Laridae,1009.25,809,994.5
Great Black-backed Gull,Larus marinus,Larus_marinus,Aves,Charadriiformes,Laridae,1658.5,1488,1827.5
Yellow-legged Gull,Larus michahellis,Larus_michahellis,Aves,Charadriiformes,Laridae,1089.5,1019,1160
Western Gull,Larus occidentalis,Larus_occidentalis,Aves,Charadriiformes,Laridae,931.5,809,994.5
Pacific Gull,Larus pacificus,Larus_pacificus,Aves,Charadriiformes,Laridae,1313.5,1077,1550
Slaty-backed Gull,Larus schistisagus,Larus_schistisagus,Aves,Charadriiformes,Laridae,1373,1373,1373
Thayer's Gull,Larus thayeri,Larus_thayeri,Aves,Charadriiformes,Laridae,1012.625,954.625,1054
Laughing Gull,Leucophaeus atricilla,Larus_atricilla,Aves,Charadriiformes,Laridae,308,289,317.25
Lava Gull,Leucophaeus fuliginosus,Larus_fuliginosus,Aves,Charadriiformes,Laridae,380,-999,-999
Grey Gull,Leucophaeus modestus,Larus_modestus,Aves,Charadriiformes,Laridae,329.5,-999,-999
Franklin's Gull,Leucophaeus pipixcan,Larus_pipixcan,Aves,Charadriiformes,Laridae,280,279,281
Dolphin Gull,Leucophaeus scoresbii,Leucophaeus_scoresbii,Aves,Charadriiformes,Laridae,525,498.75,550.5
Aleutian Tern,Onychoprion aleuticus,Sterna_aleutica,Aves,Charadriiformes,Laridae,120,-999,-999
Bridled Tern,Onychoprion anaethetus,Sterna_anaethetus,Aves,Charadriiformes,Laridae,133.3,133,139
Sooty Tern,Onychoprion fuscatus,Sterna_fuscata,Aves,Charadriiformes,Laridae,183,249,239
Ivory Gull,Pagophila eburnea,Pagophila_eburnea,Aves,Charadriiformes,Laridae,550,507,617
Large-billed Tern,Phaetusa simplex,Phaetusa_simplex,Aves,Charadriiformes,Laridae,239.25,-999,-999
Grey Noddy,Procelsterna albivitta,Procelsterna_albivitta,Aves,Charadriiformes,Laridae,53,-999,-999
Blue Noddy,Procelsterna cerulea,Procelsterna_cerulea,Aves,Charadriiformes,Laridae,53,-999,-999
Ross's Gull,Rhodostethia rosea,Rhodostethia_rosea,Aves,Charadriiformes,Laridae,187,144,180
Red-legged Kittiwake,Rissa brevirostris,Rissa_brevirostris,Aves,Charadriiformes,Laridae,384,382,400
Black-legged Kittiwake,Rissa tridactyla,Rissa_tridactyla,Aves,Charadriiformes,Laridae,407.75,393,421
Indian Skimmer,Rynchops albicollis,Rynchops_albicollis,Aves,Charadriiformes,Laridae,371,-999,-999
African Skimmer,Rynchops flavirostris,Rynchops_flavirostris,Aves,Charadriiformes,Laridae,164,164,164
Black Skimmer,Rynchops niger,Rynchops_niger,Aves,Charadriiformes,Laridae,299.5,254,346.5
Black-bellied Tern,Sterna acuticauda,Sterna_acuticauda,Aves,Charadriiformes,Laridae,-999,-999,-999
River Tern,Sterna aurantia,Sterna_aurantia,Aves,Charadriiformes,Laridae,-999,-999,-999
Roseate Tern,Sterna dougallii,Sterna_dougallii,Aves,Charadriiformes,Laridae,112,117,117
Forster's Tern,Sterna forsteri,Sterna_forsteri,Aves,Charadriiformes,Laridae,150,-999,-999
South American Tern,Sterna hirundinacea,Sterna_hirundinacea,Aves,Charadriiformes,Laridae,187,187,187
Common Tern,Sterna hirundo,Sterna_hirundo,Aves,Charadriiformes,Laridae,124,126,124
Arctic Tern,Sterna paradisaea,Sterna_paradisaea,Aves,Charadriiformes,Laridae,110,117,112
White-cheeked Tern,Sterna repressa,Sterna_repressa,Aves,Charadriiformes,Laridae,107.5,-999,128
White-fronted Tern,Sterna striata,Sterna_striata,Aves,Charadriiformes,Laridae,129,131.9,125.8
Black-naped Tern,Sterna sumatrana,Sterna_sumatrana,Aves,Charadriiformes,Laridae,106,106,106
Snowy-crowned Tern,Sterna trudeaui,Sterna_trudeaui,Aves,Charadriiformes,Laridae,153,-999,-999
Kerguelen Tern,Sterna virgata,Sterna_virgata,Aves,Charadriiformes,Laridae,126,-999,-999
Antarctic Tern,Sterna vittata,Sterna_vittata,Aves,Charadriiformes,Laridae,140,-999,-999
Little Tern,Sternula albifrons,Sterna_albifrons,Aves,Charadriiformes,Laridae,57.16666667,55,60
Least Tern,Sternula antillarum,Sterna_antillarum,Aves,Charadriiformes,Laridae,46.85,49.3,46.2
Damara Tern,Sternula balaenarum,Sterna_balaenarum,Aves,Charadriiformes,Laridae,59.35,-999,-999
Peruvian Tern,Sternula lorata,Sterna_lorata,Aves,Charadriiformes,Laridae,53.8,-999,-999
Fairy Tern,Sternula nereis,Sterna_nereis,Aves,Charadriiformes,Laridae,72.15,72.4,72.2
Saunders's Tern,Sternula saundersi,Sterna_saundersi,Aves,Charadriiformes,Laridae,42.5,48.75,60
Yellow-billed Tern,Sternula superciliaris,Sterna_superciliaris,Aves,Charadriiformes,Laridae,47.45,-999,-999
Lesser Crested Tern,Thalasseus bengalensis,Sterna_bengalensis,Aves,Charadriiformes,Laridae,213,-999,-999
Chinese Crested Tern,Thalasseus bernsteini,Sterna_bernsteini,Aves,Charadriiformes,Laridae,282,-999,-999
Elegant Tern,Thalasseus elegans,Sterna_elegans,Aves,Charadriiformes,Laridae,258.3,-999,-999
Royal Tern,Thalasseus maximus,Sterna_maxima,Aves,Charadriiformes,Laridae,418.5,385,464
Sandwich Tern,Thalasseus sandvicensis,Sterna_sandvicensis,Aves,Charadriiformes,Laridae,208,237,296
Sabine's Gull,Xema sabini,Xema_sabini,Aves,Charadriiformes,Laridae,195,177,199.5
Plains-wanderer,Pedionomus torquatus,Pedionomus_torquatus,Aves,Charadriiformes,Pedionomidae,67.8,73.7,54
Magellanic Plover,Pluvianellus socialis,Pluvianellus_socialis,Aves,Charadriiformes,Pluvianellidae,84.275,79.5,89.05
Egyptian Plover,Pluvianus aegyptius,Pluvianus_aegyptius,Aves,Charadriiformes,Pluvianidae,82,-999,-999
Banded Stilt,Cladorhynchus leucocephalus,Cladorhynchus_leucocephalus,Aves,Charadriiformes,Recurvirostridae,215.25,229,247.4
Black-winged Stilt,Himantopus himantopus,Himantopus_himantopus,Aves,Charadriiformes,Recurvirostridae,161,161,174.5
White-headed Stilt,Himantopus leucocephalus,Himantopus_leucocephalus,Aves,Charadriiformes,Recurvirostridae,161,161,174.5
Black-necked Stilt,Himantopus mexicanus,Himantopus_mexicanus,Aves,Charadriiformes,Recurvirostridae,169,168.7,170.4
Black Stilt,Himantopus novaezelandiae,Himantopus_novaezelandiae,Aves,Charadriiformes,Recurvirostridae,161,170.5,185
American Avocet,Recurvirostra americana,Recurvirostra_americana,Aves,Charadriiformes,Recurvirostridae,309.25,305.9,317.25
Andean Avocet,Recurvirostra andina,Recurvirostra_andina,Aves,Charadriiformes,Recurvirostridae,361,345,374
Pied Avocet,Recurvirostra avosetta,Recurvirostra_avosetta,Aves,Charadriiformes,Recurvirostridae,304,300.5,309.5
Red-necked Avocet,Recurvirostra novaehollandiae,Recurvirostra_novaehollandiae,Aves,Charadriiformes,Recurvirostridae,324.675,313.9,316.95
South American Painted-snipe,Nycticryphes semicollaris,Rostratula_semicollaris,Aves,Charadriiformes,Rostratulidae,76.6,-999,-999
Australian Painted-snipe,Rostratula australis,Rostratula_australis,Aves,Charadriiformes,Rostratulidae,127,140,133
Greater Painted-snipe,Rostratula benghalensis,Rostratula_benghalensis,Aves,Charadriiformes,Rostratulidae,127,140,133
Common Sandpiper,Actitis hypoleucos,Actitis_hypoleucos,Aves,Charadriiformes,Scolopacidae,48,52.3,47.25
Spotted Sandpiper,Actitis macularius,Actitis_macularius,Aves,Charadriiformes,Scolopacidae,41.85833333,47.25,36.9
Surfbird,Aphriza virgata,Aphriza_virgata,Aves,Charadriiformes,Scolopacidae,197.775,216.15,186.9
Ruddy Turnstone,Arenaria interpres,Arenaria_interpres,Aves,Charadriiformes,Scolopacidae,135,120.3,110.3
Black Turnstone,Arenaria melanocephala,Arenaria_melanocephala,Aves,Charadriiformes,Scolopacidae,118.9,129.6,114.55
Upland Sandpiper,Bartramia longicauda,Bartramia_longicauda,Aves,Charadriiformes,Scolopacidae,152.25,168.25,148.5
Sharp-tailed Sandpiper,Calidris acuminata,Calidris_acuminata,Aves,Charadriiformes,Scolopacidae,67.7,63.5,71.65
Sanderling,Calidris alba,Calidris_alba,Aves,Charadriiformes,Scolopacidae,55.55,55.4,52.8
Dunlin,Calidris alpina,Calidris_alpina,Aves,Charadriiformes,Scolopacidae,54.6,57.125,52.25
Baird's Sandpiper,Calidris bairdii,Calidris_bairdii,Aves,Charadriiformes,Scolopacidae,39.41666667,39.7,39.3
Red Knot,Calidris canutus,Calidris_canutus,Aves,Charadriiformes,Scolopacidae,137.0666667,147.95,125.75
Curlew Sandpiper,Calidris ferruginea,Calidris_ferruginea,Aves,Charadriiformes,Scolopacidae,59.6,63.3,63.2
White-rumped Sandpiper,Calidris fuscicollis,Calidris_fuscicollis,Aves,Charadriiformes,Scolopacidae,44.55,45.8,43
Stilt Sandpiper,Calidris himantopus,Calidris_himantopus,Aves,Charadriiformes,Scolopacidae,57.5,60.65,54.2
Purple Sandpiper,Calidris maritima,Calidris_maritima,Aves,Charadriiformes,Scolopacidae,69.475,74.9,67
Western Sandpiper,Calidris mauri,Calidris_mauri,Aves,Charadriiformes,Scolopacidae,26.71666667,31,26.6
Pectoral Sandpiper,Calidris melanotos,Calidris_melanotos,Aves,Charadriiformes,Scolopacidae,85,65.1,97.8
Little Stint,Calidris minuta,Calidris_minuta,Aves,Charadriiformes,Scolopacidae,22,28.85,25.3
Least Sandpiper,Calidris minutilla,Calidris_minutilla,Aves,Charadriiformes,Scolopacidae,23.45,23.65,22
Rock Sandpiper,Calidris ptilocnemis,Calidris_ptilocnemis,Aves,Charadriiformes,Scolopacidae,79.65,84.25,76.6
Semipalmated Sandpiper,Calidris pusilla,Calidris_pusilla,Aves,Charadriiformes,Scolopacidae,26.36666667,26.75,24.75
Red-necked Stint,Calidris ruficollis,Calidris_ruficollis,Aves,Charadriiformes,Scolopacidae,26.95,26.9,26.65
Long-toed Stint,Calidris subminuta,Calidris_subminuta,Aves,Charadriiformes,Scolopacidae,30.1,28.4,28.2
Temminck's Stint,Calidris temminckii,Calidris_temminckii,Aves,Charadriiformes,Scolopacidae,25.7,27.8,24.3
Great Knot,Calidris tenuirostris,Calidris_tenuirostris,Aves,Charadriiformes,Scolopacidae,179.1666667,174,156
Subantarctic Snipe,Coenocorypha aucklandica,Coenocorypha_aucklandica,Aves,Charadriiformes,Scolopacidae,108.325,116.05,101.2
Chatham Snipe,Coenocorypha pusilla,Coenocorypha_pusilla,Aves,Charadriiformes,Scolopacidae,101,114.25,89
Spoon-billed Sandpiper,Eurynorhynchus pygmeus,Eurynorhynchus_pygmeus,Aves,Charadriiformes,Scolopacidae,32.275,34,29.5
Puna Snipe,Gallinago andina,Gallinago_andina,Aves,Charadriiformes,Scolopacidae,112,113,109
Common Snipe,Gallinago gallinago,Gallinago_gallinago,Aves,Charadriiformes,Scolopacidae,113,116,100.5
Latham's Snipe,Gallinago hardwickii,Gallinago_hardwickii,Aves,Charadriiformes,Scolopacidae,155.5666667,160.45,148.3
Andean Snipe,Gallinago jamesoni,Gallinago_jamesoni,Aves,Charadriiformes,Scolopacidae,174,-999,-999
Madagascan Snipe,Gallinago macrodactyla,Gallinago_macrodactyla,Aves,Charadriiformes,Scolopacidae,216,216,-999
Great Snipe,Gallinago media,Gallinago_media,Aves,Charadriiformes,Scolopacidae,174.5,179.5,156
Swinhoe's Snipe,Gallinago megala,Gallinago_megala,Aves,Charadriiformes,Scolopacidae,121,-999,138
Wood Snipe,Gallinago nemoricola,Gallinago_nemoricola,Aves,Charadriiformes,Scolopacidae,170,-999,-999
African Snipe,Gallinago nigripennis,Gallinago_nigripennis,Aves,Charadriiformes,Scolopacidae,114,-999,-999
Noble Snipe,Gallinago nobilis,Gallinago_nobilis,Aves,Charadriiformes,Scolopacidae,192.5,197,188
South American Snipe,Gallinago paraguaiae,Gallinago_paraguaiae,Aves,Charadriiformes,Scolopacidae,112.5,114,109
Solitary Snipe,Gallinago solitaria,Gallinago_solitaria,Aves,Charadriiformes,Scolopacidae,140.75,142.5,139
Pin-tailed Snipe,Gallinago stenura,Gallinago_stenura,Aves,Charadriiformes,Scolopacidae,116.5,133,112
Fuegian Snipe,Gallinago stricklandii,Gallinago_stricklandii,Aves,Charadriiformes,Scolopacidae,237.5,-999,237.5
Giant Snipe,Gallinago undulata,Gallinago_undulata,Aves,Charadriiformes,Scolopacidae,313,332,294
Broad-billed Sandpiper,Limicola falcinellus,Limicola_falcinellus,Aves,Charadriiformes,Scolopacidae,37.1,-999,-999
Short-billed Dowitcher,Limnodromus griseus,Limnodromus_griseus,Aves,Charadriiformes,Scolopacidae,110.375,116.25,109.125
Long-billed Dowitcher,Limnodromus scolopaceus,Limnodromus_scolopaceus,Aves,Charadriiformes,Scolopacidae,108.125,112.5,103.5
Asian Dowitcher,Limnodromus semipalmatus,Limnodromus_semipalmatus,Aves,Charadriiformes,Scolopacidae,198.75,190,181
Marbled Godwit,Limosa fedoa,Limosa_fedoa,Aves,Charadriiformes,Scolopacidae,370.25,412,323
Hudsonian Godwit,Limosa haemastica,Limosa_haemastica,Aves,Charadriiformes,Scolopacidae,255.5,289,222
Bar-tailed Godwit,Limosa lapponica,Limosa_lapponica,Aves,Charadriiformes,Scolopacidae,311.5,342,292.25
Black-tailed Godwit,Limosa limosa,Limosa_limosa,Aves,Charadriiformes,Scolopacidae,306.5,330,276
Jack Snipe,Lymnocryptes minimus,Lymnocryptes_minimus,Aves,Charadriiformes,Scolopacidae,52,46.7,53.7
Long-billed Curlew,Numenius americanus,Numenius_americanus,Aves,Charadriiformes,Scolopacidae,635.75,642,538
Eurasian Curlew,Numenius arquata,Numenius_arquata,Aves,Charadriiformes,Scolopacidae,735,828.5,691
Eskimo Curlew,Numenius borealis,Numenius_borealis,Aves,Charadriiformes,Scolopacidae,368.5,-999,-999
Far Eastern Curlew,Numenius madagascariensis,Numenius_madagascariensis,Aves,Charadriiformes,Scolopacidae,824.75,813.95,813.6
Little Curlew,Numenius minutus,Numenius_minutus,Aves,Charadriiformes,Scolopacidae,172.25,182,161.5
Whimbrel,Numenius phaeopus,Numenius_phaeopus,Aves,Charadriiformes,Scolopacidae,383,398,354
Bristle-thighed Curlew,Numenius tahitiensis,Numenius_tahitiensis,Aves,Charadriiformes,Scolopacidae,418.3,463,378
Slender-billed Curlew,Numenius tenuirostris,Numenius_tenuirostris,Aves,Charadriiformes,Scolopacidae,307.75,307.75,-999
Red Phalarope,Phalaropus fulicarius,Phalaropus_fulicarius,Aves,Charadriiformes,Scolopacidae,55.9,61.65,50.2
Red-necked Phalarope,Phalaropus lobatus,Phalaropus_lobatus,Aves,Charadriiformes,Scolopacidae,35,38.2,33.2
Wilson's Phalarope,Phalaropus tricolor,Steganopus_tricolor,Aves,Charadriiformes,Scolopacidae,59.15,68.1,51
Ruff,Philomachus pugnax,Philomachus_pugnax,Aves,Charadriiformes,Scolopacidae,140.25,110.75,180
Kiritimati Sandpiper,Prosobonia cancellata,Prosobonia_cancellata,Aves,Charadriiformes,Scolopacidae,36,-999,-999
Bukidnon Woodcock,Scolopax bukidnonensis,Scolopax_bukidnonensis,Aves,Charadriiformes,Scolopacidae,244.75,-999,-999
American Woodcock,Scolopax minor,Scolopax_minor,Aves,Charadriiformes,Scolopacidae,196.25,219,176
Amami Woodcock,Scolopax mira,Scolopax_mira,Aves,Charadriiformes,Scolopacidae,312.5,313,306
New Guinea Woodcock,Scolopax rosenbergii,Scolopax_rosenbergii,Aves,Charadriiformes,Scolopacidae,205,220,-999
Eurasian Woodcock,Scolopax rusticola,Scolopax_rusticola,Aves,Charadriiformes,Scolopacidae,309.5,313,306
Javan Woodcock,Scolopax saturata,Scolopax_saturata,Aves,Charadriiformes,Scolopacidae,205,220,-999
Grey-tailed Tattler,Tringa brevipes,Heteroscelus_brevipes,Aves,Charadriiformes,Scolopacidae,112.8333333,87,101
Spotted Redshank,Tringa erythropus,Tringa_erythropus,Aves,Charadriiformes,Scolopacidae,158,171,148
