class,order,family,genus,species,subspecies,common_name,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,gestation_d,weaning_d,birth_or_hatching_weight_g,weaning_weight_g,egg_mass_g,incubation_d,fledging_age_d,longevity_y,male_maturity_d,inter_litter_or_interbirth_interval_y,female_body_mass_g,male_body_mass_g,no_sex_body_mass_g,egg_width_mm,egg_length_mm,fledging_mass_g,adult_svl_cm,male_svl_cm,female_svl_cm,birth_or_hatching_svl_cm,female_svl_at_maturity_cm,female_body_mass_at_maturity_g,no_sex_svl_cm,no_sex_maturity_d
Aves,Accipitriformes,Accipitridae,Accipiter,soloensis,-999,Chinese Sparrowhawk,726.936,3.5,-999,161,-999,-999,-999,-999,-999,17,-999,-999,-999,-999,-999,192.5,149.5,-999,-999,-999,-999,27.5,-999,-999,-999,-999,-999,-999,-999
Aves,Accipitriformes,Accipitridae,Accipiter,striatus,-999,Sharp-shinned Hawk,547.875,4.25,1,138.5,19.9,-999,-999,-999,-999,19.3,33,24.25,12.58333333,365,-999,174,103,138.5,-999,-999,-999,29,-999,-999,-999,-999,-999,-999,-999
Aves,Accipitriformes,Accipitridae,Accipiter,superciliosus,-999,Tiny Hawk,-999,1.85,-999,73.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,134,73.875,-999,-999,-999,-999,23,-999,-999,-999,-999,-999,-999,-999
Aves,Accipitriformes,Accipitridae,Accipiter,tachiro,-999,African Goshawk,-999,2.45,1.5,298.5,-999,-999,-999,-999,-999,34,29,32,-999,-999,-999,340.5,203.5,341.85,-999,-999,-999,38.5,-999,-999,-999,-999,-999,-999,-999
Aves,Accipitriformes,Accipitridae,Accipiter,toussenelii,-999,Red-chested Goshawk,-999,2.45,1.5,298.5,-999,-999,-999,-999,-999,34,29,32,-999,-999,-999,340.5,203.5,341.85,-999,-999,-999,38.5,-999,-999,-999,-999,-999,-999,-999
Aves,Accipitriformes,Accipitridae,Accipiter,trinotatus,-999,Spot-tailed Sparrowhawk,-999,-999,-999,146.25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,146.25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aves,Accipitriformes,Accipitridae,Accipiter,trivirgatus,-999,Crested Goshawk,-999,2,-999,276,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,353,199,-999,-999,-999,-999,38,-999,-999,-999,-999,-999,-999,-999
Aves,Accipitriformes,Accipitridae,Accipiter,ventralis,-999,Plain-breasted Hawk,547.875,4.25,1,138.5,19.9,-999,-999,-999,-999,19.3,33,24.25,12.58333333,365,-999,174,103,138.5,-999,-999,-999,29,-999,-999,-999,-999,-999,-999,-999
Aves,Accipitriformes,Accipitridae,Accipiter,virgatus,-999,Besra,-999,3.5,-999,113.5,-999,-999,-999,-999,-999,18,-999,-999,-999,-999,-999,141.5,101.825,-999,-999,-999,-999,30,-999,-999,-999,-999,-999,-999,-999
Aves,Accipitriformes,Accipitridae,Aegypius,monachus,-999,Cinereous Vulture,1999.074,1,1,9625,39,-999,-999,-999,-999,243,53.5,112.5,32.25,-999,-999,10000,9250,8200,-999,-999,-999,110,-999,-999,-999,-999,-999,-999,-999
Aves,Accipitriformes,Accipitridae,Aegypius,occipitalis,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,77,-999,-999,-999,-999,-999,-999,-999
Aves,Accipitriformes,Accipitridae,Aquila,adalberti,-999,Spanish Imperial Eagle,1767.453,2.5,1,3262,56,-999,-999,78,-999,132,43,71,44.5,-999,-999,3873,2624,3000,-999,-999,-999,76,-999,-999,-999,-999,-999,-999,-999
Aves,Accipitriformes,Accipitridae,Aquila,africana,-999,Cassin's Hawk-Eagle,-999,-999,-999,1060.125,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1153,993.75,1046.25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aves,Accipitriformes,Accipitridae,Aquila,audax,-999,Wedge-tailed Eagle,1638.279,2,2,3466,40,-999,-999,-999,-999,143,43,79,33.2,1095.75,1,3855,3041.5,3402,-999,-999,-999,95.5,-999,-999,-999,-999,-999,-999,1095.75
Aves,Accipitriformes,Accipitridae,Aquila,ayresii,-999,-999,-999,1.5,1,812,-999,-999,-999,-999,-999,72,45,75,-999,-999,-999,910,714,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aves,Accipitriformes,Accipitridae,Aquila,chrysaetos,-999,Golden Eagle,1460,2,1,4383,48,-999,-999,104.05,-999,142,44,74.5,32,1460,-999,4692.25,3708.25,3640.75,-999,-999,3518,78,-999,-999,-999,-999,-999,-999,-999
Aves,Accipitriformes,Accipitridae,Aquila,fasciata,-999,Bonelli's Eagle,1090.404,2,1,2000,20,-999,-999,-999,-999,112,39.25,62.5,20,-999,-999,2500,1560,2049,-999,-999,-999,61,-999,-999,-999,-999,-999,-999,-999
Aves,Accipitriformes,Accipitridae,Aquila,gurneyi,-999,Gurney's Eagle,-999,-999,-999,3060,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3060,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aves,Accipitriformes,Accipitridae,Aquila,heliaca,-999,Eastern Imperial Eagle,1635.606,2.5,1,3262,56,-999,-999,78,-999,132.25,43,70.5,56,-999,-999,3845,2949,-999,-999,-999,-999,76,-999,-999,-999,-999,-999,-999,-999
Aves,Accipitriformes,Accipitridae,Aquila,nipalensis,-999,Steppe Eagle,1453.872,2,1,2534.5,42.5,-999,-999,92.5,-999,117,44.5,84,40.65,-999,-999,2987,2333,2486.5,-999,-999,-999,68.25,-999,-999,-999,-999,-999,-999,-999
Aves,Accipitriformes,Accipitridae,Aquila,rapax,-999,Tawny Eagle,1453.872,2,1,2347,42.5,-999,-999,92.5,-999,105.4,44.5,84,40.3,-999,-999,2405.5,2034.6,2486.5,-999,-999,-999,66,-999,-999,-999,-999,-999,-999,-999
Aves,Accipitriformes,Accipitridae,Aquila,spilogaster,-999,African Hawk-Eagle,1453.872,2,1,1413.833333,-999,-999,-999,-999,-999,87,43,69,-999,-999,-999,1631,1318,1420,-999,-999,-999,58.5,-999,-999,-999,-999,-999,-999,-999
Aves,Accipitriformes,Accipitridae,Aquila,verreauxii,-999,Verreaux's Eagle,1817.34,2,1,4195,40,-999,-999,95,-999,147.5,44.5,94,40,-999,-999,4355.5,3665,4195,-999,-999,-999,84,-999,-999,-999,-999,-999,-999,-999
Aves,Accipitriformes,Accipitridae,Aviceda,cuculoides,-999,African Cuckoo-Hawk,-999,2,1,275.75,-999,-999,-999,-999,-999,31.4,32.5,29,-999,-999,-999,-999,-999,275.75,-999,-999,-999,40.5,-999,-999,-999,-999,-999,-999,-999
Aves,Accipitriformes,Accipitridae,Aviceda,jerdoni,-999,Jerdon's Baza,-999,2.7,-999,363,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,363,-999,-999,-999,-999,44.5,-999,-999,-999,-999,-999,-999,-999
Aves,Accipitriformes,Accipitridae,Aviceda,leuphotes,-999,Black Baza,-999,2.7,-999,196,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,196,-999,-999,-999,31.5,-999,-999,-999,-999,-999,-999,-999
Aves,Accipitriformes,Accipitridae,Aviceda,subcristata,-999,Pacific Baza,-999,2.5,-999,328,-999,-999,-999,-999,-999,29,-999,-999,-999,-999,-999,346.875,308.75,-999,-999,-999,-999,40.5,-999,-999,-999,-999,-999,-999,-999
Aves,Accipitriformes,Accipitridae,Busarellus,nigricollis,-999,Black-collared Hawk,-999,1.75,-999,614,-999,-999,-999,-999,-999,64,-999,-999,-999,-999,-999,956,613.5,-999,-999,-999,-999,52.5,-999,-999,-999,-999,-999,-999,-999
Aves,Accipitriformes,Accipitridae,Butastur,indicus,-999,Grey-faced Buzzard,726.936,3,-999,402,8.5,-999,-999,-999,-999,42,-999,35,8.5,-999,-999,433,400.5,-999,-999,-999,-999,44.5,-999,-999,-999,-999,-999,-999,-999
