SCIENTIFIC_NAME_tree,TipLabel,COMMON_NAME_tree,ebird_SCIENTIFIC_NAME,Taxonomy,Clade,BLFamilyLatin,BLFamilyEnglish,FamSequID,Order,OscSubOsc,matched
Ceyx pictus,Ceyx_pictus,African Pygmy-kingfisher,Ispidina picta,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,No
Alcedo vintsioides,Alcedo_vintsioides,Madagascar Kingfisher,Corythornis vintsioides,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,No
Alcedo argentata,Alcedo_argentata,Silvery Kingfisher,Ceyx argentatus,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,No
Tockus nasutus,Tockus_nasutus,African Grey Hornbill,Lophoceros nasutus,BL3,Bucerotidae,Bucerotidae,Hornbills,91,BUCEROTIFORMES,NONPASSERIFORMES,No
Aceros plicatus,Aceros_plicatus,Papuan Hornbill,Rhyticeros plicatus,BL3,Bucerotidae,Bucerotidae,Hornbills,91,BUCEROTIFORMES,NONPASSERIFORMES,No
Aceros waldeni,Aceros_waldeni,Rufous-headed Hornbill,Rhabdotorrhinus waldeni,BL3,Bucerotidae,Bucerotidae,Hornbills,91,BUCEROTIFORMES,NONPASSERIFORMES,No
Bucorvus cafer,Bucorvus_cafer,Southern Ground-hornbill,Bucorvus leadbeateri,BL3,Bucerotidae,Bucorvidae,Ground-hornbills,92,BUCEROTIFORMES,NONPASSERIFORMES,No
Pogoniulus coryphaeus,Pogoniulus_coryphaeus,Western Green-tinkerbird,Pogoniulus coryphaea,BL3,Ramphastidae,Ramphastidae,Toucans and barbets,93,PICIFORMES,NONPASSERIFORMES,No
Pogoniulus makawai,Pogoniulus_makawai,White-chested Tinkerbird,Pogoniulus bilineatus,BL3,Ramphastidae,Ramphastidae,Toucans and barbets,93,PICIFORMES,NONPASSERIFORMES,No
Ramphastos swainsonii,Ramphastos_swainsonii,Chestnut-mandibled Toucan,Ramphastos ambiguus,BL3,Ramphastidae,Ramphastidae,Toucans and barbets,93,PICIFORMES,NONPASSERIFORMES,No
Trachyphonus usambiro,Trachyphonus_usambiro,Usambiro Barbet,Trachyphonus darnaudii,BL3,Ramphastidae,Ramphastidae,Toucans and barbets,93,PICIFORMES,NONPASSERIFORMES,No
Picumnus nigropunctatus,Picumnus_nigropunctatus,Black-dotted Piculet,Picumnus squamulatus,IOC27,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES,No
Veniliornis sanguineus,Veniliornis_sanguineus,Blood-coloured Woodpecker,Dryobates sanguineus,BL3,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES,No
Dendropicos elachus,Dendropicos_elachus,Sahelian Woodpecker,Chloropicus elachus,BL3,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES,No
Dendropicos spodocephalus,Dendropicos_spodocephalus,Eastern Grey Woodpecker,Chloropicus spodocephalus,IOC27,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES,No
Dendrocopos canicapillus,Dendrocopos_canicapillus,Grey-capped Woodpecker,Yungipicus canicapillus,BL3,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES,No
Mesopicos goertae,Mesopicos_goertae,Grey Woodpecker,Chloropicus goertae,BL3,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES,No
Pitta ussheri,Pitta_ussheri,Black-headed Pitta,Erythropitta ussheri,BL3,EurylaimidaePittidae,Pittidae,Pittas,102,PASSERIFORMES,Tyranni,No
Pitta erythrogaster,Pitta_erythrogaster,Red-bellied Pitta,Erythropitta erythrogaster,BL3,EurylaimidaePittidae,Pittidae,Pittas,102,PASSERIFORMES,Tyranni,No
Pitta guajana,Pitta_guajana,Banded Pitta,Hydrornis guajanus,BL3,EurylaimidaePittidae,Pittidae,Pittas,102,PASSERIFORMES,Tyranni,No
Pachyramphus xanthogenys,Pachyramphus_xanthogenys,Yellow-cheeked Becard,Pachyramphus viridis,IOC27,TitTyranRest,Cotingidae,Cotingas,104,PASSERIFORMES,Tyranni,No
Laniisoma buckleyi,Laniisoma_buckleyi,Andean Laniisoma,Laniisoma elegans,IOC27,TitTyranRest,Cotingidae,Cotingas,104,PASSERIFORMES,Tyranni,No
Phaeomyias tumbezana,Phaeomyias_tumbezana,Tumbesian Tyrannulet,Phaeomyias murina,IOC27,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni,No
Phyllomyias zeledoni,Phyllomyias_zeledoni,White-fronted Tyrannulet,Phyllomyias burmeisteri,IOC27,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni,No
Onychorhynchus swainsoni,Onychorhynchus_swainsoni,Atlantic Royal Flycatcher,Onychorhynchus coronatus,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni,No
Onychorhynchus occidentalis,Onychorhynchus_occidentalis,Pacific Royal Flycatcher,Onychorhynchus coronatus,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni,No
Onychorhynchus mexicanus,Onychorhynchus_mexicanus,Northern Royal Flycatcher,Onychorhynchus coronatus,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni,No
Ochthoeca thoracica,Ochthoeca_thoracica,Maroon-belted Chat-Tyrant,Ochthoeca cinnamomeiventris,IOC27,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni,No
Ochthoeca nigrita,Ochthoeca_nigrita,Blackish Chat-Tyrant,Ochthoeca cinnamomeiventris,IOC27,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni,No
Tolmomyias flavotectus,Tolmomyias_flavotectus,Yellow-margined Flatbill,Tolmomyias assimilis,IOC27,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni,No
Tolmomyias viridiceps,Tolmomyias_viridiceps,Olive-faced Flatbill,Tolmomyias flaviventris,IOC27,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni,No
Zimmerius flavidifrons,Zimmerius_flavidifrons,Loja Tyrannulet,Zimmerius viridiflavus,IOC27,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni,No
Contopus punensis,Contopus_punensis,Tumbes Pewee,Contopus cinereus,IOC27,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni,No
Anairetes agraphia,Anairetes_agraphia,Unstreaked Tit-tyrant,Uromyias agraphia,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni,No
Anairetes agilis,Anairetes_agilis,Agile Tit-tyrant,Uromyias agilis,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni,No
Myrmeciza immaculata,Myrmeciza_immaculata,Immaculate Antbird,Hafferia immaculata,BL3,Thamnophilidae,Thamnophilidae,Antbirds,106,PASSERIFORMES,Tyranni,No
Myrmeciza griseiceps,Myrmeciza_griseiceps,Grey-headed Antbird,Ampelornis griseiceps,BL3,Thamnophilidae,Thamnophilidae,Antbirds,106,PASSERIFORMES,Tyranni,No
Myrmotherula luctuosa,Myrmotherula_luctuosa,Silvery-flanked Antwren,Myrmotherula axillaris,IOC27,Thamnophilidae,Thamnophilidae,Antbirds,106,PASSERIFORMES,Tyranni,No
Myrmeciza pelzelni,Myrmeciza_pelzelni,Grey-bellied Antbird,Ammonastes pelzelni,BL3,Thamnophilidae,Thamnophilidae,Antbirds,106,PASSERIFORMES,Tyranni,No
Schistocichla schistacea,Schistocichla_schistacea,Slate-coloured Antbird,Myrmelastes schistaceus,BL3,Thamnophilidae,Thamnophilidae,Antbirds,106,PASSERIFORMES,Tyranni,No
Cercomacra laeta,Cercomacra_laeta,Laeta Antbird,Cercomacroides laeta,BL3,Thamnophilidae,Thamnophilidae,Antbirds,106,PASSERIFORMES,Tyranni,No
Formicivora intermedia,Formicivora_intermedia,Northern White-fringed Antwren,Formicivora grisea,IOC27,Thamnophilidae,Thamnophilidae,Antbirds,106,PASSERIFORMES,Tyranni,No
Skutchia borbae,Skutchia_borbae,Pale-faced Antbird,Phlegopsis borbae,BL3,Thamnophilidae,Formicariidae,Antthrushes and antpittas,109,PASSERIFORMES,Tyranni,No
Formicarius moniliger,Formicarius_moniliger,Mayan Antthrush,Formicarius analis,IOC27,Antthrushes,Formicariidae,Antthrushes and antpittas,109,PASSERIFORMES,Tyranni,No
Oreophylax moreirae,Oreophylax_moreirae,Itatiaia Thistletail,Asthenes moreirae,BL3,Furnaridae,Furnariidae,Ovenbirds,110,PASSERIFORMES,Tyranni,No
Phacellodomus inornatus,Phacellodomus_inornatus,Plain Thornbird,Phacellodomus rufifrons,IOC27,Furnaridae,Furnariidae,Ovenbirds,110,PASSERIFORMES,Tyranni,No
Pseudocolaptes johnsoni,Pseudocolaptes_johnsoni,Pacific Tuftedcheek,Pseudocolaptes lawrencii,IOC27,Furnaridae,Furnariidae,Ovenbirds,110,PASSERIFORMES,Tyranni,No
Schizoeaca griseomurina,Schizoeaca_griseomurina,Mouse-coloured Thistletail,Asthenes griseomurina,BL3,Furnaridae,Furnariidae,Ovenbirds,110,PASSERIFORMES,Tyranni,No
Upucerthia jelskii,Upucerthia_jelskii,Plain-breasted Earthcreeper,Upucerthia validirostris,BL3,Furnaridae,Furnariidae,Ovenbirds,110,PASSERIFORMES,Tyranni,No
Asthenes arequipae,Asthenes_arequipae,Dark-winged Canastero,Asthenes dorbignyi,IOC27,Furnaridae,Furnariidae,Ovenbirds,110,PASSERIFORMES,Tyranni,No
Asthenes huancavelicae,Asthenes_huancavelicae,Pale-tailed Canastero,Asthenes dorbignyi,IOC27,Furnaridae,Furnariidae,Ovenbirds,110,PASSERIFORMES,Tyranni,No
Cranioleuca baroni,Cranioleuca_baroni,Baron's Spinetail,Cranioleuca antisiensis,BL3,Furnaridae,Furnariidae,Ovenbirds,110,PASSERIFORMES,Tyranni,No
Hyloctistes virgatus,Hyloctistes_virgatus,Western Woodhaunter,Automolus subulatus,IOC27,Furnaridae,Furnariidae,Ovenbirds,110,PASSERIFORMES,Tyranni,No
Furnarius cinnamomeus,Furnarius_cinnamomeus,Pacific Hornero,Furnarius leucopus,IOC27,Furnaridae,Furnariidae,Ovenbirds,110,PASSERIFORMES,Tyranni,No
Furnarius longirostris,Furnarius_longirostris,Caribbean Hornero,Furnarius leucopus,IOC27,Furnaridae,Furnariidae,Ovenbirds,110,PASSERIFORMES,Tyranni,No
Hylexetastes uniformis,Hylexetastes_uniformis,Uniform Woodcreeper,Hylexetastes perrotii,BL3,Furnaridae,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,Tyranni,No
Hylexetastes brigidai,Hylexetastes_brigidai,Mato Grosso Woodcreeper,Hylexetastes perrotii,BL3,Furnaridae,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,Tyranni,No
Phylidonyris notabilis,Phylidonyris_notabilis,New Hebrides Honeyeater,Gliciphila notabilis,BL3,BC7,Meliphagidae,Honeyeaters,117,PASSERIFORMES,Passeri,No
Philemon novaeguineae,Philemon_novaeguineae,New Guinea Friarbird,Philemon buceroides,BL3,BC7,Meliphagidae,Honeyeaters,117,PASSERIFORMES,Passeri,No
Lichenostomus keartlandi,Lichenostomus_keartlandi,Grey-headed Honeyeater,Ptilotula keartlandi,BL3,BC7,Meliphagidae,Honeyeaters,117,PASSERIFORMES,Passeri,No
Melidectes sclateri,Melidectes_sclateri,San Cristobal Melidectes,Meliarchus sclateri,BL3,BC7,Meliphagidae,Honeyeaters,117,PASSERIFORMES,Passeri,No
Melidectes whitemanensis,Melidectes_whitemanensis,Bismarck Melidectes,Vosea whitemanensis,BL3,BC7,Meliphagidae,Honeyeaters,117,PASSERIFORMES,Passeri,No
Lichenostomus plumulus,Lichenostomus_plumulus,Grey-fronted Honeyeater,Ptilotula plumula,BL3,BC7,Meliphagidae,Honeyeaters,117,PASSERIFORMES,Passeri,No
Gerygone cinerea,Gerygone_cinerea,Mountain Gerygone,Acanthiza cinerea,BL3,BC6,Acanthizidae,Thornbills and gerygones,120,PASSERIFORMES,Passeri,No
Toxorhamphus iliolophus,Toxorhamphus_iliolophus,Plumed Longbill,Oedistoma iliolophus,BL3,CC1,Melanocharitidae,Berrypeckers,124,PASSERIFORMES,Passeri,No
Telophorus quadricolor,Telophorus_quadricolor,Four-coloured Bush-shrike,Telophorus viridis,BL3,CC7,Malaconotidae,"Helmetshrikes, bushshrikes and puffbacks",129,PASSERIFORMES,Passeri,No
Hypositta perdita,Hypositta_perdita,Bluntschli's Vanga,Oxylabes madagascariensis,BL3,CC7,Vangidae,Vangas,131,PASSERIFORMES,Passeri,No
Coracina incerta,Coracina_incerta,Black-shouldered Cicadabird,Edolisoma incertum,BL3,CC4,Campephagidae,Cuckoo-shrikes,136,PASSERIFORMES,Passeri,No
Coracina dohertyi,Coracina_dohertyi,Sumba Cicadabird,Edolisoma dohertyi,BL3,CC4,Campephagidae,Cuckoo-shrikes,136,PASSERIFORMES,Passeri,No
Campephaga lobata,Campephaga_lobata,Western Wattled Cuckooshrike,Lobotos lobatus,BL3,CC4,Campephagidae,Cuckoo-shrikes,136,PASSERIFORMES,Passeri,No
Coracina tenuirostris,Coracina_tenuirostris,Slender-billed Cicadabird,Edolisoma tenuirostre,BL3,CC4,Campephagidae,Cuckoo-shrikes,136,PASSERIFORMES,Passeri,No
Coracina schisticeps,Coracina_schisticeps,Grey-headed Cuckooshrike,Edolisoma schisticeps,BL3,CC4,Campephagidae,Cuckoo-shrikes,136,PASSERIFORMES,Passeri,No
Campephaga oriolina,Campephaga_oriolina,Eastern Wattled Cuckooshrike,Lobotos oriolinus,BL3,CC4,Campephagidae,Cuckoo-shrikes,136,PASSERIFORMES,Passeri,No
Coracina montana,Coracina_montana,Black-bellied Cuckooshrike,Edolisoma montanum,BL3,CC4,Campephagidae,Cuckoo-shrikes,136,PASSERIFORMES,Passeri,No
Coracina mindanensis,Coracina_mindanensis,Black-bibbed Cicadabird,Edolisoma mindanense,BL3,CC4,Campephagidae,Cuckoo-shrikes,136,PASSERIFORMES,Passeri,No
Coracina melas,Coracina_melas,New Guinea Cuckooshrike,Coracina papuensis,BL3,CC4,Campephagidae,Cuckoo-shrikes,136,PASSERIFORMES,Passeri,No
Lanius marwitzi,Lanius_marwitzi,Uhehe Fiscal,Lanius collaris,BL3,CC8,Laniidae,Shrikes,140,PASSERIFORMES,Passeri,No
Hylophilus sclateri,Hylophilus_sclateri,Tepui Greenlet,Vireo sclateri,BL3,CC3,Vireonidae,Vireos and allies,141,PASSERIFORMES,Passeri,No
Pitohui cristatus,Pitohui_cristatus,Crested Pitohui,Ornorectes cristatus,BL3,CC5CC6a,Colluricinclidae,Shrike-thrushes and allies,143,PASSERIFORMES,Passeri,No
Colluricincla sanghirensis,Colluricincla_sanghirensis,Sangihe Shrike-thrush,Coracornis sanghirensis,BL3,CC5CC6b,Colluricinclidae,Shrike-thrushes and allies,143,PASSERIFORMES,Passeri,No
Colluricincla umbrina,Colluricincla_umbrina,Sooty Shrike-thrush,Colluricincla tenebrosa,BL3,CC5CC6b,Colluricinclidae,Shrike-thrushes and allies,143,PASSERIFORMES,Passeri,No
Chelidorhynx hypoxantha,Chelidorhynx_hypoxantha,Yellow-bellied Fantail,Chelidorhynx hypoxanthus,IOC27,S2,Rhipiduridae,Fantails,145,PASSERIFORMES,Passeri,No
Monarcha julianae,Monarcha_julianae,Black-backed Monarch,Symposiachrus julianae,BL3,CC8,Monarchidae,Monarchs,146,PASSERIFORMES,Passeri,No
Monarcha axillaris,Monarcha_axillaris,Black Monarch,Symposiachrus axillaris,BL3,CC8,Monarchidae,Monarchs,146,PASSERIFORMES,Passeri,No
Terpsiphone smithii,Terpsiphone_smithii,Annobon Paradise Flycatcher,Terpsiphone rufiventer,IOC27,CC8,Monarchidae,Monarchs,146,PASSERIFORMES,Passeri,No
Clytorhynchus sanctaecrucis,Clytorhynchus_sanctaecrucis,Santa Cruz Shrikebill,Clytorhynchus nigrogularis,BL3,CC8,Monarchidae,Monarchs,146,PASSERIFORMES,Passeri,No
Urocissa erythrorhyncha,Urocissa_erythrorhyncha,Blue Magpie,Urocissa erythroryncha,BL3,CC8,Corvidae,Crows and jays,147,PASSERIFORMES,Passeri,No
Corvus minutus,Corvus_minutus,Cuban Palm Crow,Corvus palmarum,IOC27,CC8,Corvidae,Crows and jays,147,PASSERIFORMES,Passeri,No
Corvus levaillantii,Corvus_levaillantii,Jungle Crow,Corvus macrorhynchos,BL3,CC8,Corvidae,Crows and jays,147,PASSERIFORMES,Passeri,No
Cyanocorax luxuosus,Cyanocorax_luxuosus,Green Jay,Cyanocorax yncas,IOC27,CC8,Corvidae,Crows and jays,147,PASSERIFORMES,Passeri,No
Parotia helenae,Parotia_helenae,Eastern Parotia,Parotia lawesii,BL3,CC8,Paradisaeidae,Birds of paradise,149,PASSERIFORMES,Passeri,No
Ptilogonys cinereus,Ptilogonys_cinereus,Grey Silky-flycatcher,Ptiliogonys cinereus,BL3,M2,Bombycillidae,Waxwings,152,PASSERIFORMES,Passeri,No
Parus xanthogenys,Parus_xanthogenys,Black-lored Tit,Machlolophus xanthogenys,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri,No
Parus rufonuchalis,Parus_rufonuchalis,Dark-grey Tit,Periparus rufonuchalis,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri,No
Parus afer,Parus_afer,Grey Tit,Melaniparus afer,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri,No
Parus leucomelas,Parus_leucomelas,White-winged Tit,Melaniparus leucomelas,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri,No
Parus niger,Parus_niger,Black Tit,Melaniparus niger,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri,No
Parus holsti,Parus_holsti,Yellow Tit,Machlolophus holsti,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri,No
Parus caeruleus,Parus_caeruleus,Blue Tit,Cyanistes caeruleus,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri,No
Parus carpi,Parus_carpi,Carp's Black Tit,Melaniparus carpi,IOC27,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri,No
Parus cinctus,Parus_cinctus,Siberian Tit,Poecile cinctus,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri,No
Parus leuconotus,Parus_leuconotus,White-backed Tit,Melaniparus leuconotus,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri,No
Parus davidi,Parus_davidi,Rusty-breasted Tit,Poecile davidi,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri,No
Parus dichrous,Parus_dichrous,Grey-crested Tit,Lophophanes dichrous,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri,No
Eurochelidon sirintarae,Eurochelidon_sirintarae,White-eyed River-martin,Pseudochelidon sirintarae,BL3,S6,Hirundinidae,Swallows and martins,156,PASSERIFORMES,Passeri,No
Hirundo obsoleta,Hirundo_obsoleta,Pale Crag-martin,Ptyonoprogne fuligula,BL3,S6,Hirundinidae,Swallows and martins,156,PASSERIFORMES,Passeri,No
Hirundo rupestris,Hirundo_rupestris,Eurasian Crag-martin,Ptyonoprogne rupestris,BL3,S6,Hirundinidae,Swallows and martins,156,PASSERIFORMES,Passeri,No
Hirundo abyssinica,Hirundo_abyssinica,Lesser Striped-swallow,Cecropis abyssinica,BL3,S6,Hirundinidae,Swallows and martins,156,PASSERIFORMES,Passeri,No
Hirundo concolor,Hirundo_concolor,Dusky Crag-martin,Ptyonoprogne concolor,BL3,S6,Hirundinidae,Swallows and martins,156,PASSERIFORMES,Passeri,No
Hirundo cucullata,Hirundo_cucullata,Greater Striped-swallow,Cecropis cucullata,BL3,S6,Hirundinidae,Swallows and martins,156,PASSERIFORMES,Passeri,No
Mirafra africanoides,Mirafra_africanoides,Fawn-coloured Lark,Calendulauda africanoides,BL3,S3,Alaudidae,Larks,158,PASSERIFORMES,Passeri,No
Mirafra alopex,Mirafra_alopex,Abyssinian Lark,Calendulauda alopex,BL3,S3,Alaudidae,Larks,158,PASSERIFORMES,Passeri,No
Calandrella raytal,Calandrella_raytal,Indian Short-toed Lark,Alaudala raytal,BL3,S3,Alaudidae,Larks,158,PASSERIFORMES,Passeri,No
Calandrella somalica,Calandrella_somalica,Rufous Short-toed Lark,Alaudala rufescens,BL3,S3,Alaudidae,Larks,158,PASSERIFORMES,Passeri,No
Alauda japonica,Alauda_japonica,Japanese Skylark,Alauda arvensis,BL3,S3,Alaudidae,Larks,158,PASSERIFORMES,Passeri,No
Heteromirafra sidamoensis,Heteromirafra_sidamoensis,Liben Lark,Heteromirafra archeri,BL3,S3,Alaudidae,Larks,158,PASSERIFORMES,Passeri,No
Prinia robertsi,Prinia_robertsi,Briar Warbler,Oreophilais robertsi,BL3,S10,Cisticolidae,Cisticolas and allies,159,PASSERIFORMES,Passeri,No
Prinia leontica,Prinia_leontica,White-eyed Prinia,Schistolais leontica,BL3,S10,Cisticolidae,Cisticolas and allies,159,PASSERIFORMES,Passeri,No
Spiloptila rufifrons,Spiloptila_rufifrons,Red-faced Apalis,Prinia rufifrons,BL3,S10,Cisticolidae,Cisticolas and allies,159,PASSERIFORMES,Passeri,No
Apalis flavigularis,Apalis_flavigularis,Yellow-throated Apalis,Apalis thoracica,BL3,S10,Cisticolidae,Cisticolas and allies,159,PASSERIFORMES,Passeri,No
Camaroptera simplex,Camaroptera_simplex,Grey Wren-warbler,Calamonastes simplex,BL3,S10,Cisticolidae,Cisticolas and allies,159,PASSERIFORMES,Passeri,No
Camaroptera fasciolata,Camaroptera_fasciolata,Barred Wren-warbler,Calamonastes fasciolatus,BL3,S10,Cisticolidae,Cisticolas and allies,159,PASSERIFORMES,Passeri,No
Camaroptera undosa,Camaroptera_undosa,Miombo Wren-warbler,Calamonastes undosus,BL3,S10,Cisticolidae,Cisticolas and allies,159,PASSERIFORMES,Passeri,No
Apalis lynesi,Apalis_lynesi,Namuli Apalis,Apalis thoracica,BL3,S10,Cisticolidae,Cisticolas and allies,159,PASSERIFORMES,Passeri,No
Apalis fuscigularis,Apalis_fuscigularis,Taita Apalis,Apalis thoracica,BL3,S10,Cisticolidae,Cisticolas and allies,159,PASSERIFORMES,Passeri,No
Cisticola discolor,Cisticola_discolor,Brown-backed Cisticola,Cisticola chubbi,BL3,S10,Cisticolidae,Cisticolas and allies,159,PASSERIFORMES,Passeri,No
Heliolais erythropterus,Heliolais_erythropterus,Red-winged Warbler,Drymocichla incana,BL3,S10,Cisticolidae,Cisticolas and allies,159,PASSERIFORMES,Passeri,No
Pycnonotus cyaniventris,Pycnonotus_cyaniventris,Grey-bellied Bulbul,Rubigula cyaniventris,BL3,S9,Pycnonotidae,Bulbuls,160,PASSERIFORMES,Passeri,No
Phyllastrephus leucolepis,Phyllastrephus_leucolepis,Liberian Greenbul,Phyllastrephus icterinus,BL3,S9,Pycnonotidae,Bulbuls,160,PASSERIFORMES,Passeri,No
Pycnonotus priocephalus,Pycnonotus_priocephalus,Grey-headed Bulbul,Brachypodius priocephalus,BL3,S9,Pycnonotidae,Bulbuls,160,PASSERIFORMES,Passeri,No
Andropadus nigriceps,Andropadus_nigriceps,Eastern Mountain Greenbul,Arizelocichla nigriceps,BL3,S9,Pycnonotidae,Bulbuls,160,PASSERIFORMES,Passeri,No
Andropadus tephrolaemus,Andropadus_tephrolaemus,Western Mountain Greenbul,Arizelocichla tephrolaema,BL3,S9,Pycnonotidae,Bulbuls,160,PASSERIFORMES,Passeri,No
Andropadus montanus,Andropadus_montanus,Cameroon Montane Greenbul,Arizelocichla montana,BL3,S9,Pycnonotidae,Bulbuls,160,PASSERIFORMES,Passeri,No
Andropadus gracilis,Andropadus_gracilis,Grey Greenbul,Eurillas gracilis,BL3,S9,Pycnonotidae,Bulbuls,160,PASSERIFORMES,Passeri,No
Hypsipetes virescens,Hypsipetes_virescens,Green-winged Bulbul,Hemixos flavala,BL3,S9,Pycnonotidae,Bulbuls,160,PASSERIFORMES,Passeri,No
Phylloscopus davisoni,Phylloscopus_davisoni,Davison's Leaf-warbler,Phylloscopus intensior,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Phylloscopus poliocephalus,Phylloscopus_poliocephalus,Island Leaf-warbler,Phylloscopus maforensis,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Seicercus poliogenys,Seicercus_poliogenys,Grey-cheeked Warbler,Phylloscopus poliogenys,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Seicercus soror,Seicercus_soror,Alstrom's Warbler,Phylloscopus soror,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Sylvia rueppelli,Sylvia_rueppelli,Rueppell's Warbler,Sylvia ruppeli,BL3,S12,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Seicercus tephrocephalus,Seicercus_tephrocephalus,Grey-crowned Warbler,Phylloscopus tephrocephalus,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Seicercus burkii,Seicercus_burkii,Green-crowned Warbler,Phylloscopus burkii,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Chloropeta gracilirostris,Chloropeta_gracilirostris,Papyrus Yellow Warbler,Calamonastides gracilirostris,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bowdleria punctata,Bowdleria_punctata,New Zealand Fernbird,Megalurus punctatus,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bernieria cinereiceps,Bernieria_cinereiceps,Grey-crowned Tetraka,Xanthomixis cinereiceps,BL3,S9,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bathmocercus winifredae,Bathmocercus_winifredae,Mrs Moreau's Warbler,Scepomycter winifredae,BL3,S10,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Chloropeta similis,Chloropeta_similis,Mountain Flycatcher-warbler,Iduna similis,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Cettia diphone,Cettia_diphone,Japanese Bush-warbler,Horornis diphone,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Cettia flavolivacea,Cettia_flavolivacea,Aberrant Bush-warbler,Horornis flavolivaceus,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Cettia fortipes,Cettia_fortipes,Brownish-flanked Bush-warbler,Horornis fortipes,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Cettia haddeni,Cettia_haddeni,Bougainville Bush-warbler,Horornis haddeni,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Cettia pallidipes,Cettia_pallidipes,Pale-footed Bush-warbler,Urosphena pallidipes,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Cettia ruficapilla,Cettia_ruficapilla,Fiji Bush-warbler,Horornis ruficapilla,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
