SCIENTIFIC_NAME_tree,TipLabel,COMMON_NAME_tree,Taxonomy,Clade,BLFamilyLatin,BLFamilyEnglish,FamSequID,Order,OscSubOsc,matched
Pogoniulus coryphaeus,Pogoniulus_coryphaeus,Western Green-tinkerbird,BL3,Ramphastidae,Ramphastidae,Toucans and barbets,93,PICIFORMES,NONPASSERIFORMES,No
Pogoniulus makawai,Pogoniulus_makawai,White-chested Tinkerbird,BL3,Ramphastidae,Ramphastidae,Toucans and barbets,93,PICIFORMES,NONPASSERIFORMES,No
Ramphastos swainsonii,Ramphastos_swainsonii,Chestnut-mandibled Toucan,BL3,Ramphastidae,Ramphastidae,Toucans and barbets,93,PICIFORMES,NONPASSERIFORMES,No
Trachyphonus usambiro,Trachyphonus_usambiro,Usambiro Barbet,BL3,Ramphastidae,Ramphastidae,Toucans and barbets,93,PICIFORMES,NONPASSERIFORMES,No
Picumnus nigropunctatus,Picumnus_nigropunctatus,Black-dotted Piculet,IOC27,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES,No
Veniliornis sanguineus,Veniliornis_sanguineus,Blood-coloured Woodpecker,BL3,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES,No
Dendropicos elachus,Dendropicos_elachus,Sahelian Woodpecker,BL3,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES,No
Dendropicos spodocephalus,Dendropicos_spodocephalus,Eastern Grey Woodpecker,IOC27,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES,No
Dendrocopos canicapillus,Dendrocopos_canicapillus,Grey-capped Woodpecker,BL3,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES,No
Mesopicos goertae,Mesopicos_goertae,Grey Woodpecker,BL3,Picidae,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES,No
Pitta ussheri,Pitta_ussheri,Black-headed Pitta,BL3,EurylaimidaePittidae,Pittidae,Pittas,102,PASSERIFORMES,Tyranni,No
Pitta erythrogaster,Pitta_erythrogaster,Red-bellied Pitta,BL3,EurylaimidaePittidae,Pittidae,Pittas,102,PASSERIFORMES,Tyranni,No
Pitta guajana,Pitta_guajana,Banded Pitta,BL3,EurylaimidaePittidae,Pittidae,Pittas,102,PASSERIFORMES,Tyranni,No
Pachyramphus xanthogenys,Pachyramphus_xanthogenys,Yellow-cheeked Becard,IOC27,TitTyranRest,Cotingidae,Cotingas,104,PASSERIFORMES,Tyranni,No
Laniisoma buckleyi,Laniisoma_buckleyi,Andean Laniisoma,IOC27,TitTyranRest,Cotingidae,Cotingas,104,PASSERIFORMES,Tyranni,No
Phaeomyias tumbezana,Phaeomyias_tumbezana,Tumbesian Tyrannulet,IOC27,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni,No
Phyllomyias zeledoni,Phyllomyias_zeledoni,White-fronted Tyrannulet,IOC27,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni,No
Onychorhynchus swainsoni,Onychorhynchus_swainsoni,Atlantic Royal Flycatcher,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni,No
Onychorhynchus occidentalis,Onychorhynchus_occidentalis,Pacific Royal Flycatcher,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni,No
Onychorhynchus mexicanus,Onychorhynchus_mexicanus,Northern Royal Flycatcher,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni,No
Ochthoeca thoracica,Ochthoeca_thoracica,Maroon-belted Chat-Tyrant,IOC27,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni,No
Ochthoeca nigrita,Ochthoeca_nigrita,Blackish Chat-Tyrant,IOC27,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni,No
Tolmomyias flavotectus,Tolmomyias_flavotectus,Yellow-margined Flatbill,IOC27,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni,No
Tolmomyias viridiceps,Tolmomyias_viridiceps,Olive-faced Flatbill,IOC27,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni,No
Zimmerius flavidifrons,Zimmerius_flavidifrons,Loja Tyrannulet,IOC27,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni,No
Contopus punensis,Contopus_punensis,Tumbes Pewee,IOC27,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni,No
Anairetes agraphia,Anairetes_agraphia,Unstreaked Tit-tyrant,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni,No
Anairetes agilis,Anairetes_agilis,Agile Tit-tyrant,BL3,TitTyranRest,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,Tyranni,No
Myrmeciza immaculata,Myrmeciza_immaculata,Immaculate Antbird,BL3,Thamnophilidae,Thamnophilidae,Antbirds,106,PASSERIFORMES,Tyranni,No
Myrmeciza griseiceps,Myrmeciza_griseiceps,Grey-headed Antbird,BL3,Thamnophilidae,Thamnophilidae,Antbirds,106,PASSERIFORMES,Tyranni,No
Myrmotherula luctuosa,Myrmotherula_luctuosa,Silvery-flanked Antwren,IOC27,Thamnophilidae,Thamnophilidae,Antbirds,106,PASSERIFORMES,Tyranni,No
Myrmeciza pelzelni,Myrmeciza_pelzelni,Grey-bellied Antbird,BL3,Thamnophilidae,Thamnophilidae,Antbirds,106,PASSERIFORMES,Tyranni,No
Schistocichla schistacea,Schistocichla_schistacea,Slate-coloured Antbird,BL3,Thamnophilidae,Thamnophilidae,Antbirds,106,PASSERIFORMES,Tyranni,No
Cercomacra laeta,Cercomacra_laeta,Laeta Antbird,BL3,Thamnophilidae,Thamnophilidae,Antbirds,106,PASSERIFORMES,Tyranni,No
Formicivora intermedia,Formicivora_intermedia,Northern White-fringed Antwren,IOC27,Thamnophilidae,Thamnophilidae,Antbirds,106,PASSERIFORMES,Tyranni,No
Skutchia borbae,Skutchia_borbae,Pale-faced Antbird,BL3,Thamnophilidae,Formicariidae,Antthrushes and antpittas,109,PASSERIFORMES,Tyranni,No
Formicarius moniliger,Formicarius_moniliger,Mayan Antthrush,IOC27,Antthrushes,Formicariidae,Antthrushes and antpittas,109,PASSERIFORMES,Tyranni,No
Oreophylax moreirae,Oreophylax_moreirae,Itatiaia Thistletail,BL3,Furnaridae,Furnariidae,Ovenbirds,110,PASSERIFORMES,Tyranni,No
Phacellodomus inornatus,Phacellodomus_inornatus,Plain Thornbird,IOC27,Furnaridae,Furnariidae,Ovenbirds,110,PASSERIFORMES,Tyranni,No
Pseudocolaptes johnsoni,Pseudocolaptes_johnsoni,Pacific Tuftedcheek,IOC27,Furnaridae,Furnariidae,Ovenbirds,110,PASSERIFORMES,Tyranni,No
Schizoeaca griseomurina,Schizoeaca_griseomurina,Mouse-coloured Thistletail,BL3,Furnaridae,Furnariidae,Ovenbirds,110,PASSERIFORMES,Tyranni,No
Upucerthia jelskii,Upucerthia_jelskii,Plain-breasted Earthcreeper,BL3,Furnaridae,Furnariidae,Ovenbirds,110,PASSERIFORMES,Tyranni,No
Asthenes arequipae,Asthenes_arequipae,Dark-winged Canastero,IOC27,Furnaridae,Furnariidae,Ovenbirds,110,PASSERIFORMES,Tyranni,No
Asthenes huancavelicae,Asthenes_huancavelicae,Pale-tailed Canastero,IOC27,Furnaridae,Furnariidae,Ovenbirds,110,PASSERIFORMES,Tyranni,No
Cranioleuca baroni,Cranioleuca_baroni,Baron's Spinetail,BL3,Furnaridae,Furnariidae,Ovenbirds,110,PASSERIFORMES,Tyranni,No
Hyloctistes virgatus,Hyloctistes_virgatus,Western Woodhaunter,IOC27,Furnaridae,Furnariidae,Ovenbirds,110,PASSERIFORMES,Tyranni,No
Furnarius cinnamomeus,Furnarius_cinnamomeus,Pacific Hornero,IOC27,Furnaridae,Furnariidae,Ovenbirds,110,PASSERIFORMES,Tyranni,No
Furnarius longirostris,Furnarius_longirostris,Caribbean Hornero,IOC27,Furnaridae,Furnariidae,Ovenbirds,110,PASSERIFORMES,Tyranni,No
Hylexetastes uniformis,Hylexetastes_uniformis,Uniform Woodcreeper,BL3,Furnaridae,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,Tyranni,No
Hylexetastes brigidai,Hylexetastes_brigidai,Mato Grosso Woodcreeper,BL3,Furnaridae,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,Tyranni,No
Phylidonyris notabilis,Phylidonyris_notabilis,New Hebrides Honeyeater,BL3,BC7,Meliphagidae,Honeyeaters,117,PASSERIFORMES,Passeri,No
Philemon novaeguineae,Philemon_novaeguineae,New Guinea Friarbird,BL3,BC7,Meliphagidae,Honeyeaters,117,PASSERIFORMES,Passeri,No
Lichenostomus keartlandi,Lichenostomus_keartlandi,Grey-headed Honeyeater,BL3,BC7,Meliphagidae,Honeyeaters,117,PASSERIFORMES,Passeri,No
Melidectes sclateri,Melidectes_sclateri,San Cristobal Melidectes,BL3,BC7,Meliphagidae,Honeyeaters,117,PASSERIFORMES,Passeri,No
Melidectes whitemanensis,Melidectes_whitemanensis,Bismarck Melidectes,BL3,BC7,Meliphagidae,Honeyeaters,117,PASSERIFORMES,Passeri,No
Lichenostomus plumulus,Lichenostomus_plumulus,Grey-fronted Honeyeater,BL3,BC7,Meliphagidae,Honeyeaters,117,PASSERIFORMES,Passeri,No
Gerygone cinerea,Gerygone_cinerea,Mountain Gerygone,BL3,BC6,Acanthizidae,Thornbills and gerygones,120,PASSERIFORMES,Passeri,No
Toxorhamphus iliolophus,Toxorhamphus_iliolophus,Plumed Longbill,BL3,CC1,Melanocharitidae,Berrypeckers,124,PASSERIFORMES,Passeri,No
Telophorus quadricolor,Telophorus_quadricolor,Four-coloured Bush-shrike,BL3,CC7,Malaconotidae,"Helmetshrikes, bushshrikes and puffbacks",129,PASSERIFORMES,Passeri,No
Hypositta perdita,Hypositta_perdita,Bluntschli's Vanga,BL3,CC7,Vangidae,Vangas,131,PASSERIFORMES,Passeri,No
Coracina incerta,Coracina_incerta,Black-shouldered Cicadabird,BL3,CC4,Campephagidae,Cuckoo-shrikes,136,PASSERIFORMES,Passeri,No
Coracina dohertyi,Coracina_dohertyi,Sumba Cicadabird,BL3,CC4,Campephagidae,Cuckoo-shrikes,136,PASSERIFORMES,Passeri,No
Campephaga lobata,Campephaga_lobata,Western Wattled Cuckooshrike,BL3,CC4,Campephagidae,Cuckoo-shrikes,136,PASSERIFORMES,Passeri,No
Coracina tenuirostris,Coracina_tenuirostris,Slender-billed Cicadabird,BL3,CC4,Campephagidae,Cuckoo-shrikes,136,PASSERIFORMES,Passeri,No
Coracina schisticeps,Coracina_schisticeps,Grey-headed Cuckooshrike,BL3,CC4,Campephagidae,Cuckoo-shrikes,136,PASSERIFORMES,Passeri,No
Campephaga oriolina,Campephaga_oriolina,Eastern Wattled Cuckooshrike,BL3,CC4,Campephagidae,Cuckoo-shrikes,136,PASSERIFORMES,Passeri,No
Coracina montana,Coracina_montana,Black-bellied Cuckooshrike,BL3,CC4,Campephagidae,Cuckoo-shrikes,136,PASSERIFORMES,Passeri,No
Coracina mindanensis,Coracina_mindanensis,Black-bibbed Cicadabird,BL3,CC4,Campephagidae,Cuckoo-shrikes,136,PASSERIFORMES,Passeri,No
Coracina melas,Coracina_melas,New Guinea Cuckooshrike,BL3,CC4,Campephagidae,Cuckoo-shrikes,136,PASSERIFORMES,Passeri,No
Lanius marwitzi,Lanius_marwitzi,Uhehe Fiscal,BL3,CC8,Laniidae,Shrikes,140,PASSERIFORMES,Passeri,No
Hylophilus sclateri,Hylophilus_sclateri,Tepui Greenlet,BL3,CC3,Vireonidae,Vireos and allies,141,PASSERIFORMES,Passeri,No
Pitohui cristatus,Pitohui_cristatus,Crested Pitohui,BL3,CC5CC6a,Colluricinclidae,Shrike-thrushes and allies,143,PASSERIFORMES,Passeri,No
Colluricincla sanghirensis,Colluricincla_sanghirensis,Sangihe Shrike-thrush,BL3,CC5CC6b,Colluricinclidae,Shrike-thrushes and allies,143,PASSERIFORMES,Passeri,No
Colluricincla umbrina,Colluricincla_umbrina,Sooty Shrike-thrush,BL3,CC5CC6b,Colluricinclidae,Shrike-thrushes and allies,143,PASSERIFORMES,Passeri,No
Chelidorhynx hypoxantha,Chelidorhynx_hypoxantha,Yellow-bellied Fantail,IOC27,S2,Rhipiduridae,Fantails,145,PASSERIFORMES,Passeri,No
Monarcha julianae,Monarcha_julianae,Black-backed Monarch,BL3,CC8,Monarchidae,Monarchs,146,PASSERIFORMES,Passeri,No
Monarcha axillaris,Monarcha_axillaris,Black Monarch,BL3,CC8,Monarchidae,Monarchs,146,PASSERIFORMES,Passeri,No
Terpsiphone smithii,Terpsiphone_smithii,Annobon Paradise Flycatcher,IOC27,CC8,Monarchidae,Monarchs,146,PASSERIFORMES,Passeri,No
Clytorhynchus sanctaecrucis,Clytorhynchus_sanctaecrucis,Santa Cruz Shrikebill,BL3,CC8,Monarchidae,Monarchs,146,PASSERIFORMES,Passeri,No
Urocissa erythrorhyncha,Urocissa_erythrorhyncha,Blue Magpie,BL3,CC8,Corvidae,Crows and jays,147,PASSERIFORMES,Passeri,No
Corvus minutus,Corvus_minutus,Cuban Palm Crow,IOC27,CC8,Corvidae,Crows and jays,147,PASSERIFORMES,Passeri,No
Corvus levaillantii,Corvus_levaillantii,Jungle Crow,BL3,CC8,Corvidae,Crows and jays,147,PASSERIFORMES,Passeri,No
Cyanocorax luxuosus,Cyanocorax_luxuosus,Green Jay,IOC27,CC8,Corvidae,Crows and jays,147,PASSERIFORMES,Passeri,No
Parotia helenae,Parotia_helenae,Eastern Parotia,BL3,CC8,Paradisaeidae,Birds of paradise,149,PASSERIFORMES,Passeri,No
Ptilogonys cinereus,Ptilogonys_cinereus,Grey Silky-flycatcher,BL3,M2,Bombycillidae,Waxwings,152,PASSERIFORMES,Passeri,No
Parus xanthogenys,Parus_xanthogenys,Black-lored Tit,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri,No
Parus rufonuchalis,Parus_rufonuchalis,Dark-grey Tit,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri,No
Parus afer,Parus_afer,Grey Tit,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri,No
Parus leucomelas,Parus_leucomelas,White-winged Tit,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri,No
Parus niger,Parus_niger,Black Tit,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri,No
Parus holsti,Parus_holsti,Yellow Tit,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri,No
Parus caeruleus,Parus_caeruleus,Blue Tit,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri,No
Parus carpi,Parus_carpi,Carp's Black Tit,IOC27,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri,No
Parus cinctus,Parus_cinctus,Siberian Tit,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri,No
Parus leuconotus,Parus_leuconotus,White-backed Tit,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri,No
Parus davidi,Parus_davidi,Rusty-breasted Tit,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri,No
Parus dichrous,Parus_dichrous,Grey-crested Tit,BL3,S2,Paridae,Tits and chickadees,154,PASSERIFORMES,Passeri,No
Eurochelidon sirintarae,Eurochelidon_sirintarae,White-eyed River-martin,BL3,S6,Hirundinidae,Swallows and martins,156,PASSERIFORMES,Passeri,No
Hirundo obsoleta,Hirundo_obsoleta,Pale Crag-martin,BL3,S6,Hirundinidae,Swallows and martins,156,PASSERIFORMES,Passeri,No
Hirundo rupestris,Hirundo_rupestris,Eurasian Crag-martin,BL3,S6,Hirundinidae,Swallows and martins,156,PASSERIFORMES,Passeri,No
Hirundo abyssinica,Hirundo_abyssinica,Lesser Striped-swallow,BL3,S6,Hirundinidae,Swallows and martins,156,PASSERIFORMES,Passeri,No
Hirundo concolor,Hirundo_concolor,Dusky Crag-martin,BL3,S6,Hirundinidae,Swallows and martins,156,PASSERIFORMES,Passeri,No
Hirundo cucullata,Hirundo_cucullata,Greater Striped-swallow,BL3,S6,Hirundinidae,Swallows and martins,156,PASSERIFORMES,Passeri,No
Mirafra africanoides,Mirafra_africanoides,Fawn-coloured Lark,BL3,S3,Alaudidae,Larks,158,PASSERIFORMES,Passeri,No
Mirafra alopex,Mirafra_alopex,Abyssinian Lark,BL3,S3,Alaudidae,Larks,158,PASSERIFORMES,Passeri,No
Calandrella raytal,Calandrella_raytal,Indian Short-toed Lark,BL3,S3,Alaudidae,Larks,158,PASSERIFORMES,Passeri,No
Calandrella somalica,Calandrella_somalica,Rufous Short-toed Lark,BL3,S3,Alaudidae,Larks,158,PASSERIFORMES,Passeri,No
Alauda japonica,Alauda_japonica,Japanese Skylark,BL3,S3,Alaudidae,Larks,158,PASSERIFORMES,Passeri,No
Heteromirafra sidamoensis,Heteromirafra_sidamoensis,Liben Lark,BL3,S3,Alaudidae,Larks,158,PASSERIFORMES,Passeri,No
Prinia robertsi,Prinia_robertsi,Briar Warbler,BL3,S10,Cisticolidae,Cisticolas and allies,159,PASSERIFORMES,Passeri,No
Prinia leontica,Prinia_leontica,White-eyed Prinia,BL3,S10,Cisticolidae,Cisticolas and allies,159,PASSERIFORMES,Passeri,No
Spiloptila rufifrons,Spiloptila_rufifrons,Red-faced Apalis,BL3,S10,Cisticolidae,Cisticolas and allies,159,PASSERIFORMES,Passeri,No
Apalis flavigularis,Apalis_flavigularis,Yellow-throated Apalis,BL3,S10,Cisticolidae,Cisticolas and allies,159,PASSERIFORMES,Passeri,No
Camaroptera simplex,Camaroptera_simplex,Grey Wren-warbler,BL3,S10,Cisticolidae,Cisticolas and allies,159,PASSERIFORMES,Passeri,No
Camaroptera fasciolata,Camaroptera_fasciolata,Barred Wren-warbler,BL3,S10,Cisticolidae,Cisticolas and allies,159,PASSERIFORMES,Passeri,No
Camaroptera undosa,Camaroptera_undosa,Miombo Wren-warbler,BL3,S10,Cisticolidae,Cisticolas and allies,159,PASSERIFORMES,Passeri,No
Apalis lynesi,Apalis_lynesi,Namuli Apalis,BL3,S10,Cisticolidae,Cisticolas and allies,159,PASSERIFORMES,Passeri,No
Apalis fuscigularis,Apalis_fuscigularis,Taita Apalis,BL3,S10,Cisticolidae,Cisticolas and allies,159,PASSERIFORMES,Passeri,No
Cisticola discolor,Cisticola_discolor,Brown-backed Cisticola,BL3,S10,Cisticolidae,Cisticolas and allies,159,PASSERIFORMES,Passeri,No
Heliolais erythropterus,Heliolais_erythropterus,Red-winged Warbler,BL3,S10,Cisticolidae,Cisticolas and allies,159,PASSERIFORMES,Passeri,No
Pycnonotus cyaniventris,Pycnonotus_cyaniventris,Grey-bellied Bulbul,BL3,S9,Pycnonotidae,Bulbuls,160,PASSERIFORMES,Passeri,No
Phyllastrephus leucolepis,Phyllastrephus_leucolepis,Liberian Greenbul,BL3,S9,Pycnonotidae,Bulbuls,160,PASSERIFORMES,Passeri,No
Pycnonotus priocephalus,Pycnonotus_priocephalus,Grey-headed Bulbul,BL3,S9,Pycnonotidae,Bulbuls,160,PASSERIFORMES,Passeri,No
Andropadus nigriceps,Andropadus_nigriceps,Eastern Mountain Greenbul,BL3,S9,Pycnonotidae,Bulbuls,160,PASSERIFORMES,Passeri,No
Andropadus tephrolaemus,Andropadus_tephrolaemus,Western Mountain Greenbul,BL3,S9,Pycnonotidae,Bulbuls,160,PASSERIFORMES,Passeri,No
Andropadus montanus,Andropadus_montanus,Cameroon Montane Greenbul,BL3,S9,Pycnonotidae,Bulbuls,160,PASSERIFORMES,Passeri,No
Andropadus gracilis,Andropadus_gracilis,Grey Greenbul,BL3,S9,Pycnonotidae,Bulbuls,160,PASSERIFORMES,Passeri,No
Hypsipetes virescens,Hypsipetes_virescens,Green-winged Bulbul,BL3,S9,Pycnonotidae,Bulbuls,160,PASSERIFORMES,Passeri,No
Phylloscopus davisoni,Phylloscopus_davisoni,Davison's Leaf-warbler,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Phylloscopus poliocephalus,Phylloscopus_poliocephalus,Island Leaf-warbler,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Seicercus poliogenys,Seicercus_poliogenys,Grey-cheeked Warbler,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Seicercus soror,Seicercus_soror,Alstrom's Warbler,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Sylvia rueppelli,Sylvia_rueppelli,Rueppell's Warbler,BL3,S12,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Seicercus tephrocephalus,Seicercus_tephrocephalus,Grey-crowned Warbler,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Seicercus burkii,Seicercus_burkii,Green-crowned Warbler,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Chloropeta gracilirostris,Chloropeta_gracilirostris,Papyrus Yellow Warbler,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bowdleria punctata,Bowdleria_punctata,New Zealand Fernbird,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bernieria cinereiceps,Bernieria_cinereiceps,Grey-crowned Tetraka,BL3,S9,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bathmocercus winifredae,Bathmocercus_winifredae,Mrs Moreau's Warbler,BL3,S10,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Chloropeta similis,Chloropeta_similis,Mountain Flycatcher-warbler,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Cettia diphone,Cettia_diphone,Japanese Bush-warbler,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Cettia flavolivacea,Cettia_flavolivacea,Aberrant Bush-warbler,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Cettia fortipes,Cettia_fortipes,Brownish-flanked Bush-warbler,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Cettia haddeni,Cettia_haddeni,Bougainville Bush-warbler,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Cettia pallidipes,Cettia_pallidipes,Pale-footed Bush-warbler,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Cettia ruficapilla,Cettia_ruficapilla,Fiji Bush-warbler,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Cettia seebohmi,Cettia_seebohmi,Philippine Bush-warbler,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bradypterus victorini,Bradypterus_victorini,Victorin's Scrub-warbler,BL3,S4,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bradypterus timorensis,Bradypterus_timorensis,Timor Bush-warbler,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bradypterus thoracicus,Bradypterus_thoracicus,Spotted Bush-warbler,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bradypterus montis,Bradypterus_montis,Javan Bush-warbler,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Acrocephalus rimatarae,Acrocephalus_rimatarae,Rimatara Reed-warbler,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Cettia acanthizoides,Cettia_acanthizoides,Yellowish-bellied Bush-warbler,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Cettia annae,Cettia_annae,Palau Bush-warbler,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Cettia brunnescens,Cettia_brunnescens,Hume's Bush-warbler,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Cettia canturians,Cettia_canturians,Manchurian Bush-warbler,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Cettia carolinae,Cettia_carolinae,Tanimbar Bush-warbler,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bradypterus tacsanowskius,Bradypterus_tacsanowskius,Chinese Bush-warbler,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bradypterus davidi,Bradypterus_davidi,David's Bush-warbler,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bradypterus caudatus,Bradypterus_caudatus,Long-tailed Bush-warbler,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bradypterus alishanensis,Bradypterus_alishanensis,Taiwan Bush-warbler,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bradypterus accentor,Bradypterus_accentor,Friendly Bush-warbler,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Chloropeta natalensis,Chloropeta_natalensis,Yellow Flycatcher-warbler,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Cettia vulcania,Cettia_vulcania,Sunda Bush-warbler,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bradypterus castaneus,Bradypterus_castaneus,Chestnut-backed Bush-warbler,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bradypterus palliseri,Bradypterus_palliseri,Sri Lanka Bush-warbler,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bradypterus mandelli,Bradypterus_mandelli,Russet Bush-warbler,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bradypterus major,Bradypterus_major,Long-billed Bush-warbler,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bradypterus luteoventris,Bradypterus_luteoventris,Brown Bush-warbler,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bradypterus seebohmi,Bradypterus_seebohmi,Benguet Bush-warbler,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Dromaeocercus brunneus,Dromaeocercus_brunneus,Brown Emu-tail,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Thryothorus modestus,Thryothorus_modestus,Plain Wren,BL3,M1,Troglodytidae,Wrens,162,PASSERIFORMES,Passeri,No
Thryothorus griseus,Thryothorus_griseus,Grey Wren,BL3,M1,Troglodytidae,Wrens,162,PASSERIFORMES,Passeri,No
Paradoxornis zappeyi,Paradoxornis_zappeyi,Grey-hooded Parrotbill,BL3,S12,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Pomatorhinus erythrocnemis,Pomatorhinus_erythrocnemis,Black-necklaced Scimitar-babbler,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Paradoxornis gularis,Paradoxornis_gularis,Grey-headed Parrotbill,BL3,S12,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Pomatorhinus erythrogenys,Pomatorhinus_erythrogenys,Rusty-cheeked Scimitar-babbler,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
