SCIENTIFIC_NAME_tree,TipLabel,COMMON_NAME_tree,Taxonomy,Clade,BLFamilyLatin,BLFamilyEnglish,FamSequID,Order,OscSubOsc,matched
Buteo polyosoma,Buteo_polyosoma,Red-backed Hawk,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,No
Accipiter chilensis,Accipiter_chilensis,Chilean Hawk,IOC27,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,No
Accipiter chionogaster,Accipiter_chionogaster,White-breasted Hawk,IOC27,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,No
Gyps rueppellii,Gyps_rueppellii,Rueppell's Vulture,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,No
Ichthyophaga humilis,Ichthyophaga_humilis,Lesser Fish-eagle,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,No
Ichthyophaga ichthyaetus,Ichthyophaga_ichthyaetus,Grey-headed Fish-eagle,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,No
Harpyhaliaetus coronatus,Harpyhaliaetus_coronatus,Crowned Eagle,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,No
Hieraaetus spilogaster,Hieraaetus_spilogaster,African Hawk-eagle,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,No
Leucopternis schistaceus,Leucopternis_schistaceus,Slate-coloured Hawk,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,No
Leucopternis occidentalis,Leucopternis_occidentalis,Grey-backed Hawk,BL3,Accipitridae,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,No
Eupodotis rueppellii,Eupodotis_rueppellii,Rueppell's Bustard,BL3,Otididae,Otididae,Bustards,37,OTIDIFORMES,NONPASSERIFORMES,No
Porzana atra,Porzana_atra,Henderson Crake,BL3,Rallidae,Rallidae,"Rails, crakes and allies",42,GRUIFORMES,NONPASSERIFORMES,No
Aramides cajanea,Aramides_cajanea,Grey-necked Wood-rail,BL3,Rallidae,Rallidae,"Rails, crakes and allies",42,GRUIFORMES,NONPASSERIFORMES,No
Gallinula mortierii,Gallinula_mortierii,Tasmanian Native-hen,BL3,Rallidae,Rallidae,"Rails, crakes and allies",42,GRUIFORMES,NONPASSERIFORMES,No
Laterallus tuerosi,Laterallus_tuerosi,Junin Rail,BL3,Rallidae,Rallidae,"Rails, crakes and allies",42,GRUIFORMES,NONPASSERIFORMES,No
Gallinula ventralis,Gallinula_ventralis,Black-tailed Native-hen,BL3,Rallidae,Rallidae,"Rails, crakes and allies",42,GRUIFORMES,NONPASSERIFORMES,No
Fulica caribaea,Fulica_caribaea,Caribbean Coot,BL3,Rallidae,Rallidae,"Rails, crakes and allies",42,GRUIFORMES,NONPASSERIFORMES,No
Rostratula semicollaris,Rostratula_semicollaris,South American Painted-snipe,BL3,Scolopaci,Rostratulidae,Painted-snipes,55,CHARADRIIFORMES,NONPASSERIFORMES,No
Heteroscelus brevipes,Heteroscelus_brevipes,Grey-tailed Tattler,BL3,Scolopaci,Scolopacidae,Sandpipers and allies,59,CHARADRIIFORMES,NONPASSERIFORMES,No
Procelsterna albivitta,Procelsterna_albivitta,Grey Noddy,IOC27,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES,No
Procelsterna cerulea,Procelsterna_cerulea,Blue Noddy,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES,No
Sterna lunata,Sterna_lunata,Grey-backed Tern,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES,No
