SCIENTIFIC_NAME,Order,Family,brain_size_mm3,body_mass_g,brain_residual,migration_status,diet_breadth,development_mode,development_time_days
Tockus_flavirostris,BUCEROTIFORMES,Bucerotidae,4.25,220,0.715025268,Resident,0.071259387,altricial,NA
Tockus_nasutus,BUCEROTIFORMES,Bucerotidae,4.05,182.25,0.772391611,Resident,0.136717738,altricial,71
Todiramphus_chloris,CORACIIFORMES,Alcedinidae,1.34,83.4,0.104734421,Resident,0.027573798,altricial,NA
Todiramphus_macleayii,CORACIIFORMES,Alcedinidae,1.07,37.3,0.33096913,Migrant,0.022181565,altricial,47.5
Todiramphus_pyrrhopygius,CORACIIFORMES,Alcedinidae,1.13,51.7,0.202448812,Resident,0.023867344,altricial,49.8
Todiramphus_sanctus,CORACIIFORMES,Alcedinidae,1.03,38.3,0.278032599,Migrant,0.008054801,altricial,44
Todirostrum_cinereum,PASSERIFORMES (SUBOSCINES),Tyrannidae,0.31,6.5,0.071941788,Resident,0.023556822,altricial,35.75
Todus_mexicanus,CORACIIFORMES,Todidae,0.4,5.83,0.38784011,Resident,0.064444142,altricial,41
Todus_subulatus,CORACIIFORMES,Todidae,0.43,7.86,0.292612574,Resident,0,altricial,NA
Todus_todus,CORACIIFORMES,Todidae,0.41,6.52,0.349803779,Resident,0.023556822,altricial,NA
Tolmomyias_sulphurescens,PASSERIFORMES (SUBOSCINES),Tyrannidae,0.51,14.9,0.104568498,Resident,0.023556822,altricial,39
Torgos_tracheliotos,ACCIPITRIFORMES,Accipitridae,27.88,6200,0.723705877,Resident,0.018219202,altricial,183
Touit_dilectissimus,PSITTACIFORMES,Psittacidae,2.6,63,0.924886582,Resident,0,altricial,NA
Touit_purpuratus,PSITTACIFORMES,Psittacidae,2.4,68.35,0.799135331,Resident,0.023779529,altricial,NA
Toxorhamphus_iliolophus,PASSERIFORMES (PASSERIDA),Melanocharitidae,0.48,12.9,0.124773302,Resident,0.117637979,altricial,NA
Toxorhamphus_poliopterus,PASSERIFORMES (PASSERIDA),Melanocharitidae,0.43,11.4,0.084094369,Resident,0.122978767,altricial,NA
Toxostoma_curvirostre,PASSERIFORMES (PASSERIDA),Mimidae,2.13,85.2,0.556212083,Resident,0.073364564,altricial,28.5
Toxostoma_rufum,PASSERIFORMES (PASSERIDA),Mimidae,2,68.8,0.613133742,Migrant,0.184667863,altricial,25
Trachyphonus_vaillantii,PICIFORMES,Ramphastidae,1.63,69.45,0.403293248,Resident,0.188263695,altricial,46
Tragopan_temminckii,GALLIFORMES,Phasianidae,4.68,1184,-0.132426614,Resident,0.153910555,precocial,27.1
Tregellasia_capito,PASSERIFORMES (PASSERIDA),Petroicidae,0.77,14.17,0.544719302,Resident,0.17491013,altricial,33
Tregellasia_leucops,PASSERIFORMES (PASSERIDA),Petroicidae,0.59,15.63,0.223457011,Resident,0.057821531,altricial,NA
Treron_apicauda,COLUMBIFORMES,Columbidae,1.4,220,-0.395421478,Resident,0,altricial,NA
Treron_calvus,COLUMBIFORMES,Columbidae,1.58,198.5,-0.216797686,Resident,0.027229317,altricial,NA
Treron_capellei,COLUMBIFORMES,Columbidae,2.2,404.5,-0.284973457,Resident,NA,altricial,NA
Treron_curvirostra,COLUMBIFORMES,Columbidae,1.36,149,-0.205878119,Resident,0,altricial,NA
Treron_formosae,COLUMBIFORMES,Columbidae,1.55,240,-0.342434241,Resident,0.150518377,altricial,NA
Treron_fulvicollis,COLUMBIFORMES,Columbidae,1.3,163,-0.301360039,Resident,0,altricial,NA
Treron_phoenicopterus,COLUMBIFORMES,Columbidae,1.6,234.5,-0.297684468,Resident,0.056769664,altricial,43
Treron_pompadora,COLUMBIFORMES,Columbidae,1.39,234,-0.43718735,Resident,0,altricial,NA
Treron_sieboldii,COLUMBIFORMES,Columbidae,1.35,245,-0.492147752,Migrant,NA,altricial,NA
Treron_vernans,COLUMBIFORMES,Columbidae,1.25,132.5,-0.224402433,Resident,0.007861001,altricial,NA
Trichodere_cockerelli,PASSERIFORMES (MELIPHAGIDA),Meliphagidae,0.65,132.5,-0.8783289,Resident,0.109314459,altricial,NA
Trichoglossus_chlorolepidotus,PSITTACIFORMES,Psittacidae,3.05,87.1,0.90286313,Resident,0.169333175,altricial,80.5
Trichoglossus_haematodus,PSITTACIFORMES,Psittacidae,3.66,126.5,0.875904546,Resident,0.05570889,altricial,81
Trichoglossus_ornatus,PSITTACIFORMES,Psittacidae,3.51,120,0.863639635,Resident,0.11258085,altricial,107
Trichoglossus_rubiginosus,PSITTACIFORMES,Psittacidae,3.35,125,0.794091215,Resident,0.117637979,altricial,NA
Tricholaema_leucomelas,PICIFORMES,Ramphastidae,0.98,32.2,0.325559561,Resident,0.090863306,altricial,49.5
Trichothraupis_melanops,PASSERIFORMES (PASSERIDA),Thraupidae,0.9,21.6,0.464311727,Resident,0.184667863,altricial,NA
Triclaria_malachitacea,PSITTACIFORMES,Psittacidae,4.28,132.5,1.006407025,Resident,NA,altricial,NA
Trigonoceps_occipitalis,ACCIPITRIFORMES,Accipitridae,23,3828.5,0.801635946,Resident,NA,altricial,171
Tringa_flavipes,CHARADRIIFORMES,Scolopacidae,1.07,82.4,-0.113511758,Migrant,NA,precocial,32.05
Tringa_glareola,CHARADRIIFORMES,Scolopacidae,1.04,67.5,-0.030094937,Migrant,NA,precocial,37.05
Tringa_melanoleuca,CHARADRIIFORMES,Scolopacidae,1.79,171,-0.008378205,Migrant,0.014161996,precocial,32.55
Tringa_nebularia,CHARADRIIFORMES,Scolopacidae,1.85,157.5,0.070710445,Migrant,0.027573798,precocial,52.3
Tringa_ochropus,CHARADRIIFORMES,Scolopacidae,1.05,86,-0.156360836,Migrant,NA,precocial,49.5
Tringa_solitaria,CHARADRIIFORMES,Scolopacidae,0.82,52.1,-0.122541893,Migrant,0.003370399,precocial,NA
Tringa_stagnatilis,CHARADRIIFORMES,Scolopacidae,1.02,72.5,-0.08958678,Migrant,0.035565334,precocial,NA
Tringa_totanus,CHARADRIIFORMES,Scolopacidae,1.52,129,-0.013823059,Resident,0.007877386,precocial,53.25
Trochilus_polytmus,APODIFORMES,Trochilidae,0.19,4.3,-0.185893566,Resident,0.122978767,altricial,39.5
Troglodytes_aedon,PASSERIFORMES (PASSERIDA),Troglodytidae,0.53,10.4,0.344671289,Migrant,0,altricial,30
Trogon_citreolus,TROGONIFORMES,Trogonidae,1.48,79,0.234502185,Resident,NA,altricial,NA
Trogon_massena,TROGONIFORMES,Trogonidae,2.13,141,0.27370737,Resident,0.078365211,altricial,NA
Trogon_melanurus,TROGONIFORMES,Trogonidae,1.86,114,0.257365057,Resident,NA,altricial,NA
Trogon_violaceus,TROGONIFORMES,Trogonidae,1.41,51.5,0.425994506,Resident,0.071259387,altricial,NA
Trogon_viridis,TROGONIFORMES,Trogonidae,1.79,89.7,0.353442029,Resident,0.076257731,altricial,39.5
Tropicranus_albocristatus,BUCEROTIFORMES,Bucerotidae,4.88,289.5,0.699297994,Resident,NA,altricial,NA
Tryngites_subruficollis,CHARADRIIFORMES,Scolopacidae,1.03,62.4,0.00430043,Migrant,0.155475671,precocial,24.5
Turacoena_manadensis,COLUMBIFORMES,Columbidae,1.6,212.5,-0.242438633,Resident,0,altricial,48
Turdoides_jardineii,PASSERIFORMES (PASSERIDA),Timaliidae,2.08,78,0.58197196,Resident,0.095099493,altricial,34.75
Turdus_lherminieri,PASSERIFORMES (PASSERIDA),Turdidae,2.2,105,0.47136456,Resident,0.071259387,altricial,NA
Turdus_merula,PASSERIFORMES (PASSERIDA),Turdidae,1.9,103.2,0.334458054,Migrant,0.177949798,altricial,26.55
Turdus_migratorius,PASSERIFORMES (PASSERIDA),Turdidae,1.64,78.5,0.340716948,Migrant,0.105171911,altricial,28
Turdus_philomelos,PASSERIFORMES (PASSERIDA),Turdidae,1.63,67.75,0.417191187,Migrant,0.11344,altricial,26.75
Turnix_melanogaster,CHARADRIIFORMES,Turnicidae,1.06,87.9,-0.159136847,Resident,NA,precocial,NA
Turnix_pyrrhothorax,CHARADRIIFORMES,Turnicidae,0.57,46.65,-0.424246611,Resident,0.17491013,precocial,NA
Turnix_suscitator,CHARADRIIFORMES,Turnicidae,0.71,58.35,-0.330116087,Resident,0.156120058,precocial,NA
Turnix_varius,CHARADRIIFORMES,Turnicidae,1.04,91.85,-0.202835867,Resident,0.184667863,precocial,NA
Turnix_velox,CHARADRIIFORMES,Turnicidae,0.67,45,-0.242410823,Resident,0.159690277,precocial,NA
Turtur_brehmeri,COLUMBIFORMES,Columbidae,1.32,128,-0.15053748,Resident,0.17491013,altricial,NA
Turtur_chalcospilos,COLUMBIFORMES,Columbidae,0.92,60.6,-0.092225327,Resident,0.156120058,altricial,33.5
Turtur_tympanistria,COLUMBIFORMES,Columbidae,0.97,69.6,-0.116955886,Resident,0.184667863,altricial,36
Tympanuchus_phasianellus,GALLIFORMES,Phasianidae,2.88,885,-0.454706272,Resident,0.117188094,precocial,23.1
Tyrannus_dominicensis,PASSERIFORMES (SUBOSCINES),Tyrannidae,1,46.27,0.142459111,Migrant,0.062021017,altricial,31.5
Tyrannus_forficatus,PASSERIFORMES (SUBOSCINES),Tyrannidae,0.86,39.3,0.083196653,Migrant,0.073084121,altricial,29.5
Tyrannus_savana,PASSERIFORMES (SUBOSCINES),Tyrannidae,0.73,31.9,0.036300803,Migrant,0.05344454,altricial,29.75
Tyrannus_tyrannus,PASSERIFORMES (SUBOSCINES),Tyrannidae,0.95,39.93,0.173807716,Migrant,0.163739954,altricial,30.5
Tyrannus_verticalis,PASSERIFORMES (SUBOSCINES),Tyrannidae,0.98,39.6,0.209552222,Migrant,0.023556822,altricial,29.5
