SCIENTIFIC_NAME,Order,Family,brain_size_mm3,body_mass_g,brain_residual,migration_status,diet_breadth,development_mode,development_time_days
Abroscopus_albogularis,PASSERIFORMES (PASSERIDA),Sylviidae,0.32,5,0.250822788,Resident,0,altricial,NA
Acanthagenys_rufogularis,PASSERIFORMES (MELIPHAGIDA),Meliphagidae,1.16,47.8,0.272635457,Resident,0.146766321,altricial,31
Acanthiza_chrysorrhoa,PASSERIFORMES (MELIPHAGIDA),Acanthizidae,0.43,9.4,0.192273585,Resident,0.15540941,altricial,34.9
Acanthiza_ewingii,PASSERIFORMES (MELIPHAGIDA),Acanthizidae,0.63,4,1.053359173,Resident,0.17491013,altricial,NA
Acanthiza_inornata,PASSERIFORMES (MELIPHAGIDA),Acanthizidae,0.44,8.5,0.271703387,Resident,0.109314459,altricial,37.5
Acanthiza_lineata,PASSERIFORMES (MELIPHAGIDA),Acanthizidae,0.51,6.7,0.552785158,Resident,0.08969136,altricial,34.8
Acanthiza_nana,PASSERIFORMES (MELIPHAGIDA),Acanthizidae,0.37,7.25,0.18763419,Resident,0.155475671,altricial,NA
Acanthiza_pusilla,PASSERIFORMES (MELIPHAGIDA),Acanthizidae,0.45,8.15,0.317756641,Resident,0.098964812,altricial,33.8
Acanthiza_reguloides,PASSERIFORMES (MELIPHAGIDA),Acanthizidae,0.39,7.5,0.221266137,Resident,0.243506176,altricial,28.4
Acanthiza_uropygialis,PASSERIFORMES (MELIPHAGIDA),Acanthizidae,0.36,6.4,0.230168177,Resident,0.15540941,altricial,38
Acanthorhynchus_tenuirostris,PASSERIFORMES (MELIPHAGIDA),Meliphagidae,0.48,10.5,0.240213895,Resident,0.122978767,altricial,28.1
Accipiter_cirrocephalus,ACCIPITRIFORMES,Accipitridae,2.39,172,0.277429596,Resident,0.00643964,altricial,64.1
Accipiter_cooperii,ACCIPITRIFORMES,Accipitridae,4.7,439,0.428232006,Migrant,0.00163104,altricial,64.75
Accipiter_fasciatus,ACCIPITRIFORMES,Accipitridae,4.5,380.25,0.465316436,Resident,0.007817787,altricial,60.75
Accipiter_gentilis,ACCIPITRIFORMES,Accipitridae,7.88,901.67,0.541366387,Resident,0.004385685,altricial,71.15
Accipiter_haplochrous,ACCIPITRIFORMES,Accipitridae,3.91,204.5,0.672615027,Resident,0.007989782,altricial,NA
Accipiter_novaehollandiae,ACCIPITRIFORMES,Accipitridae,4.74,558.08,0.302114446,Resident,0.007817787,altricial,70
Accipiter_striatus,ACCIPITRIFORMES,Accipitridae,2.23,135.73,0.340948893,Migrant,0.002444749,altricial,57.5
Aceros_cassidix,BUCEROTIFORMES,Bucerotidae,18.19,2360,0.838332281,Resident,0.067720216,altricial,133.5
Aceros_leucocephalus,BUCEROTIFORMES,Bucerotidae,12.81,1086,0.922952487,Resident,0.063341677,altricial,92
Aceros_plicatus,BUCEROTIFORMES,Bucerotidae,15.42,1706.5,0.854944673,Resident,0.101598035,altricial,NA
Aceros_undulatus,BUCEROTIFORMES,Bucerotidae,18.25,2343.75,0.845500123,Resident,0.080427475,altricial,132.5
Acridotheres_tristis,PASSERIFORMES (PASSERIDA),Sturnidae,2.48,118.25,0.524520623,Resident,0.08425398,altricial,39.3
Acrocephalus_arundinaceus,PASSERIFORMES (PASSERIDA),Sylviidae,0.91,26.75,0.355440727,Migrant,0.027090525,altricial,27
Acrocephalus_schoenobaenus,PASSERIFORMES (PASSERIDA),Sylviidae,0.45,10.8,0.159877316,Migrant,0.080595982,altricial,27.5
Acryllium_vulturinum,GALLIFORMES,Numididae,4.55,1330,-0.225806843,Resident,NA,precocial,27.6
Actitis_hypoleucos,CHARADRIIFORMES,Scolopacidae,0.86,48,-0.028948961,Migrant,0.041203391,precocial,30.3
Actitis_macularius,CHARADRIIFORMES,Scolopacidae,0.68,48.24,-0.266585535,Migrant,0.004681652,precocial,30.3
Aechmophorus_occidentalis,PODICIPEDIFORMES,Podicipedidae,3.71,1147.72,-0.347240282,Migrant,0.012588441,precocial,23.1
Aegithalos_concinnus,PASSERIFORMES (PASSERIDA),Aegithalidae,0.37,6.1,0.284490432,Resident,0.073084121,altricial,29.25
Aegithina_tiphia,PASSERIFORMES (CORVIDA),Aegithinidae,0.67,12,0.498821902,Resident,0,altricial,NA
Aegolius_acadicus,STRIGIFORMES,Strigidae,3.36,73.12,1.097776201,Migrant,0.002847657,altricial,56.25
Aegolius_funereus,STRIGIFORMES,Strigidae,4.02,91.17,1.153392535,Resident,0.002847657,altricial,59.35
Aegotheles_cristatus,APODIFORMES,Aegothelidae,1.42,42.8,0.53683307,Resident,0,altricial,53
Aegypius_monachus,ACCIPITRIFORMES,Accipitridae,28.25,9625,0.490244373,Migrant,0.002607511,altricial,158.5
Aeronautes_saxatalis,APODIFORMES,Apodidae,0.67,31.2,-0.037023169,Migrant,0,altricial,67
Aethia_cristatella,CHARADRIIFORMES,Alcidae,2.47,259.5,0.079720998,Migrant,0.004681652,precocial,66
Aethia_psittacula,CHARADRIIFORMES,Alcidae,2.55,270,0.089352169,Migrant,0.010621497,precocial,70
Aethia_pusilla,CHARADRIIFORMES,Alcidae,1.48,84.6,0.196095416,Migrant,0,precocial,57
Aethopyga_nipalensis,PASSERIFORMES (PASSERIDA),Nectariniidae,0.33,6,0.179349614,Resident,0.122978767,altricial,NA
Agapornis_canus,PSITTACIFORMES,Psittacidae,1.15,26.5,0.594779059,Resident,0.169333175,altricial,66.05
Agapornis_fischeri,PSITTACIFORMES,Psittacidae,1.95,48.3,0.786209247,Migrant,0.169333175,altricial,61.05
Agapornis_lilianae,PSITTACIFORMES,Psittacidae,1.53,37.3,0.688578217,Resident,0.135863802,altricial,66.2
Agapornis_nigrigenis,PSITTACIFORMES,Psittacidae,1.9,40.5,0.859006173,Resident,0.03721681,altricial,64.2
Agapornis_personatus,PSITTACIFORMES,Psittacidae,1.87,52.5,0.6975584,Resident,0,altricial,67.15
Agapornis_pullarius,PSITTACIFORMES,Psittacidae,1.44,39.3,0.598662657,Resident,0.169333175,altricial,64
Agapornis_roseicollis,PSITTACIFORMES,Psittacidae,1.86,54.5,0.671229754,Resident,0.11258085,altricial,65.9
Agapornis_swindernianus,PSITTACIFORMES,Psittacidae,1.53,40,0.649386497,Resident,NA,altricial,NA
Agapornis_taranta,PSITTACIFORMES,Psittacidae,1.98,57.5,0.703700388,Resident,0.169333175,altricial,74.4
Agelaioides_badius,PASSERIFORMES (PASSERIDA),Icteridae,1.48,45.3,0.546382612,Resident,0,altricial,NA
Agelaius_phoeniceus,PASSERIFORMES (PASSERIDA),Icteridae,1.69,65.49,0.472365759,Migrant,0.17491013,altricial,27
Ailuroedus_crassirostris,PASSERIFORMES (CLIMACTERIDA),Ptilonorhynchidae,4.01,205.5,0.695133308,Resident,0.058321786,altricial,42.5
Ailuroedus_melanotis,PASSERIFORMES (CLIMACTERIDA),Ptilonorhynchidae,4.4,165,0.911041202,Resident,0.074055612,altricial,42
Aimophila_cassinii,PASSERIFORMES (PASSERIDA),Emberizidae,0.78,18.9,0.396094485,Migrant,0.17491013,altricial,20
Aix_galericulata,ANSERIFORMES,Anatidae,4.22,570,0.174060596,Migrant,0.156677851,precocial,50.75
Aix_sponsa,ANSERIFORMES,Anatidae,4.25,658,0.10063206,Migrant,0.135863802,precocial,62
Alauda_arvensis,PASSERIFORMES (PASSERIDA),Alaudidae,0.96,37.48,0.219788751,Migrant,0.17370424,altricial,29.5
Alca_torda,CHARADRIIFORMES,Alcidae,5.38,719,0.286683461,Migrant,NA,precocial,53.55
Alcedo_atthis,CORACIIFORMES,Alcedinidae,0.74,28.3,0.117058285,Migrant,0.036774665,altricial,44.5
Alcedo_azurea,CORACIIFORMES,Alcedinidae,0.98,34.6,0.285245635,Resident,0.020002776,altricial,49
Alcedo_cristata,CORACIIFORMES,Alcedinidae,0.54,15.7,0.132397667,Resident,0.028608359,altricial,NA
Alcippe_nipalensis,PASSERIFORMES (PASSERIDA),Timaliidae,0.93,15.8,0.672452505,Resident,0.117637979,altricial,NA
Alectoris_chukar,GALLIFORMES,Phasianidae,2.48,503.5,-0.287947993,Resident,0.156120058,precocial,23.85
Alectroenas_pulcherrima,COLUMBIFORMES,Columbidae,1.55,165,-0.132308408,Resident,0.169333175,altricial,NA
Alectura_lathami,GALLIFORMES,Megapodiidae,5.68,2340,-0.320815735,Resident,0.150105783,precocial,49.01
Alethe_diademata,PASSERIFORMES (PASSERIDA),Turdidae,1.04,31.2,0.402675111,Resident,0.003370399,altricial,NA
Alisterus_scapularis,PSITTACIFORMES,Psittacidae,4.48,232.5,0.736738354,Resident,0.153910555,altricial,55
Alle_alle,CHARADRIIFORMES,Alcidae,2.1,171,0.15134352,Migrant,0.012588441,precocial,56.25
Alophoixus_pallidus,PASSERIFORMES (PASSERIDA),Pycnonotidae,1.24,47,0.348791934,Resident,0.092852714,altricial,23.5
Alopochen_aegyptiaca,ANSERIFORMES,Anatidae,6.93,1935.75,-0.015549165,Resident,0.132494798,precocial,65.75
Amadina_fasciata,PASSERIFORMES (PASSERIDA),Estrildidae,0.59,15.4,0.231770577,Resident,0.17491013,altricial,36.5
Amalocichla_incerta,PASSERIFORMES (PASSERIDA),Petroicidae,1.1,26.5,0.550327297,Resident,0,altricial,NA
Amandava_amandava,PASSERIFORMES (PASSERIDA),Estrildidae,0.38,9,0.093045818,Resident,0.057821531,altricial,31.5
Amaurolimnas_concolor,GRUIFORMES,Rallidae,1.73,133,0.098463203,Resident,0.176853046,precocial,NA
Amaurornis_flavirostra,GRUIFORMES,Rallidae,1.47,89.5,0.157740583,Resident,0.1388411,precocial,18
Amaurornis_olivacea,GRUIFORMES,Rallidae,2.13,292,-0.134547237,Resident,NA,precocial,NA
Amaurornis_phoenicurus,GRUIFORMES,Rallidae,2.34,212.5,0.137708667,Resident,0.069429823,precocial,21
Amazilia_tzacatl,APODIFORMES,Trochilidae,0.22,5.28,-0.154427308,Resident,0.122978767,altricial,37.3
Amazona_aestiva,PSITTACIFORMES,Psittacidae,8.24,400,1.041843235,Migrant,0.135863802,altricial,92.25
Amazona_albifrons,PSITTACIFORMES,Psittacidae,5.28,206,0.96890536,Resident,0.135863802,altricial,NA
Amazona_amazonica,PSITTACIFORMES,Psittacidae,8.29,370,1.091613223,Migrant,NA,altricial,81
Amazona_auropalliata,PSITTACIFORMES,Psittacidae,9.57,433,1.147020173,Resident,0.169333175,altricial,89
Amazona_autumnalis,PSITTACIFORMES,Psittacidae,8.13,416,1.006409074,Resident,0.135863802,altricial,82
Amazona_farinosa,PSITTACIFORMES,Psittacidae,10.14,626,0.998159213,Resident,0.162483678,altricial,89
Amazona_leucocephala,PSITTACIFORMES,Psittacidae,5.63,235.5,0.958034984,Resident,0.162483678,altricial,83
Amazona_ochrocephala,PSITTACIFORMES,Psittacidae,8.64,440,1.035796098,Resident,0.135863802,altricial,88.5
Amazona_oratrix,PSITTACIFORMES,Psittacidae,8.62,517,0.943040393,Resident,0.135863802,altricial,89
Amazona_ventralis,PSITTACIFORMES,Psittacidae,5.97,214,1.070360025,Resident,0.169333175,altricial,84
Amazona_versicolor,PSITTACIFORMES,Psittacidae,9.6,676,0.900341386,Resident,0.169333175,altricial,109
Amazona_vinacea,PSITTACIFORMES,Psittacidae,7.46,315.53,1.075424685,Resident,0.023779529,altricial,93.5
Amazona_viridigenalis,PSITTACIFORMES,Psittacidae,6.89,316,0.995105643,Resident,0.135863802,altricial,80
Amazona_vittata,PSITTACIFORMES,Psittacidae,5.73,275,0.888684254,Resident,0.169333175,altricial,89
Amazonetta_brasiliensis,ANSERIFORMES,Anatidae,3.9,590,0.075862381,Resident,NA,precocial,NA
Amblycercus_holosericeus,PASSERIFORMES (PASSERIDA),Icteridae,2.21,66.92,0.728516361,Resident,0.063779149,altricial,NA
Amblyornis_macgregoriae,PASSERIFORMES (CLIMACTERIDA),Ptilonorhynchidae,3.58,123.5,0.8672639,Resident,0.063464245,altricial,NA
Amblyornis_subalaris,PASSERIFORMES (CLIMACTERIDA),Ptilonorhynchidae,3.55,109,0.9288881,Resident,0.071259387,altricial,NA
Amblyramphus_holosericeus,PASSERIFORMES (PASSERIDA),Icteridae,2.33,69,0.764226979,Resident,0.009062627,altricial,NA
Ammodramus_savannarum,PASSERIFORMES (PASSERIDA),Emberizidae,0.65,17.45,0.258536779,Migrant,0.17491013,altricial,20.5
Amphispiza_bilineata,PASSERIFORMES (PASSERIDA),Emberizidae,0.68,13.79,0.435665851,Migrant,0.17491013,altricial,21.5
Amytornis_goyderi,PASSERIFORMES (MELIPHAGIDA),Maluridae,0.78,16.7,0.465494537,Resident,0.17491013,altricial,NA
Anas_acuta,ANSERIFORMES,Anatidae,4.72,946.5,0.001636229,Migrant,0.110207642,precocial,43.8
Anas_americana,ANSERIFORMES,Anatidae,4.05,755.5,-0.025057667,Migrant,0.014948238,precocial,46.8
Anas_aucklandica,ANSERIFORMES,Anatidae,4.4,465.5,0.329404398,Resident,0.063779149,precocial,90.25
Anas_castanea,ANSERIFORMES,Anatidae,3.73,625,-0.001023998,Resident,0,precocial,26.1
Anas_clypeata,ANSERIFORMES,Anatidae,3.56,613,-0.036799735,Migrant,0.147489852,precocial,45.3
Anas_crecca,ANSERIFORMES,Anatidae,2.7,343.83,0.010952438,Migrant,0.148432313,precocial,39.05
Anas_cyanoptera,ANSERIFORMES,Anatidae,3.26,418.83,0.088773247,Migrant,0.156120058,precocial,47.55
Anas_discors,ANSERIFORMES,Anatidae,2.93,360,0.066930857,Migrant,0.158134035,precocial,43.3
Anas_eatoni,ANSERIFORMES,Anatidae,3.6,458,0.13784263,Resident,0.17491013,precocial,NA
Anas_flavirostris,ANSERIFORMES,Anatidae,3.56,429.5,0.162698909,Resident,0.153910555,precocial,24.1
Anas_gracilis,ANSERIFORMES,Anatidae,3.52,481.5,0.087309299,Resident,0.156120058,precocial,28.1
Anas_hottentota,ANSERIFORMES,Anatidae,3.01,280,0.234804133,Resident,NA,precocial,26.1
Anas_laysanensis,ANSERIFORMES,Anatidae,3.55,459.5,0.122022728,Resident,0.137282173,precocial,28.1
Anas_platalea,ANSERIFORMES,Anatidae,3.5,465.5,0.100562826,Resident,0.156120058,precocial,25.1
Anas_platyrhynchos,ANSERIFORMES,Anatidae,5.44,1110.47,0.054009749,Migrant,0.159068993,precocial,82.5
Anas_rhynchotis,ANSERIFORMES,Anatidae,3.54,667,-0.089778646,Resident,0.156120058,precocial,24.35
Anas_smithii,ANSERIFORMES,Anatidae,3.77,798.42,-0.127686214,Resident,0.152377951,precocial,55.55
Anas_strepera,ANSERIFORMES,Anatidae,3.9,889.52,-0.154376892,Migrant,0.132494798,precocial,51.6
Anas_superciliosa,ANSERIFORMES,Anatidae,5.33,910,0.14523266,Resident,0.155552408,precocial,29.1
Anas_versicolor,ANSERIFORMES,Anatidae,3.63,387.5,0.239880018,Migrant,0.156120058,precocial,25.6
Anas_wyvilliana,ANSERIFORMES,Anatidae,4.54,614.5,0.204996156,Resident,0.156120058,precocial,28.1
Anastomus_lamelligerus,CICONIIFORMES,Ciconiidae,10.28,1120,0.685638775,Resident,NA,altricial,63.75
Andigena_hypoglauca,PICIFORMES,Ramphastidae,4.65,314,0.605462386,Resident,0,altricial,NA
Anhinga_melanogaster,SULIFORMES,Anhingidae,4.56,1523.25,-0.29969284,Resident,0.028608359,altricial,70.5
Anisognathus_somptuosus,PASSERIFORMES (PASSERIDA),Thraupidae,1.49,42,0.595533651,Resident,NA,altricial,NA
Anodorhynchus_hyacinthinus,PSITTACIFORMES,Psittacidae,24.73,1500,1.399627247,Resident,0.023556822,altricial,119
Anorrhinus_galeritus,BUCEROTIFORMES,Bucerotidae,9.6,1190.5,0.582968111,Resident,NA,altricial,NA
Anous_minutus,CHARADRIIFORMES,Laridae,1.51,102.2,0.110174368,Migrant,0.004681652,precocial,79.5
Anous_stolidus,CHARADRIIFORMES,Laridae,2.23,189,0.155281559,Migrant,0.014161996,precocial,53
Anser_albifrons,ANSERIFORMES,Anatidae,9.09,2722.24,0.064557488,Migrant,0.135863802,precocial,48.05
Anser_fabalis,ANSERIFORMES,Anatidae,10.65,2053.75,0.380967308,Migrant,0.110513483,precocial,56.05
Anseranas_semipalmata,ANSERIFORMES,Anseranatidae,8.8,2283.38,0.130720913,Migrant,0.11258085,precocial,74
Anthochaera_carunculata,PASSERIFORMES (MELIPHAGIDA),Meliphagidae,2.2,106.35,0.46420031,Resident,0.118965915,altricial,36
Anthochaera_chrysoptera,PASSERIFORMES (MELIPHAGIDA),Meliphagidae,1.7,68.35,0.454294844,Resident,0.117256528,altricial,28.5
Anthracoceros_coronatus,BUCEROTIFORMES,Bucerotidae,7.98,808.5,0.615141528,Resident,0.082397643,altricial,NA
Anthracoceros_malayanus,BUCEROTIFORMES,Bucerotidae,11.25,1050,0.811999458,Resident,NA,altricial,NA
Anthracothorax_dominicus,APODIFORMES,Trochilidae,0.23,6.4,-0.217856546,Resident,0.122978767,altricial,NA
Anthreptes_malacensis,PASSERIFORMES (PASSERIDA),Nectariniidae,0.58,12.43,0.334828837,Resident,0.122978767,altricial,NA
Anthus_novaeseelandiae,PASSERIFORMES (PASSERIDA),Motacillidae,0.84,27.87,0.252396287,Resident,0.057821531,altricial,29
Anthus_trivialis,PASSERIFORMES (PASSERIDA),Motacillidae,0.6,23.4,0.01395915,Migrant,0.040818656,altricial,25.25
Anumbius_annumbi,PASSERIFORMES (SUBOSCINES),Furnariidae,1.18,41.5,0.368988145,Resident,0.057821531,altricial,38
Apalis_binotata,PASSERIFORMES (PASSERIDA),Cisticolidae,0.42,8.2,0.245333826,Resident,0,altricial,NA
Apalis_thoracica,PASSERIFORMES (PASSERIDA),Cisticolidae,0.51,11.75,0.237761541,Resident,0.162008151,altricial,31
Apaloderma_narina,TROGONIFORMES,Trogonidae,1.52,67.75,0.347321507,Resident,0.003370399,altricial,NA
Aphelocephala_leucopsis,PASSERIFORMES (MELIPHAGIDA),Acanthizidae,0.54,12.35,0.266990831,Resident,0.147489852,altricial,NA
Aphelocephala_nigricincta,PASSERIFORMES (MELIPHAGIDA),Acanthizidae,0.47,10.4,0.224526977,Resident,0.17491013,altricial,NA
Aphelocoma_coerulescens,PASSERIFORMES (CORVIDA),Corvidae,2.85,77.15,0.903067819,Resident,0.138086891,altricial,35.4
Aphelocoma_ultramarina,PASSERIFORMES (CORVIDA),Corvidae,3.61,131,0.842546608,Resident,0.176052781,altricial,43.5
Aphrastura_spinicauda,PASSERIFORMES (SUBOSCINES),Furnariidae,0.81,11.46,0.714399601,Resident,0,altricial,NA
Aplonis_metallica,PASSERIFORMES (PASSERIDA),Sturnidae,1.58,56.5,0.487867134,Resident,0.101598035,altricial,NA
Aprosmictus_erythropterus,PSITTACIFORMES,Psittacidae,3.85,136,0.885906008,Resident,0.214732189,altricial,55
Aptenodytes_forsteri,SPHENISCIFORMES,Spheniscidae,46.19,33850,0.276673677,Migrant,0.012588441,altricial,230.5
Aptenodytes_patagonicus,SPHENISCIFORMES,Spheniscidae,27.9,11751,0.365857445,Migrant,0.004681652,altricial,382.5
Apteryx_owenii,APTERYGIFORMES,Apterygidae,7.3,1243,0.284878619,Resident,0.147489852,precocial,NA
Apus_apus,APODIFORMES,Apodidae,0.67,37.6,-0.141659451,Migrant,0,altricial,62.1
Apus_pallidus,APODIFORMES,Apodidae,0.72,41.9,-0.13040972,Migrant,0,altricial,67.8
Aquila_audax,ACCIPITRIFORMES,Accipitridae,16.24,3466,0.509402303,Resident,0.006076734,altricial,118.2
Aquila_chrysaetos,ACCIPITRIFORMES,Accipitridae,17.19,3996.19,0.48642925,Migrant,0.004679129,altricial,117
Aquila_fasciatus,ACCIPITRIFORMES,Accipitridae,10.5,2000,0.381655047,Resident,0.00163104,altricial,102.25
Aquila_rapax,ACCIPITRIFORMES,Accipitridae,13.31,1940,0.635876763,Resident,0.020464372,altricial,125.25
Ara_ambiguus,PSITTACIFORMES,Psittacidae,17.5,1347.5,1.11393606,Resident,NA,altricial,NA
Ara_ararauna,PSITTACIFORMES,Psittacidae,18.08,1125,1.247746897,Resident,0.166031996,altricial,116
Ara_chloropterus,PSITTACIFORMES,Psittacidae,20.88,1185,1.362593596,Resident,0.100071867,altricial,120.5
Ara_macao,PSITTACIFORMES,Psittacidae,17.93,1015,1.297118403,Resident,0.135863802,altricial,110
Ara_militaris,PSITTACIFORMES,Psittacidae,18.83,1134,1.283923383,Resident,0.135863802,altricial,110
Ara_severus,PSITTACIFORMES,Psittacidae,10.05,343,1.326628684,Resident,NA,altricial,NA
Arachnothera_longirostra,PASSERIFORMES (PASSERIDA),Nectariniidae,0.52,12.55,0.220241571,Resident,0.122978767,altricial,NA
Aramides_cajanea,GRUIFORMES,Rallidae,3.99,400.38,0.31610162,Resident,0.176853046,precocial,25.5
Aramides_ypecaha,GRUIFORMES,Rallidae,4.9,687.5,0.218353597,Resident,NA,precocial,27.5
Aramus_guarauna,GRUIFORMES,Aramidae,6.62,1080,0.265928641,Resident,0.010195456,precocial,76
Aratinga_acuticaudata,PSITTACIFORMES,Psittacidae,5.25,173,1.061113318,Resident,NA,altricial,NA
Aratinga_aurea,PSITTACIFORMES,Psittacidae,3.23,84.65,0.976204125,Resident,0.132494798,altricial,71
Aratinga_canicularis,PSITTACIFORMES,Psittacidae,3.26,85,0.983135264,Resident,0.169333175,altricial,72
Aratinga_chloroptera,PSITTACIFORMES,Psittacidae,5.45,146,1.193659162,Resident,0.169333175,altricial,NA
Aratinga_finschi,PSITTACIFORMES,Psittacidae,5.28,236,0.892662257,Resident,0.023779529,altricial,73
Aratinga_holochlora,PSITTACIFORMES,Psittacidae,5.23,173,1.057296519,Resident,0.169333175,altricial,73
Aratinga_jandaya,PSITTACIFORMES,Psittacidae,3.8,89.4,1.108106185,Resident,NA,altricial,NA
Aratinga_leucophthalma,PSITTACIFORMES,Psittacidae,5.58,158,1.172936104,Resident,0.153910555,altricial,82
Aratinga_nana,PSITTACIFORMES,Psittacidae,4.01,76.9,1.246360237,Resident,0.135863802,altricial,73
Aratinga_pertinax,PSITTACIFORMES,Psittacidae,3.49,84,1.057946497,Resident,0.135863802,altricial,65
Aratinga_solstitialis,PSITTACIFORMES,Psittacidae,4.55,120.5,1.120819044,Resident,0,altricial,83.5
Aratinga_weddellii,PSITTACIFORMES,Psittacidae,4.01,108,1.055900383,Resident,0.023779529,altricial,73
Archilochus_colubris,APODIFORMES,Trochilidae,0.15,3.1,-0.238783312,Migrant,NA,altricial,33.25
Ardea_herodias,PELECANIFORMES,Ardeidae,8.88,2543.75,0.079214773,Migrant,0.019154579,altricial,85.25
Ardea_pacifica,PELECANIFORMES,Ardeidae,5.16,858.3,0.145619352,Migrant,0.023867344,altricial,74
Ardea_sumatrana,PELECANIFORMES,Ardeidae,8.73,2024,0.190355689,Resident,NA,altricial,NA
Ardeotis_australis,OTIDIFORMES,Otididae,11.65,4450,0.037087102,Resident,0.132466236,precocial,NA
Arenaria_interpres,CHARADRIIFORMES,Scolopacidae,1.34,136,-0.169497526,Migrant,NA,precocial,31.95
Arenaria_melanocephala,CHARADRIIFORMES,Scolopacidae,1.53,126.5,0.003709134,Migrant,NA,precocial,NA
Argusianus_argus,GALLIFORMES,Phasianidae,5.68,1994,-0.231084067,Resident,NA,precocial,24.6
Arremon_aurantiirostris,PASSERIFORMES (PASSERIDA),Emberizidae,1.08,34.5,0.384032522,Resident,0.17491013,altricial,27.5
Arremon_brunneinucha,PASSERIFORMES (PASSERIDA),Emberizidae,1.54,41.5,0.635256123,Resident,0.17491013,altricial,27.5
Arremonops_conirostris,PASSERIFORMES (PASSERIDA),Emberizidae,1.29,39.75,0.482276941,Resident,0.185111168,altricial,25.25
Arses_telescophthalmus,PASSERIFORMES (CORVIDA),Monarchidae,0.62,14,0.334816894,Resident,0,altricial,NA
Artamus_cinereus,PASSERIFORMES (CORVIDA),Artamidae,0.92,35.6,0.206088616,Resident,0,altricial,30.5
Artamus_cyanopterus,PASSERIFORMES (CORVIDA),Artamidae,1,35.5,0.291047705,Resident,0.196492327,altricial,32.7
Artamus_leucorynchus,PASSERIFORMES (CORVIDA),Artamidae,1.08,41.7,0.277738618,Resident,0,altricial,32.5
Artamus_maximus,PASSERIFORMES (CORVIDA),Artamidae,1.65,66,0.44406228,Resident,0,altricial,NA
Artamus_minor,PASSERIFORMES (CORVIDA),Artamidae,0.52,15,0.12023544,Resident,0.040654138,altricial,34
Artamus_personatus,PASSERIFORMES (CORVIDA),Artamidae,1.03,34.6,0.335007145,Resident,0.109314459,altricial,28
Artamus_superciliosus,PASSERIFORMES (CORVIDA),Artamidae,1.04,35.5,0.330268419,Resident,0.109314459,altricial,26.15
Ashbyia_lovensis,PASSERIFORMES (MELIPHAGIDA),Meliphagidae,0.67,17.5,0.287237567,Migrant,0.155475671,altricial,35.5
Asio_capensis,STRIGIFORMES,Strigidae,5.98,310,0.864205499,Resident,NA,altricial,43.75
Asio_flammeus,STRIGIFORMES,Strigidae,5.3,338.25,0.694583243,Migrant,0,altricial,45.95
Asio_otus,STRIGIFORMES,Strigidae,5.31,209.68,0.96464146,Migrant,0,altricial,54.75
Athene_cunicularia,STRIGIFORMES,Strigidae,3.78,150,0.812610046,Migrant,0.007989782,altricial,72
Athene_noctua,STRIGIFORMES,Strigidae,3.7,169,0.724336647,Resident,0.069062155,altricial,58.75
Atrichornis_clamosus,PASSERIFORMES (MENURIDA),Atrichornithidae,1.7,43.05,0.713538313,Resident,0.003370399,altricial,61.5
Attila_spadiceus,PASSERIFORMES (SUBOSCINES),Tyrannidae,1.18,33.2,0.494125707,Resident,0.176853046,altricial,36
Aulacorhynchus_sulcatus,PICIFORMES,Ramphastidae,2.74,167,0.430637946,Resident,NA,altricial,NA
Auriparus_flaviceps,PASSERIFORMES (PASSERIDA),Remizidae,0.44,6.8,0.396840949,Resident,0.058170928,altricial,33.5
Automolus_infuscatus,PASSERIFORMES (SUBOSCINES),Furnariidae,1.13,33.1,0.452520589,Resident,0.003370399,altricial,NA
Automolus_ochrolaemus,PASSERIFORMES (SUBOSCINES),Furnariidae,1.14,40.2,0.352350041,Resident,0.003370399,altricial,37.5
Aviceda_subcristata,ACCIPITRIFORMES,Accipitridae,4.7,323,0.600310009,Resident,0.007989782,altricial,64.5
Aythya_affinis,ANSERIFORMES,Anatidae,4.18,820,-0.039406101,Migrant,0.132494798,precocial,47.95
Aythya_americana,ANSERIFORMES,Anatidae,5.46,1076.5,0.0751024,Migrant,0.132494798,precocial,56.75
Aythya_australis,ANSERIFORMES,Anatidae,4.89,870,0.084282193,Resident,0.170245884,precocial,32
Aythya_collaris,ANSERIFORMES,Anatidae,5.38,705,0.297710664,Migrant,0.072732926,precocial,53
Aythya_valisineria,ANSERIFORMES,Anatidae,6.78,1203,0.229324594,Migrant,0.155552408,precocial,59.75
Babax_lanceolatus,PASSERIFORMES (PASSERIDA),Timaliidae,2.48,68,0.83480419,Resident,0.17491013,altricial,NA
Baeolophus_bicolor,PASSERIFORMES (PASSERIDA),Paridae,1.01,21.6,0.579622573,Resident,0.155475671,altricial,29.5
Balaeniceps_rex,PELECANIFORMES,Balaenicipitidae,22.38,5984,0.523849777,Resident,NA,precocial,130
Balearica_pavonina,GRUIFORMES,Gruidae,12.88,3590,0.257888213,Resident,NA,precocial,62
Bambusicola_thoracicus,GALLIFORMES,Phasianidae,1.78,270.25,-0.270646839,Resident,0.156120058,precocial,17.6
Barnardius_zonarius,PSITTACIFORMES,Psittacidae,3.91,139.3,0.887925201,Resident,0.169333175,altricial,55
Bartramia_longicauda,CHARADRIIFORMES,Scolopacidae,1.3,161.07,-0.294680339,Migrant,0.155475671,precocial,40.05
Baryphthengus_ruficapillus,CORACIIFORMES,Momotidae,2.65,175,0.370998902,Resident,0.064947975,altricial,NA
