Species;resident.km2;breeding.km2;non-breeding.km2;passage.km2;range.size.km2
Acrocephalus palustris;;5998986.848;2257892.22;4211118.248;12467997.32
Acrocephalus percernis;470.371836;;;;470.371836
Acrocephalus rehsei;12.879986;;;;12.879986
Acrocephalus rimitarae;3.64376;;;;3.64376
Acrocephalus rodericanus;2.37782;;;;2.37782
Acrocephalus rufescens;1392250.522;;;;1392250.522
Acrocephalus schoenobaenus;;11966962.83;16144277.35;11038182.9;39149423.09
Acrocephalus scirpaceus;6242251.71;8801852.168;7689313.65;11203106.44;33936523.97
Acrocephalus sechellensis;1.191881;;;;1.191881
Acrocephalus sorghophilus;;;2276.7936;;2276.7936
Acrocephalus stentoreus;2225901.02;2026169.033;3289109.778;900076.272;8441256.103
Acrocephalus syrinx;555.8203216;;;;555.8203216
Acrocephalus taiti;40.27127;;;;40.27127
Acrocephalus tangorum;;752223.5593;220778.324;;973001.8833
Acrocephalus vaughani;3.0627285;;;;3.0627285
Acropternis orthonyx;112917.3656;;;;112917.3656
Acryllium vulturinum;1226633.615;;;;1226633.615
Actenoides bougainvillei;6389.815027;;;;6389.815027
Actenoides capucinus;60286.05261;;;;60286.05261
Actenoides concretus;1024443.528;;;;1024443.528
Actenoides excelsus;1716.17621;;;;1716.17621
Actenoides hombroni;24703.92625;;;;24703.92625
Actenoides lindsayi;106769.7002;;;;106769.7002
Actenoides monachus;72341.46533;;;;72341.46533
Actenoides princeps;101141.4699;;;;101141.4699
Actenoides regalis;19151.26675;;;;19151.26675
Actinodura egertoni;234492.1306;;;;234492.1306
Actinodura radcliffei;482059.61;;;;482059.61
Actinodura ramsayi;58140.1185;;;;58140.1185
Actinodura sodangorum;10446.61539;;;;10446.61539
Actitis hypoleucos;;25851189.64;34935132.74;442029.1282;61228351.51
Actitis macularius;95114.60927;13526832.73;19325774;1215825.953;34163547.28
Actophilornis africanus;16987257.61;;;;16987257.61
Actophilornis albinucha;112855.3888;;;;112855.3888
Adelomyia melanogenys;620319.839;;;;620319.839
Aechmophorus clarkii;822248.1274;2766511.708;;;3588759.835
Aechmophorus occidentalis;463033.6435;4402880.778;569810.0172;273213.1606;5708937.599
Aegithalos annamensis;83162.34761;;;;83162.34761
Aegithalos bonvaloti;147831.2454;;;;147831.2454
Aegithalos caudatus;18232808.79;;178324.8611;;18411133.66
Aegithalos concinnus;2797503.833;;;;2797503.833
Aegithalos fuliginosus;216768.3362;;;;216768.3362
Aegithalos glaucogularis;1794207.628;;;;1794207.628
Aegithalos iouschistos;88102.21699;;;;88102.21699
Aegithalos iredalei;387990.1481;;;;387990.1481
Aegithalos leucogenys;171550.5848;;;;171550.5848
Aegithalos niveogularis;180725.3502;;;;180725.3502
Aegithina lafresnayei;1675986.256;;;;1675986.256
Aegithina nigrolutea;713876.4214;;;;713876.4214
Aegithina tiphia;6355719.907;;;;6355719.907
Aegithina viridissima;1109807.796;;;;1109807.796
Aegolius acadicus;5710251.272;;5108166.417;;10818417.69
Aegolius funereus;23590430.39;;2115.62612;;23592546.01
Aegolius harrisii;1097980.017;;;;1097980.017
Aegolius ridgwayi;43986.44426;;;;43986.44426
Aegotheles affinis;1151.664354;;;;1151.664354
Aegotheles albertisi;95123.53346;;;;95123.53346
Aegotheles archboldi;44839.12702;;;;44839.12702
Aegotheles bennettii;197987.6781;;;;197987.6781
Aegotheles crinifrons;20460.89746;;;;20460.89746
Aegotheles cristatus;7703706.381;;;;7703706.381
Aegotheles insignis;168151.1313;;;;168151.1313
Aegotheles savesi;7.650269;;;;7.650269
Aegotheles tatei;4524.648748;;;;4524.648748
Aegotheles wallacii;39978.05385;;;;39978.05385
Aegypius monachus;6642759.039;174889.1479;4837043.195;138845.0919;11793536.47
Aepypodius arfakianus;193701.6774;;;;193701.6774
Aepypodius bruijnii;828.5424507;;;;828.5424507
Aerodramus bartschi;692.363339;;;;692.363339
Aerodramus brevirostris;2194696.554;;513868.9097;;2708565.464
Aerodramus elaphrus;206.8489065;;;;206.8489065
Aerodramus francicus;4423.155856;;;;4423.155856
