Species;resident.km2;breeding.km2;non-breeding.km2;passage.km2;range.size.km2
Coracina personata;84519.37569;;;;84519.37569
Coracina schistacea;7264.015272;;;;7264.015272
Coracina striata;1446342.796;;;;1446342.796
Coracina temminckii;145694.6415;;;;145694.6415
Coracina welchmani;23470.95559;;;;23470.95559
Coracopsis barklyi;44.3647265;;;;44.3647265
Coracopsis nigra;591141.0927;;;;591141.0927
Coracopsis sibilans;465.2484795;;;;465.2484795
Coracopsis vasa;413295.2504;;;;413295.2504
Coracornis raveni;11492.86536;;;;11492.86536
Coracornis sanghirensis;12.5629005;;;;12.5629005
Coragyps atratus;21173193.27;;;1854.699682;21175047.97
Corapipo gutturalis;1107171.789;;;;1107171.789
Corapipo leucorrhoa;267011.1571;;;;267011.1571
Corcorax melanoramphos;1979863.334;;;;1979863.334
Cormobates leucophaea;969473.3827;;;;969473.3827
Cormobates placens;131683.4449;;;;131683.4449
Corvinella corvina;3469415.779;;;;3469415.779
Corvus albicollis;1615827.313;;;;1615827.313
Corvus albus;19536106.22;;;;19536106.22
Corvus bennetti;5682098.612;;;;5682098.612
Corvus brachyrhynchos;6496616.547;5070798.21;539452.9033;;12106867.66
Corvus capensis;4036447.566;;;;4036447.566
Corvus caurinus;394659.254;;;;394659.254
Corvus corax;52222186.98;33272.38949;53978.25023;;52309437.62
Corvus corone;26058099.51;6987013.125;775924.3747;;33821037.01
Corvus coronoides;4804865.104;;;;4804865.104
Corvus crassirostris;759321.0274;;;;759321.0274
Corvus cryptoleucus;1195970.148;;312345.5543;;1508315.702
Corvus dauuricus;2607253.76;3418717.5;1398623.784;;7424595.043
Corvus edithae;1179817.956;;;;1179817.956
Corvus enca;1656681.171;;;;1656681.171
Corvus florensis;9120.4848;;;;9120.4848
Corvus frugilegus;7197812.072;11756882.45;4008943.78;;22963638.31
Corvus fuscicapillus;18302.76616;;;;18302.76616
Corvus imparatus;113483.2394;;;;113483.2394
Corvus insularis;44901.03332;;;;44901.03332
Corvus jamaicensis;11060.40348;;;;11060.40348
Corvus kubaryi;91.1087575;;;;91.1087575
Corvus leucognaphalus;8205.612847;;;;8205.612847
Corvus macrorhynchos;13310931.56;;;;13310931.56
Corvus meeki;9692.047885;;;;9692.047885
Corvus mellori;1355554.202;;;;1355554.202
Corvus monedula;9088736.827;4878956.696;1248386.519;;15216080.04
Corvus moneduloides;16344.43254;;;;16344.43254
Corvus nasicus;28099.88034;;;;28099.88034
Corvus orru;5407033.701;;;;5407033.701
Corvus ossifragus;970882.3423;;;;970882.3423
Corvus palmarum;32208.62941;;;;32208.62941
Corvus pectoralis;2073816.323;;;;2073816.323
Corvus rhipidurus;2756511.062;;;;2756511.062
Corvus ruficollis;14312979.88;;;;14312979.88
Corvus sinaloae;94704.11906;;;;94704.11906
Corvus splendens;4648730.358;;;;4648730.358
Corvus tasmanicus;375003.4385;;;;375003.4385
Corvus tristis;693171.2795;;;;693171.2795
Corvus typicus;104440.7542;;;;104440.7542
Corvus unicolor;127.0004095;;;;127.0004095
Corvus validus;25686.12115;;;;25686.12115
Corvus violaceus;27251.68901;;;;27251.68901
Corvus woodfordi;12997.39668;;;;12997.39668
Corydon sumatranus;2210147.298;;;;2210147.298
Corydospiza alaudina;679685.2809;;;;679685.2809
Corydospiza carbonaria;499060.2668;;403022.0365;;902082.3034
Coryphaspiza melanotis;2256636.092;;;;2256636.092
Coryphistera alaudina;1446955.163;;;;1446955.163
Coryphospingus cucullatus;4043320.643;;863521.7503;;4906842.394
Coryphospingus pileatus;2758184.293;;;;2758184.293
Corythaeola cristata;3895911.593;;;;3895911.593
Corythaixoides concolor;3808359.749;;;;3808359.749
Corythaixoides leopoldi;667191.7626;;;;667191.7626
Corythaixoides personatus;53049.47691;;;;53049.47691
Corythopis delalandi;2527025.499;;;;2527025.499
Corythopis torquatus;6635686.897;;;;6635686.897
Corythornis cristatus;14363013.46;;;;14363013.46
Corythornis leucogaster;2739523.349;;;;2739523.349
Corythornis madagascariensis;158667.0125;;;;158667.0125
Corythornis nais;148.9645555;;;;148.9645555
Corythornis thomensis;866.8593015;;;;866.8593015
Corythornis vintsioides;572348.7542;;;;572348.7542
Coscoroba coscoroba;1523752.572;384789.9484;2189835.797;;4098378.318
Cossypha albicapillus;1269732.049;;;;1269732.049
Cossypha cyanocampter;1974854.18;;;;1974854.18
Cossypha dichroa;253744.831;;;;253744.831
Cossypha heinrichi;6092.979618;;;;6092.979618
Cossypha heuglini;6366333.666;;;;6366333.666
Cossypha natalensis;3643857.47;;;;3643857.47
Cossypha niveicapilla;5175384.049;;;;5175384.049
Cossypha semirufa;865671.2548;;;;865671.2548
Cossyphicula roberti;100770.0328;;;;100770.0328
Cotinga amabilis;297770.2837;;;;297770.2837
Cotinga cayana;6352622.711;;;;6352622.711
Cotinga cotinga;1910662.764;;;;1910662.764
Cotinga maculata;2146.202531;;;;2146.202531
Cotinga maynana;2547089.861;;;;2547089.861
Cotinga nattererii;176318.2274;;;;176318.2274
Cotinga ridgwayi;8393.782426;;;;8393.782426
Coturnicops exquisitus;;152743.7722;743279.9474;;896023.7196
Coturnicops notatus;1593360.117;;;;1593360.117
Coturnicops noveboracensis;;3673253.949;451080.0876;;4124334.037
Coturnix coromandelica;2084164.103;814889.3317;;;2899053.434
Coturnix coturnix;3125697.819;18196944.42;13123607.68;;34446249.92
Coturnix delegorguei;7145277.718;2006520.827;;;9151798.546
Coturnix japonica;29069.43791;3220862.598;3989633.175;1530301.048;8769866.259
Coturnix pectoralis;6305120.065;;20117.3857;;6325237.451
Coua caerulea;333676.3325;;;;333676.3325
Coua coquereli;140311.9004;;;;140311.9004
Coua cristata;271834.3863;;;;271834.3863
Coua cursor;51205.13802;;;;51205.13802
Coua gigas;149344.4872;;;;149344.4872
Coua olivaceiceps;80614.17678;;;;80614.17678
Coua pyropyga;110502.3116;;;;110502.3116
Coua reynaudii;320665.1867;;;;320665.1867
Coua ruficeps;97567.4035;;;;97567.4035
Coua serriana;62712.46165;;;;62712.46165
Coua verreauxi;20337.9997;;;;20337.9997
Cracticus argenteus;370349.2539;;;;370349.2539
Cracticus cassicus;560680.2208;;;;560680.2208
Cracticus louisiadensis;812.9434545;;;;812.9434545
Cracticus mentalis;218669.5336;;;;218669.5336
Cracticus nigrogularis;6348155.92;;;;6348155.92
Cracticus torquatus;6033477.651;;;;6033477.651
Cranioleuca albicapilla;18553.59261;;;;18553.59261
Cranioleuca albiceps;42116.59757;;;;42116.59757
Cranioleuca antisiensis;106904.7458;;;;106904.7458
Cranioleuca baroni;104737.7916;;;;104737.7916
Cranioleuca berlepschi;2572.644504;;;;2572.644504
Cranioleuca curtata;173751.4361;;;;173751.4361
Cranioleuca demissa;77245.52465;;;;77245.52465
Cranioleuca dissita;512.743953;;;;512.743953
Cranioleuca erythrops;70086.11619;;;;70086.11619
Cranioleuca hellmayri;6725.724478;;;;6725.724478
Cranioleuca henricae;2935.944862;;;;2935.944862
Cranioleuca marcapatae;15226.16089;;;;15226.16089
Cranioleuca muelleri;73782.78255;;;;73782.78255
Cranioleuca obsoleta;654113.1108;;;;654113.1108
Cranioleuca pallida;693717.9471;;;;693717.9471
Cranioleuca pyrrhophia;2026416.164;;;;2026416.164
Cranioleuca semicinerea;987339.1673;;;;987339.1673
Cranioleuca subcristata;182962.6691;;;;182962.6691
Cranioleuca sulphurifera;711214.325;;;;711214.325
Cranioleuca vulpecula;340632.3228;;;;340632.3228
Cranioleuca vulpina;5717356.723;;;;5717356.723
Cranioleuca weskei;14311.86497;;;;14311.86497
Crateroscelis murina;531887.5649;;;;531887.5649
Crateroscelis nigrorufa;114102.0959;;;;114102.0959
Crateroscelis robusta;155569.7808;;;;155569.7808
Crax alberti;4720.314019;;;;4720.314019
Crax alector;2099121.558;;;;2099121.558
Crax blumenbachii;1040.759102;;;;1040.759102
Crax daubentoni;403096.3629;;;;403096.3629
Crax fasciolata;3403912.204;;;;3403912.204
Crax globulosa;26885.35471;;;;26885.35471
Crax pinima;294315.7147;;;;294315.7147
Crax rubra;662279.7117;;;;662279.7117
Creagrus furcatus;82162.51081;5082.29514;4453293.346;;4540538.152
Creatophora cinerea;5407509.294;;;;5407509.294
Creurgops dentatus;109862.4687;;;;109862.4687
Creurgops verticalis;93839.21562;;;;93839.21562
Crex crex;;12506587.89;3984196.815;5552856.791;22043641.49
Crex egregia;5950869.83;5729679.509;;;11680549.34
Crinifer piscator;3639837.32;;;;3639837.32
Crinifer zonurus;1014171.869;;;;1014171.869
Criniferoides leucogaster;2293329.525;;;;2293329.525
Criniger barbatus;646093.369;;;;646093.369
Criniger calurus;3304232.649;;;;3304232.649
Criniger chloronotus;1205009.73;;;;1205009.73
Criniger ndussumensis;1455462.442;;;;1455462.442
Criniger olivaceus;239044.8089;;;;239044.8089
Crithagra albogularis;916392.4254;;;;916392.4254
Crithagra ankoberensis;16352.86004;;;;16352.86004
Crithagra atrogularis;3009171.562;;;;3009171.562
Crithagra buchanani;127954.0199;;;;127954.0199
Crithagra burtoni;400657.3448;;;;400657.3448
Crithagra canicapilla;1524514.6;;;;1524514.6
Crithagra capistrata;656733.7115;;;;656733.7115
Crithagra citrinelloides;555017.5127;;;;555017.5127
Crithagra citrinipectus;49796.61745;;;;49796.61745
Crithagra concolor;177.9948205;;;;177.9948205
Crithagra donaldsoni;604450.2302;;;;604450.2302
Crithagra dorsostriata;861450.2237;;;;861450.2237
Crithagra flavigula;4579.214687;;;;4579.214687
Crithagra flaviventris;1693756.831;;;;1693756.831
Crithagra frontalis;238641.8824;;;;238641.8824
Crithagra gularis;1507430.899;;;;1507430.899
Crithagra hyposticta;160571.481;;;;160571.481
Crithagra koliensis;54548.5257;;;;54548.5257
Crithagra leucoptera;84864.33376;;;;84864.33376
Crithagra leucopygia;3039761.303;;;;3039761.303
Crithagra melanochroa;41373.58152;;;;41373.58152
Crithagra menachensis;40204.85138;;;;40204.85138
Crithagra mennelli;1495167.258;;;;1495167.258
Crithagra mozambica;9531498.987;;;;9531498.987
Crithagra reichardi;580391.2737;;;;580391.2737
Crithagra reichenowi;853553.3784;;;;853553.3784
Crithagra rothschildi;102993.5614;;;;102993.5614
Crithagra rufobrunnea;946.688696;;;;946.688696
Crithagra scotops;184744.7042;;;;184744.7042
Crithagra striatipectus;87783.73478;;;;87783.73478
Crithagra striolata;867483.9646;;;;867483.9646
Crithagra sulphurata;1884294.638;;;;1884294.638
Crithagra symonsi;36945.33024;;;;36945.33024
Crithagra totta;85609.10723;;;;85609.10723
Crithagra tristriata;299467.568;;;;299467.568
Crithagra xantholaema;53856.54519;;;;53856.54519
Crithagra xanthopygia;103202.1653;;;;103202.1653
Crossleyia tenebrosa;15952.68805;;;;15952.68805
Crossleyia xanthophrys;22580.79064;;;;22580.79064
Crossoptilon auritum;512797.9965;;;;512797.9965
Crossoptilon crossoptilon;172066.9066;;;;172066.9066
Crossoptilon harmani;62731.36719;;;;62731.36719
Crossoptilon mantchuricum;146731.7211;;;;146731.7211
Crotophaga ani;14117410.73;;;;14117410.73
Crotophaga major;12118012.64;;;;12118012.64
Crotophaga sulcirostris;2621029.719;75628.02627;20023.17654;;2716680.922
Crypsirina cucullata;112260.3393;;;;112260.3393
Crypsirina temia;1282815.147;;;;1282815.147
Cryptillas victorini;78300.06757;;;;78300.06757
Cryptoleucopteryx plumbea;162248.2991;;;;162248.2991
Cryptolybia olivacea;155243.2177;;;;155243.2177
Cryptomicroeca flaviventris;16344.39285;;;;16344.39285
Cryptophaps poecilorrhoa;97393.31142;;;;97393.31142
Cryptopipo holochlora;335973.5263;;;;335973.5263
Cryptopipo litae;146479.0446;;;;146479.0446
Cryptospiza jacksoni;75943.89936;;;;75943.89936
Cryptospiza reichenovii;435818.779;;;;435818.779
Cryptospiza salvadorii;255498.8496;;;;255498.8496
Cryptospiza shelleyi;46091.68414;;;;46091.68414
Cryptosylvicola randrianasoloi;115195.559;;;;115195.559
Crypturellus atrocapillus;120522.0735;;;;120522.0735
Crypturellus bartletti;1611666.42;;;;1611666.42
Crypturellus berlepschi;59611.00626;;;;59611.00626
Crypturellus boucardi;334544.2566;;;;334544.2566
Crypturellus brevirostris;833080.9373;;;;833080.9373
Crypturellus casiquiare;86538.27589;;;;86538.27589
Crypturellus cinereus;5924658.708;;;;5924658.708
Crypturellus cinnamomeus;661638.4043;;;;661638.4043
Crypturellus duidae;131806.439;;;;131806.439
Crypturellus erythropus;1242468.679;;;;1242468.679
Crypturellus kerriae;6148.434801;;;;6148.434801
Crypturellus noctivagus;1469440.035;;;;1469440.035
Crypturellus obsoletus;1842107.394;;;;1842107.394
Crypturellus occidentalis;49935.53219;;;;49935.53219
Crypturellus parvirostris;6659454.609;;;;6659454.609
Crypturellus ptaritepui;369.8317165;;;;369.8317165
Crypturellus soui;11151045.68;;;;11151045.68
Crypturellus strigulosus;2589643.742;;;;2589643.742
Crypturellus tataupa;4855995.566;;;;4855995.566
Crypturellus transfasciatus;41711.9785;;;;41711.9785
Crypturellus undulatus;8533597.863;;;;8533597.863
Crypturellus variegatus;5436768.538;;;;5436768.538
Cuculus canorus;;37335928.03;12625031.62;;49960959.66
Cuculus clamosus;5186379.476;6665508.181;2119458.268;;13971345.92
Cuculus crassirostris;82909.30447;;;;82909.30447
Cuculus gularis;4998149.976;7408003.275;;;12406153.25
Cuculus lepidus;793615.9571;;;;793615.9571
Cuculus micropterus;4414328.61;5634055.031;246235.9054;213460.7469;10508080.29
Cuculus poliocephalus;69810.7446;5220737.375;2339038.198;1220482.596;8850068.914
Cuculus rochii;575939.6161;;2110707.059;;2686646.675
Cuculus saturatus;;16825393.29;4049430.654;;20874823.94
Cuculus solitarius;5759430.937;6321554.131;;;12080985.07
Culicicapa ceylonensis;2888003.901;1766716.304;2247455.218;;6902175.423
Culicicapa helianthea;376852.5409;;;;376852.5409
Culicivora caudacuta;2100329.483;;;;2100329.483
Curaeus curaeus;618636.0839;;415971.1659;;1034607.25
Cursorius coromandelicus;2383086.274;;352394.4916;;2735480.765
Cursorius cursor;1440742.594;1676742.039;4320387.621;2351853.34;9789725.594
Cursorius rufus;1392319.625;;;;1392319.625
Cursorius somalensis;1128236.083;;;;1128236.083
Cursorius temminckii;10869200.51;;;;10869200.51
Cutia legalleni;28243.59156;;;;28243.59156
Cutia nipalensis;848646.5248;;;;848646.5248
Cyanecula svecica;34139.85115;19849966.26;13305564.03;;33189670.14
Cyanerpes caeruleus;6672900.541;;;;6672900.541
Cyanerpes cyaneus;8117838.354;221770.8251;45221.42719;;8384830.607
Cyanerpes lucidus;234351.3776;;;;234351.3776
Cyanerpes nitidus;2672920.326;;;;2672920.326
Cyanicterus cyanicterus;395525.743;;;;395525.743
Cyanistes caeruleus;8765830.872;;17541.45025;;8783372.322
Cyanistes cyanus;8147796.685;;;;8147796.685
Cyanistes teneriffae;624575.9137;;;;624575.9137
Cyanochen cyanoptera;361338.8699;;;;361338.8699
Cyanocitta cristata;5492577.445;1171620.995;144544.4684;;6808742.908
Cyanocitta stelleri;3459892.868;;;;3459892.868
Cyanocompsa parellina;577370.3183;;;;577370.3183
Cyanocorax affinis;456518.421;;;;456518.421
Cyanocorax beecheii;85715.23242;;;;85715.23242
Cyanocorax cayanus;1160932.914;;;;1160932.914
Cyanocorax chrysops;2831230.941;;;;2831230.941
Cyanocorax coeruleus;518689.8801;;;;518689.8801
Cyanocorax colliei;156137.9254;;;;156137.9254
Cyanocorax cristatellus;2902489.185;;;;2902489.185
Cyanocorax cyanomelas;1680252.055;;;;1680252.055
Cyanocorax cyanopogon;3066924.843;;;;3066924.843
Cyanocorax dickeyi;13427.13112;;;;13427.13112
Cyanocorax formosus;293107.7685;;;;293107.7685
Cyanocorax hafferi;180088.3863;;;;180088.3863
Cyanocorax heilprini;140693.1902;;;;140693.1902
Cyanocorax melanocyaneus;117839.7935;;;;117839.7935
Cyanocorax morio;675556.3558;;;;675556.3558
Cyanocorax mystacalis;80974.63317;;;;80974.63317
Cyanocorax sanblasianus;67515.06954;;;;67515.06954
Cyanocorax violaceus;3381300.222;;;;3381300.222
Cyanocorax yncas;1092514.438;;;;1092514.438
Cyanocorax yucatanicus;187948.2187;;;;187948.2187
Cyanoderma bicolor;707382.7582;;;;707382.7582
Cyanoderma chrysaeum;1020726.091;;;;1020726.091
Cyanoderma erythropterum;593518.7722;;;;593518.7722
Cyanoderma melanothorax;60927.06258;;;;60927.06258
Cyanoderma pyrrhops;173824.7839;;;;173824.7839
Cyanoderma ruficeps;2205559.201;;;;2205559.201
Cyanoderma rufifrons;2386208.569;;;;2386208.569
Cyanograucalus azureus;1644706.941;;;;1644706.941
Cyanolanius comorensis;803.171041;;;;803.171041
Cyanolanius madagascarinus;445251.4696;;;;445251.4696
Cyanolimnas cerverai;997.7507465;;;;997.7507465
Cyanoliseus patagonus;898945.0704;;318720.6965;;1217665.767
Cyanoloxia brissonii;5851780.402;;;;5851780.402
Cyanoloxia cyanoides;877819.1087;;;;877819.1087
Cyanoloxia glaucocaerulea;683787.7763;;511784.2856;;1195572.062
Cyanoloxia rothschildii;6599227.152;;;;6599227.152
Cyanolyca argentigula;3897.852331;;;;3897.852331
Cyanolyca armillata;53660.37143;;;;53660.37143
Cyanolyca cucullata;105151.6397;;;;105151.6397
Cyanolyca mirabilis;3667.798768;;;;3667.798768
Cyanolyca nanus;4615.819053;;;;4615.819053
Cyanolyca pulchra;19637.79519;;;;19637.79519
Cyanolyca pumilo;103066.7209;;;;103066.7209
Cyanolyca quindiuna;42892.77006;;;;42892.77006
Cyanolyca turcosa;62048.3309;;;;62048.3309
Cyanolyca viridicyanus;197616.3647;;;;197616.3647
Cyanomitra alinae;117272.075;;;;117272.075
Cyanomitra bannermani;454284.3785;;;;454284.3785
Cyanomitra cyanolaema;3134603.495;;;;3134603.495
Cyanomitra olivacea;5391394.248;;;;5391394.248
Cyanomitra oritis;65525.67207;;;;65525.67207
Cyanomitra verreauxii;155307.2353;;;;155307.2353
Cyanomitra verticalis;5373148.347;;;;5373148.347
Cyanophaia bicolor;1890.008142;;;;1890.008142
Cyanopica cooki;179391.3736;;;;179391.3736
Cyanopica cyanus;4748125.848;;;;4748125.848
Cyanoptila cumatilis;;361960.2874;370447.4003;;732407.6877
Cyanoptila cyanomelana;;1562789.044;1596324.535;;3159113.58
Cyanoramphus auriceps;65221.97338;;;;65221.97338
Cyanoramphus forbesi;1.632513;;;;1.632513
Cyanoramphus malherbi;301.4360135;;;;301.4360135
Cyanoramphus novaezelandiae;19894.63043;;;;19894.63043
Cyanoramphus unicolor;22.143117;;;;22.143117
Cyclarhis gujanensis;13485514.19;;;;13485514.19
Cyclarhis nigrirostris;83588.63475;;;;83588.63475
Cyclopsitta amabilis;76794.80541;;;;76794.80541
Cyclopsitta coxeni;93619.89054;;;;93619.89054
Cyclopsitta diophthalma;447872.6037;;;;447872.6037
Cyclopsitta gulielmitertii;30116.70923;;;;30116.70923
Cyclopsitta melanogenia;333479.87;;;;333479.87
Cyclopsitta nigrifrons;102357.2107;;;;102357.2107
Cygnus atratus;6664253.793;;;;6664253.793
Cygnus buccinator;119428.1931;1252287.201;236203.3933;;1607918.788
Cygnus columbianus;;5297943.69;3633452.829;4960575.437;13891971.96
Cygnus cygnus;14172.75252;17085521.35;2199252.405;;19298946.51
Cygnus melancoryphus;803252.8144;338849.3782;2477128.515;;3619230.707
Cygnus olor;1949436.322;2963816.447;983456.216;;5896708.985
Cymbilaimus lineatus;6643109.306;;;;6643109.306
Cymbilaimus sanctaemariae;494758.5564;;;;494758.5564
Cymbirhynchus affinis;102694.4809;;;;102694.4809
Cymbirhynchus macrorhynchos;1624533.539;;;;1624533.539
Cynanthus doubledayi;40782.6214;;;;40782.6214
Cynanthus latirostris;422431.1004;320399.9169;;;742831.0174
Cynanthus lawrencei;423.0071215;;;;423.0071215
Cynanthus sordidus;96035.54516;;;;96035.54516
Cyornis banyumas;1769422.294;;281683.5382;;2051105.833
Cyornis brunneatus;;595220.3209;82163.95255;;677384.2735
Cyornis caerulatus;963355.0668;;;;963355.0668
Cyornis camarinensis;9205.558597;;;;9205.558597
Cyornis colonus;13500.87265;;;;13500.87265
Cyornis concretus;866497.9911;;;;866497.9911
Cyornis djampeanus;259.854889;;;;259.854889
Cyornis glaucicomans;;725632.0608;195865.4246;;921497.4854
Cyornis hainanus;1595466.567;;;;1595466.567
Cyornis herioti;57829.73993;;;;57829.73993
Cyornis hoevelli;17275.90191;;;;17275.90191
Cyornis hyacinthinus;32708.77985;;;;32708.77985
Cyornis lemprieri;10930.37456;;;;10930.37456
Cyornis magnirostris;;113557.323;252313.9187;367880.8223;733752.064
Cyornis nicobaricus;1085.434575;;;;1085.434575
Cyornis olivaceus;596285.4251;;;;596285.4251
Cyornis omissus;162610.952;;;;162610.952
Cyornis oscillans;13346.16065;;;;13346.16065
Cyornis pallidipes;52683.79689;;;;52683.79689
Cyornis poliogenys;482619.5014;;;;482619.5014
Cyornis rubeculoides;562817.2635;222474.3076;291266.5495;1061195.627;2137753.747
Cyornis ruckii;5546.083577;;;;5546.083577
Cyornis ruficauda;83422.45253;;;;83422.45253
Cyornis rufigastra;430440.9149;;;;430440.9149
Cyornis sanfordi;2044.280207;;;;2044.280207
Cyornis stresemanni;3267.056832;;;;3267.056832
Cyornis sumatrensis;1033827.79;;;;1033827.79
Cyornis superbus;686150.2918;;;;686150.2918
Cyornis tickelliae;1159872.302;;1206704.878;;2366577.179
Cyornis turcosus;836712.2067;;;;836712.2067
Cyornis umbratilis;1143887.905;;;;1143887.905
Cyornis unicolor;2001753.999;72255.21587;72441.29196;;2146450.507
Cyphorhinus arada;4457654.493;;;;4457654.493
Cyphorhinus dichrous;81892.88724;;;;81892.88724
Cyphorhinus phaeocephalus;292794.2166;;;;292794.2166
Cyphorhinus thoracicus;58605.92686;;;;58605.92686
Cyphos macrodactylus;3329853.548;;;;3329853.548
Cypseloides cherriei;;110973.3597;;;110973.3597
Cypseloides cryptus;413146.413;;;;413146.413
Cypseloides fumigatus;2326055.031;;;;2326055.031
Cypseloides lemosi;3536.40685;;;;3536.40685
Cypseloides niger;197805.062;1105554.522;;829255.22;2132614.804
Cypseloides rothschildi;166784.3094;;;;166784.3094
Cypseloides senex;2015469.286;;;;2015469.286
Cypseloides storeri;84441.90502;;;;84441.90502
Cypsiurus balasiensis;6838150.908;;;;6838150.908
Cypsiurus parvus;16346472.16;;;;16346472.16
Cypsnagra hirundinacea;3191063.802;;;;3191063.802
Cyrtonyx montezumae;754024.6604;;;;754024.6604
Cyrtonyx ocellatus;130707.077;;;;130707.077
Cyrtonyx sallei;91698.9865;;;;91698.9865
Dacelo gaudichaud;670696.5758;;;;670696.5758
Dacelo leachii;2182705.829;;;;2182705.829
Dacelo novaeguineae;2414276.044;;;;2414276.044
Dacelo tyro;36715.99848;;;;36715.99848
Dacnis albiventris;1043160.067;;;;1043160.067
Dacnis berlepschi;11620.49055;;;;11620.49055
Dacnis cayana;12058994.16;;;;12058994.16
Dacnis egregia;143997.7323;;;;143997.7323
Dacnis flaviventer;4099844.41;;;;4099844.41
Dacnis hartlaubi;14474.60951;;;;14474.60951
Dacnis lineata;6049822.473;;;;6049822.473
Dacnis nigripes;27243.22439;;;;27243.22439
Dacnis venusta;202984.3693;;;;202984.3693
Dacnis viguieri;21395.26415;;;;21395.26415
Dactylortyx thoracicus;492827.3263;;;;492827.3263
Daphoenositta chrysoptera;4740244.585;;;;4740244.585
Daphoenositta miranda;39965.31632;;;;39965.31632
Daphoenositta papuensis;155949.7929;;;;155949.7929
Daption capense;136290088.2;18988.0116;;;136309076.2
Daptrius ater;6701465.042;;;;6701465.042
Dasycrotapha plateni;48923.24978;;;;48923.24978
Dasycrotapha pygmaea;6395.079883;;;;6395.079883
Dasycrotapha speciosa;23393.68481;;;;23393.68481
Dasylophus superciliosus;16048.46613;;;;16048.46613
Dasyornis brachypterus;1980.845111;;;;1980.845111
Dasyornis broadbenti;26896.40939;;;;26896.40939
Dasyornis longirostris;495.5274175;;;;495.5274175
Deconychura longicauda;1094065.622;;;;1094065.622
Deconychura pallida;3934124.643;;;;3934124.643
Deconychura typica;113133.5687;;;;113133.5687
Deleornis axillaris;1451772.681;;;;1451772.681
Deleornis fraseri;1859102.719;;;;1859102.719
Delichon dasypus;548211.5014;3209500.16;4378966.382;3169601.778;11306279.82
Delichon lagopodum;;10433385.29;1159136.642;;11592521.94
Delichon nipalense;543130.573;;;;543130.573
Delichon urbicum;;15858681.18;16339383.99;5420029.773;37618094.94
Deltarhynchus flammulatus;66145.82397;;;;66145.82397
Dendragapus fuliginosus;573268.4381;;;;573268.4381
Dendragapus obscurus;1527532.996;;;;1527532.996
Dendrexetastes rufigula;3668622.311;;;;3668622.311
Dendrocincla anabatina;379045.3157;;;;379045.3157
Dendrocincla fuliginosa;8481204.136;;;;8481204.136
Dendrocincla homochroa;493073.9768;;;;493073.9768
Dendrocincla merula;5357513.399;;;;5357513.399
Dendrocincla turdina;1193285.263;;;;1193285.263
Dendrocincla tyrannina;307920.4739;;;;307920.4739
Dendrocitta bayleii;5693.852878;;;;5693.852878
Dendrocitta cinerascens;159045.7507;;;;159045.7507
Dendrocitta formosae;3327935.268;;;;3327935.268
Dendrocitta frontalis;200286.0575;;;;200286.0575
Dendrocitta leucogastra;107985.8895;;;;107985.8895
Dendrocitta occipitalis;165567.0132;;;;165567.0132
Dendrocitta vagabunda;4360216.893;;;;4360216.893
Dendrocolaptes certhia;6658568.738;;;;6658568.738
Dendrocolaptes hoffmannsi;862762.9286;;;;862762.9286
Dendrocolaptes picumnus;5749078.323;;;;5749078.323
Dendrocolaptes platyrostris;3885451.208;;;;3885451.208
Dendrocolaptes punctipectus;211698.1046;;;;211698.1046
Dendrocolaptes sanctithomae;591683.2663;;;;591683.2663
Dendrocopos analis;1113836.356;;;;1113836.356
Dendrocopos assimilis;604193.2648;;;;604193.2648
Dendrocopos atratus;309551.0901;;;;309551.0901
Dendrocopos darjellensis;302193.497;;;;302193.497
Dendrocopos himalayensis;114989.625;;;;114989.625
Dendrocopos hyperythrus;1349273.725;269738.0614;171338.5786;;1790350.365
Dendrocopos leucopterus;2454090.646;;;;2454090.646
Dendrocopos leucotos;11180763.15;;55863.50434;;11236626.65
Dendrocopos macei;905289.1565;;;;905289.1565
Dendrocopos major;24406515.14;;;;24406515.14
Dendrocopos noguchii;573.9585575;;;;573.9585575
Dendrocopos owstoni;696.2373795;;;;696.2373795
Dendrocopos syriacus;2931560.705;;;;2931560.705
Dendrocygna arborea;101643.4043;;;;101643.4043
Dendrocygna arcuata;4891611.276;;;;4891611.276
Dendrocygna autumnalis;9190415.184;147863.5096;;431.165706;9338709.86
Dendrocygna bicolor;18561262.94;106996.4846;;1014.658809;18669274.09
Dendrocygna eytoni;4777838.828;;;;4777838.828
Dendrocygna guttata;925431.881;;;;925431.881
Dendrocygna javanica;5603547.07;1489317.234;31306.94634;39262.34913;7163433.599
Dendrocygna viduata;27414458.65;;;247.3017265;27414705.95
Dendronanthus indicus;;3835116.564;3711871.617;;7546988.181
Dendroperdix sephaena;3350784.94;;;;3350784.94
Dendropicos abyssinicus;360093.6466;;;;360093.6466
Dendropicos dorae;129518.3329;;;;129518.3329
Dendropicos elachus;1588281.888;;;;1588281.888
Dendropicos elliotii;755079.9358;;;;755079.9358
Dendropicos fuscescens;12708617.14;;;;12708617.14
Dendropicos gabonensis;1688154.929;;;;1688154.929
Dendropicos goertae;7459175.192;;;;7459175.192
Dendropicos griseocephalus;2205988.752;;;;2205988.752
Dendropicos johnstoni;103312.4219;;;;103312.4219
Dendropicos lugubris;661312.0008;;;;661312.0008
Dendropicos namaquus;7979677.004;;;;7979677.004
Dendropicos obsoletus;5966484.071;;;;5966484.071
