Binomial,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,Beak_PC1,Beak_PC2,Beak_PC3,Beak_PC4,Realm,TrophicLevel,TrophicNiche,ForagingNiche,
Nectarinia_alinae,-1.505460392,-0.91775022,0.503750975,-0.373248547,0.162552015,0.153074694,0.091330743,0.160782658,-0.011350832,-0.103863929,0.899838751,0.094506566,0.10973967,Afrotropic,Omnivore,Nectarivore,Nectarivore glean,
Nectarinia_amethystina,-1.666290994,-0.583550606,0.54568076,-0.271805195,0.045641515,0.132764296,0.059490296,0.210933433,-0.073488344,-0.467887685,0.767410473,0.066993862,0.137103988,Afrotropic,Omnivore,Omnivore,NA,
Nectarinia_asiatica,-2.166134603,-0.707948605,0.316029066,-0.073179768,0.185077641,0.150819531,0.10240505,0.072205442,-0.026457064,-0.505503558,0.50962517,0.108854385,0.127529259,Indo_Malay,Omnivore,Omnivore,NA,
Nectarinia_aspasia,-2.091402354,-0.636917169,0.503311329,-0.117511031,0.088274647,0.16865402,0.125035822,0.12164776,-0.073052821,-0.583076116,0.645197634,0.137403766,0.1517312,Australian,Omnivore,Omnivore,NA,
Nectarinia_balfouri,-1.750521143,-0.513992592,0.328596599,-0.365693826,0.323392281,0.06105527,0.035510097,0.058563,-0.071912913,-0.507165465,0.657355661,0.024846588,0.123433118,Afrotropic,Omnivore,Omnivore,NA,
Nectarinia_bannermani,-1.437656338,-0.525975776,0.292209443,-0.343936929,0.187523249,0.110453594,0.097363843,0.079267889,-0.02290034,-0.3515388,0.618394861,0.096067034,0.07984826,Afrotropic,Omnivore,Nectarivore,Nectarivore glean,
Nectarinia_batesi,-2.588066076,-0.482092244,0.353984945,0.006334239,0.289203466,0.214746067,0.105792496,0.06339875,-0.031748423,-0.870205154,0.417410652,0.105313949,0.116122151,Afrotropic,Herbivore,Nectarivore,Nectarivore glean,
Nectarinia_bifasciata,-2.313023485,-0.640380251,0.393422611,-0.211735882,0.28619948,0.178825822,0.086736542,0.078166442,-0.02695821,-0.655877892,0.638972745,0.085011025,0.114980937,Afrotropic,Herbivore,Omnivore,NA,
Nectarinia_bocagii,-1.329844436,-0.557276173,0.165049486,-0.704759429,0.058474014,-0.110798858,0.15902743,0.12301427,-0.080736384,-0.353856758,0.806538967,0.156573966,0.10864863,Afrotropic,Herbivore,Nectarivore,Nectarivore glean,
Nectarinia_bouvieri,-2.101352131,-0.552288887,0.374148983,-0.265201236,0.246872588,0.146734936,0.141743083,0.113031169,-0.023856058,-0.640554869,0.6390802,0.136649881,0.090544849,Afrotropic,Omnivore,Nectarivore,Nectarivore glean,
Nectarinia_buettikoferi,-2.021535843,-0.722512151,0.477255743,-0.066693868,0.20435151,0.086369827,0.091279057,0.105290142,-0.045084131,-0.445336252,0.614119022,0.088393204,0.126551349,Australian,Omnivore,Omnivore,NA,
Nectarinia_calcostetha,-2.118760123,-0.640693482,0.260370208,-0.303470806,0.065585286,0.106147381,0.131531443,0.137025785,-0.143725379,-0.608020837,0.626913041,0.150946992,0.227422859,Indo_Malay,Herbivore,Nectarivore,Nectarivore glean,
