binomial,class,body_mass_median,litter_clutch_size,activity,hab_breadth,volant,diet_5cat
Abditomys latidens,Mammalia,268.09,NA,2,2,1,1
Abeillia abeillei,Aves,2.7,2,1,2,2,2
Abeomelomys sevia,Mammalia,54.88,1,2,2,1,1
Abrawayaomys ruschii,Mammalia,62.99,NA,2,1,1,1
Abrocoma bennettii,Mammalia,250.5,3.93,2,1,1,1
Abrocoma boliviensis,Mammalia,158,NA,2,2,1,1
Abrocoma budini,Mammalia,214.69,1.995,2,2,1,1
Abrocoma cinerea,Mammalia,221.82,2.0925,2,2,1,1
Abrocoma famatina,Mammalia,214.69,1.995,2,2,1,1
Abrocoma shistacea,Mammalia,214.69,1.995,2,2,1,1
Abrocoma uspallata,Mammalia,189.48465,NA,2,3,1,1
Abrocoma vaccarum,Mammalia,221.82,1.995,2,1,1,1
Abroscopus albogularis,Aves,4.84,3.9,1,2,2,4
Abroscopus schisticeps,Aves,4.775,4.5,1,1,2,4
Abroscopus superciliaris,Aves,6.49,3.2,1,2,2,4
Abrothrix andinus,Mammalia,24.91,NA,2,2,1,1
Abrothrix hershkovitzi,Mammalia,30.96,NA,2,NA,1,1
Abrothrix illuteus,Mammalia,47.79,NA,2,1,1,1
Abrothrix jelskii,Mammalia,34.5,NA,2,5,1,1
Abrothrix lanosus,Mammalia,27.83,NA,2,2,1,1
Abrothrix longipilis,Mammalia,38.86,4.2725,2,5,1,1
Abrothrix markhami,Mammalia,29.03,5.42,2,NA,1,1
Abrothrix olivaceus,Mammalia,24.52,5.38,2,3,1,1
Abrothrix sanborni,Mammalia,24.7,NA,2,1,1,1
Aburria aburri,Aves,1366.915,NA,1,3,2,2
Acanthagenys rufogularis,Aves,47.8,2.3,1,6,2,5
Acanthidops bairdi,Aves,16,NA,NA,2,2,NA
Acanthisitta chloris,Aves,6.7175,4,1,4,2,4
Acanthiza apicalis,Aves,7.56,NA,1,10,2,4
Acanthiza chrysorrhoa,Aves,9.3325,3.5,1,10,2,4
Acanthiza ewingii,Aves,6.925,3.5,1,6,2,4
Acanthiza inornata,Aves,7,3.5,1,5,2,4
Acanthiza iredalei,Aves,5.92,3,1,3,2,4
Acanthiza katherina,Aves,7.025,2.25,1,2,2,4
Acanthiza lineata,Aves,6.975,3,1,9,2,4
Acanthiza murina,Aves,8.4,2,1,1,2,4
Acanthiza nana,Aves,6.27,3,1,9,2,4
Acanthiza pusilla,Aves,7.61,2.7,1,11,2,4
Acanthiza reguloides,Aves,7.7,3.7,1,5,2,4
Acanthiza robustirostris,Aves,6.075,2.7,1,3,2,4
Acanthiza uropygialis,Aves,6.375,3,1,6,2,4
Acanthorhynchus superciliosus,Aves,9.735,1.48,1,6,2,2
Acanthorhynchus tenuirostris,Aves,10.11375,2.1,1,8,2,5
Acanthornis magna,Aves,10.19,3.25,1,2,2,4
Accipiter albogularis,Aves,250.125,NA,1,5,2,3
Accipiter badius,Aves,135.575,3.25,1,8,2,3
Accipiter bicolor,Aves,316.27,2.7,1,4,2,3
Accipiter brachyurus,Aves,142,NA,1,2,2,3
Accipiter brevipes,Aves,194.99,4,1,8,2,3
Accipiter butleri,Aves,332.94,NA,1,1,2,3
Accipiter castanilius,Aves,158.4425,NA,1,1,2,3
Accipiter cirrocephalus,Aves,172.865,3.25,1,9,2,3
Accipiter collaris,Aves,332.94,NA,1,1,2,3
Accipiter cooperii,Aves,440.835,4.35,1,7,2,3
Accipiter erythrauchen,Aves,156,NA,1,3,2,3
Accipiter erythropus,Aves,109.1,2,1,3,2,3
Accipiter fasciatus,Aves,406.08,3,1,7,2,3
Accipiter francesiae,Aves,136.035,3,1,6,2,4
Accipiter gentilis,Aves,927.395,3.5,1,4,2,3
Accipiter griseiceps,Aves,253.63,NA,1,4,2,3
Accipiter gularis,Aves,119.705,3.2,1,10,2,3
Accipiter gundlachi,Aves,675,3.75,1,5,2,3
Accipiter haplochrous,Aves,219.455,3,1,5,2,3
Accipiter henicogrammus,Aves,332.94,NA,1,2,2,3
Accipiter henstii,Aves,1050,2,1,5,2,3
Accipiter hiogaster,Aves,342.75,2.725,NA,3,2,NA
Accipiter imitator,Aves,230.12,NA,1,2,2,3
Accipiter luteoschistaceus,Aves,213.875,NA,1,4,2,3
Accipiter madagascariensis,Aves,181.205,3,1,4,2,3
Accipiter melanochlamys,Aves,267,NA,1,3,2,3
Accipiter melanoleucus,Aves,700.4366667,2.8,1,6,2,3
Accipiter meyerianus,Aves,789.27,3,1,2,2,3
Accipiter minullus,Aves,85.74,2,1,7,2,3
Accipiter nanus,Aves,332.94,NA,1,2,2,4
Accipiter nisus,Aves,216.395,4.75,1,12,2,3
Accipiter novaehollandiae,Aves,402.8216667,2.725,1,3,2,3
Accipiter ovampensis,Aves,197.0833334,3,1,4,2,3
Accipiter poliocephalus,Aves,219.88,1,1,3,2,3
Accipiter poliogaster,Aves,1369.41,NA,1,1,2,3
Accipiter princeps,Aves,332.94,NA,1,2,2,5
Accipiter rhodogaster,Aves,180.605,NA,1,4,2,3
Accipiter rufitorques,Aves,209,2.7,1,4,2,3
Accipiter rufiventris,Aves,198,3,1,6,2,3
Accipiter soloensis,Aves,162.885,3.5,1,6,2,3
Accipiter striatus,Aves,134.545,4.25,1,10,2,3
Accipiter superciliosus,Aves,86.705,1.85,1,2,2,3
Accipiter sylvestris,Aves,316.2013652,NA,NA,3,2,NA
Accipiter tachiro,Aves,339.75,2.45,1,6,2,3
Accipiter toussenelii,Aves,273.895,2.45,1,6,2,3
Accipiter trinotatus,Aves,146.125,NA,1,2,2,3
Accipiter trivirgatus,Aves,270.52,2,1,4,2,3
Accipiter virgatus,Aves,115.245,3.5,1,5,2,3
Acerodon celebensis,Mammalia,384.84,0.98,2,2,2,2
Acerodon humilis,Mammalia,462.47,NA,2,1,2,2
Acerodon jubatus,Mammalia,1087.04,1,2,2,2,2
Acerodon leucotis,Mammalia,462.47,NA,2,1,2,2
Acerodon mackloti,Mammalia,467.93,0.98,2,2,2,2
Aceros nipalensis,Aves,2385,1.45,1,2,2,2
Achaetops pycnopygius,Aves,28.225,NA,1,3,2,4
Acinonyx jubatus,Mammalia,50577.92,3.16,1,6,1,3
Acomys airensis,Mammalia,38.657,2.47,2,5,1,1
Acomys cahirinus,Mammalia,45.2,2.45,2,3,1,1
Acomys cilicicus,Mammalia,38.305,NA,2,1,1,1
Acomys cineraceus,Mammalia,30.59,2.47,2,5,1,1
Acomys dimidiatus,Mammalia,45.2,2.47,2,7,1,1
Acomys ignitus,Mammalia,24,2.47,2,2,1,1
Acomys johannis,Mammalia,43.6,2.47,2,3,1,1
Acomys kempi,Mammalia,22,2.47,2,2,1,1
Acomys louisae,Mammalia,20.2,NA,2,3,1,1
Acomys minous,Mammalia,62.5,2.47,2,2,1,1
Acomys mullah,Mammalia,45.2,2.47,2,2,1,1
Acomys nesiotes,Mammalia,36.66833977,2.47,2,1,1,1
Acomys percivali,Mammalia,21.99,NA,2,3,1,1
Acomys russatus,Mammalia,49.75,2.5,2,1,1,5
Acomys seurati,Mammalia,38.657,2.47,2,2,1,1
Acomys spinosissimus,Mammalia,26.5,2.71,2,2,1,1
Acomys subspinosus,Mammalia,21.92,NA,2,2,1,1
Acomys wilsoni,Mammalia,18.5,2.29,2,3,1,1
Aconaemys fuscus,Mammalia,129.95,3.23,2,2,1,1
Aconaemys porteri,Mammalia,113.5,3.23,2,2,1,1
Aconaemys sagei,Mammalia,96.49,NA,1,2,1,1
Acridotheres albocinctus,Aves,93.56,4,1,3,2,5
Acridotheres cinereus,Aves,89.28,4.2,1,2,2,4
Acridotheres cristatellus,Aves,116.405,4.25,1,5,2,5
Acridotheres fuscus,Aves,83.9,4.2,1,3,2,5
Acridotheres ginginianus,Aves,71.5,4.9,1,6,2,5
Acridotheres grandis,Aves,98.955,4.9,1,4,2,4
Acridotheres tristis,Aves,114.965,4.5,1,7,2,5
Acrobates pygmaeus,Mammalia,13,2.9,2,2,1,4
Acrobatornis fonsecai,Aves,13.65,NA,1,2,2,4
Acrocephalus aedon,Aves,22.4,NA,1,NA,2,4
Acrocephalus aequinoctialis,Aves,25,NA,1,1,2,4
Acrocephalus agricola,Aves,9.575,4.5,1,4,2,4
Acrocephalus arundinaceus,Aves,30.0875,4.2,1,10,2,4
Acrocephalus atyphus,Aves,31.21,NA,1,4,2,4
Acrocephalus australis,Aves,20.95,4.2,1,5,2,4
Acrocephalus bistrigiceps,Aves,8.585,4.9,1,4,2,4
Acrocephalus brevipennis,Aves,16.125,2.5,1,8,2,4
Acrocephalus caffer,Aves,31.21,NA,1,3,2,4
Acrocephalus concinens,Aves,8.3,3.5,1,4,2,4
Acrocephalus dumetorum,Aves,11.3625,4.2,1,7,2,4
Acrocephalus familiaris,Aves,18.275,NA,1,1,2,4
Acrocephalus gracilirostris,Aves,14.4,2.35,1,6,2,4
Acrocephalus griseldis,Aves,23.35,4.2,1,11,2,4
Acrocephalus kerearako,Aves,22.5375,NA,1,4,2,4
Acrocephalus luscinius,Aves,31.3875,NA,1,5,2,4
Acrocephalus melanopogon,Aves,10.95,4,1,2,2,4
Acrocephalus mendanae,Aves,31.21,NA,1,3,2,4
Acrocephalus newtoni,Aves,17.125,3,1,3,2,4
Acrocephalus orinus,Aves,24.2,NA,1,3,2,4
Acrocephalus paludicola,Aves,11.825,4.935,1,2,2,4
Acrocephalus palustris,Aves,11.75,4.41,1,10,2,4
Acrocephalus rehsei,Aves,26.1425,NA,1,4,2,4
Acrocephalus rimatarae,Aves,26.5,NA,1,NA,2,4
Acrocephalus rodericanus,Aves,11.8,NA,1,3,2,4
Acrocephalus rufescens,Aves,22.135,2.45,1,2,2,4
Acrocephalus schoenobaenus,Aves,11.865,5.5,1,7,2,4
Acrocephalus scirpaceus,Aves,12.05,3.9,1,6,2,4
Acrocephalus sechellensis,Aves,15.885,NA,1,1,2,4
Acrocephalus sorghophilus,Aves,14.18,NA,1,1,2,4
Acrocephalus stentoreus,Aves,24.2,4.2,1,7,2,4
Acrocephalus syrinx,Aves,26.1425,NA,1,3,2,4
Acrocephalus taiti,Aves,24.325,NA,1,1,2,4
Acrocephalus tangorum,Aves,12.445,4.9,1,4,2,4
Acrocephalus vaughani,Aves,24.435,NA,1,3,2,4
Acropternis orthonyx,Aves,89.93,NA,1,1,2,4
Acryllium vulturinum,Aves,1331.9375,10,1,4,2,1
Actenoides bougainvillei,Aves,188,NA,1,2,2,5
Actenoides capucinus,Aves,114.605,NA,NA,1,2,NA
Actenoides concretus,Aves,73.71,NA,1,2,2,4
Actenoides excelsus,Aves,114.605,NA,NA,2,2,NA
Actenoides hombroni,Aves,121.75,NA,1,2,2,4
Actenoides lindsayi,Aves,93.17,NA,1,1,2,4
Actenoides monachus,Aves,106,NA,1,1,2,4
Actenoides princeps,Aves,105,NA,1,2,2,4
Actenoides regalis,Aves,114.605,NA,NA,2,2,NA
Actinodura egertoni,Aves,35.875,NA,1,3,2,4
Actinodura morrisoniana,Aves,23.985,NA,1,NA,2,4
Actinodura nipalensis,Aves,43.935,NA,1,NA,2,4
Actinodura ramsayi,Aves,38.35,NA,1,3,2,4
Actinodura sodangorum,Aves,38.1,NA,1,4,2,4
Actinodura souliei,Aves,39.34,NA,1,NA,2,4
Actinodura waldeni,Aves,47.115,NA,1,NA,2,5
Actitis hypoleucos,Aves,48,4,1,15,2,5
Actitis macularius,Aves,41.12916667,4,1,10,2,4
Actophilornis africanus,Aves,194.7825,4,1,12,2,4
Actophilornis albinucha,Aves,239,4,1,6,2,4
Addax nasomaculatus,Mammalia,94288.68,1,2,3,1,1
Adelomyia melanogenys,Aves,4.5025,2,1,1,2,2
Aechmophorus clarkii,Aves,1175.2775,3,1,1,2,3
Aechmophorus occidentalis,Aves,1225.475,3,1,1,2,3
Aegialomys galapagoensis,Mammalia,63.51,NA,2,3,1,1
Aegialomys xanthaeolus,Mammalia,79.79,NA,2,5,1,1
Aegithalos caudatus,Aves,8.6,9.9,1,9,2,4
Aegithalos concinnus,Aves,6.175,4.2,1,7,2,4
Aegithalos fuliginosus,Aves,6.325,NA,1,2,2,5
Aegithalos iouschistos,Aves,7.125,4.5,1,4,2,4
Aegithalos leucogenys,Aves,6.85,6.3,1,3,2,4
Aegithalos niveogularis,Aves,7.65,4.25,1,2,2,4
Aegithina lafresnayei,Aves,11.96,3,1,1,2,4
Aegithina nigrolutea,Aves,11.915,2.4,1,2,2,4
Aegithina tiphia,Aves,12.25,2.9,1,8,2,4
Aegithina viridissima,Aves,13.4625,2,1,2,2,4
Aegolius acadicus,Aves,98.1575,5.5,2,5,2,3
Aegolius funereus,Aves,134.34,5.145,2,3,2,3
Aegolius harrisii,Aves,119.875,3,2,7,2,5
Aegolius ridgwayi,Aves,80,5.5,2,1,2,3
Aegotheles affinis,Aves,47.25,NA,NA,1,2,NA
Aegotheles albertisi,Aves,36.15,NA,2,3,2,4
Aegotheles archboldi,Aves,31.7,NA,2,1,2,4
Aegotheles bennettii,Aves,53.625,NA,2,1,2,4
Aegotheles crinifrons,Aves,136,NA,2,3,2,4
Aegotheles cristatus,Aves,43.4525,3.265,2,3,2,4
Aegotheles insignis,Aves,79,NA,2,1,2,4
Aegotheles savesi,Aves,59.38,NA,2,2,2,4
Aegotheles tatei,Aves,52,NA,2,1,2,4
Aegotheles wallacii,Aves,50.115,NA,2,2,2,4
Aegypius monachus,Aves,9472.775,1,1,4,2,3
Aepeomys lugens,Mammalia,37,NA,2,3,1,1
Aepeomys reigi,Mammalia,37,NA,2,3,1,1
Aepyceros melampus,Mammalia,52500.08,0.99,2,3,1,1
Aepypodius arfakianus,Aves,1475.775,20,1,1,2,5
Aepypodius bruijnii,Aves,192,NA,1,2,2,5
Aepyprymnus rufescens,Mammalia,2820,1.0225,2,3,1,1
Aeretes melanopterus,Mammalia,499.8322129,NA,2,1,1,1
Aerodramus bartschi,Aves,7.325,NA,NA,4,2,NA
Aerodramus brevirostris,Aves,12.5,2,NA,4,2,NA
Aerodramus elaphrus,Aves,11.3,1.5,NA,6,2,NA
Aerodramus francicus,Aves,9.275,2,NA,6,2,NA
Aerodramus fuciphagus,Aves,10.7,2,NA,8,2,NA
Aerodramus hirundinaceus,Aves,10.1,1,NA,3,2,NA
Aerodramus infuscatus,Aves,11.66911765,NA,NA,3,2,NA
Aerodramus inquietus,Aves,11.66911765,2,NA,2,2,NA
Aerodramus leucophaeus,Aves,11.66911765,NA,NA,3,2,NA
Aerodramus maximus,Aves,16.8,1,NA,3,2,NA
Aerodramus mearnsi,Aves,11.4,NA,NA,4,2,NA
Aerodramus nuditarsus,Aves,11.66911765,NA,NA,1,2,NA
Aerodramus orientalis,Aves,11.66911765,NA,NA,1,2,NA
Aerodramus papuensis,Aves,20.15,NA,NA,3,2,NA
Aerodramus pelewensis,Aves,11.66911765,1,NA,3,2,NA
Aerodramus salangana,Aves,10.05,2,NA,3,2,NA
Aerodramus sawtelli,Aves,8.6,2,NA,4,2,NA
Aerodramus spodiopygius,Aves,9.3,1.7,NA,4,2,NA
Aerodramus terraereginae,Aves,11.875,1,NA,4,2,NA
Aerodramus unicolor,Aves,11.7,2,NA,4,2,NA
Aerodramus vanikorensis,Aves,10.675,1.4,NA,4,2,NA
Aerodramus vulcanorum,Aves,12.625,2,NA,2,2,NA
Aerodramus whiteheadi,Aves,14,NA,NA,1,2,NA
Aeromys tephromelas,Mammalia,1187,1.0525,2,1,1,1
Aeromys thomasi,Mammalia,1430.19,NA,2,2,1,1
Aeronautes andecolus,Aves,17.1125,NA,1,1,2,4
Aeronautes montivagus,Aves,20.12,NA,1,3,2,4
Aeronautes saxatalis,Aves,32.025,4.35,1,5,2,4
Aethalops aequalis,Mammalia,15,0.995,2,3,2,2
Aethalops alecto,Mammalia,15,0.99,2,1,2,2
Aethia cristatella,Aves,261.68,1,1,13,2,4
Aethia psittacula,Aves,271.49,1,1,12,2,4
Aethia pusilla,Aves,84.495,1,1,12,2,4
Aethia pygmaea,Aves,115.75,1,1,12,2,4
Aethomys bocagei,Mammalia,71.87194402,NA,2,3,1,1
Aethomys chrysophilus,Mammalia,79.7,3.2175,2,6,1,1
Aethomys granti,Mammalia,40,NA,2,2,1,1
Aethomys hindei,Mammalia,103.5,2.475,2,3,1,1
Aethomys ineptus,Mammalia,133.16,3.345,2,3,1,1
Aethomys kaiseri,Mammalia,90,2.95,2,4,1,1
Aethomys namaquensis,Mammalia,57.3,3.62,2,9,1,1
Aethomys nyikae,Mammalia,77.0125,3.56,2,1,1,1
Aethomys silindensis,Mammalia,83.12293201,NA,2,2,1,1
Aethomys stannarius,Mammalia,83.19293201,NA,2,3,1,1
Aethomys thomasi,Mammalia,84.69,2.9,2,1,1,1
Aethopyga bella,Aves,4.05,2,1,4,2,5
Aethopyga boltoni,Aves,7.145,NA,1,2,2,5
Aethopyga christinae,Aves,5.225,NA,1,1,2,5
Aethopyga duyvenbodei,Aves,6.03,NA,1,3,2,5
Aethopyga eximia,Aves,6.03,NA,1,3,2,5
Aethopyga flagrans,Aves,6.7375,NA,1,1,2,5
Aethopyga gouldiae,Aves,5.5625,NA,1,5,2,5
Aethopyga ignicauda,Aves,8.2125,NA,1,2,2,5
Aethopyga linaraborae,Aves,7.525,NA,1,1,2,5
Aethopyga mystacalis,Aves,6,NA,1,2,2,5
Aethopyga nipalensis,Aves,6.6125,2,1,7,2,5
Aethopyga primigenia,Aves,6.95,NA,1,1,2,5
Aethopyga pulcherrima,Aves,6.1375,NA,1,3,2,5
Aethopyga saturata,Aves,5.225,NA,1,4,2,2
Aethopyga shelleyi,Aves,4.05,2,1,4,2,5
Aethopyga siparaja,Aves,6.8,2,1,6,2,5
Afropavo congensis,Aves,1211.45,2.7,1,1,2,4
Afrotis afra,Aves,689,1.4,NA,4,2,NA
Afrotis afraoides,Aves,722.5,1.4,NA,4,2,NA
Agamia agami,Aves,565.995,2.8,1,4,2,3
Agapornis canus,Aves,29.9,4,1,6,2,5
Agapornis fischeri,Aves,48.3,5.5,1,3,2,1
Agapornis lilianae,Aves,37.3,5.7,1,4,2,1
Agapornis nigrigenis,Aves,40.475,4.9,1,3,2,1
Agapornis personatus,Aves,52.44,5.5,1,1,2,1
Agapornis pullarius,Aves,39.4,4.5,1,4,2,1
Agapornis roseicollis,Aves,54.04,5,1,3,2,1
Agapornis swindernianus,Aves,39.99,NA,1,2,2,5
Agapornis taranta,Aves,57.49,5,1,4,2,5
Agelaioides badius,Aves,44.375,NA,1,6,2,4
Agelaius assimilis,Aves,50.84,3.29,1,3,2,1
Agelaius humeralis,Aves,36.32,3.5,1,4,2,1
Agelaius phoeniceus,Aves,52.39,3.3,1,3,2,5
Agelaius tricolor,Aves,57.21,3.25,1,2,2,4
Agelaius xanthomus,Aves,38.4,3,1,4,2,4
Agelastes meleagrides,Aves,815,12,1,3,2,4
Agelastes niger,Aves,699.995,NA,1,1,2,4
Agelasticus cyanopus,Aves,34.755,3,1,1,2,1
Agelasticus thilius,Aves,31.6,3,1,4,2,5
Agelasticus xanthophthalmus,Aves,45.1,NA,1,1,2,4
Aglaeactis aliciae,Aves,7.8,NA,1,1,2,2
Aglaeactis castelnaudii,Aves,6.7,NA,1,2,2,2
Aglaeactis cupripennis,Aves,7.6,2,1,2,2,2
Aglaeactis pamela,Aves,5.5,NA,1,2,2,2
Aglaiocercus berlepschi,Aves,4.935,NA,1,2,2,2
Aglaiocercus coelestis,Aves,5.655,NA,1,2,2,2
Aglaiocercus kingii,Aves,4.9,NA,NA,4,2,NA
Agriornis albicauda,Aves,53,NA,1,5,2,3
Agriornis lividus,Aves,99.125,2.8,1,2,2,3
Agriornis micropterus,Aves,67.72,3.5,1,6,2,3
Agriornis montanus,Aves,63.475,2.4,1,7,2,5
Agriornis murinus,Aves,29.8875,3,1,4,2,3
Ailuroedus buccoides,Aves,138,1,1,1,2,5
Ailuroedus crassirostris,Aves,206.16,2,1,4,2,2
Ailuroedus melanotis,Aves,189.445,2,1,3,2,2
Ailuropoda melanoleuca,Mammalia,117500,1.58,2,2,1,1
Ailurops melanotis,Mammalia,8500,1.5,1,1,1,1
Ailurops ursinus,Mammalia,10000,1.5,1,4,1,1
Ailurus fulgens,Mammalia,4900,1.85,2,1,1,1
Aimophila notosticta,Aves,27.1,NA,1,2,2,4
Aimophila rufescens,Aves,34.1125,2.45,1,4,2,4
Aimophila ruficeps,Aves,18.72,3.725,1,3,2,5
Aix galericulata,Aves,563.52,10.5,1,4,2,1
Aix sponsa,Aves,657.545,11.8,1,4,2,1
Akodon aerosus,Mammalia,59.99,5,2,4,1,4
Akodon affinis,Mammalia,24.89,NA,2,2,1,4
Akodon albiventer,Mammalia,25.95,NA,2,3,1,4
Akodon aliquantulus,Mammalia,26.725,4.18,2,1,1,4
Akodon azarae,Mammalia,25,4.455,2,2,1,4
Akodon bogotensis,Mammalia,12.99,NA,2,NA,1,4
Akodon boliviensis,Mammalia,27.5,4.52,2,2,1,4
Akodon budini,Mammalia,26.9,NA,2,1,1,4
Akodon cursor,Mammalia,39.84,3,2,1,1,4
Akodon dayi,Mammalia,32.5,3,2,1,1,4
Akodon dolores,Mammalia,50.49,3.89,2,1,1,4
Akodon fumeus,Mammalia,22.7,NA,2,3,1,4
Akodon iniscatus,Mammalia,28.7,NA,2,4,1,4
Akodon juninensis,Mammalia,38.99,NA,2,3,1,4
Akodon kofordi,Mammalia,29.49,NA,2,3,1,4
Akodon latebricola,Mammalia,38.99,NA,2,NA,1,4
Akodon leucolimnaeus,Mammalia,27.5,4.18,2,1,1,4
Akodon lindberghi,Mammalia,26.4,NA,2,1,1,4
Akodon lutescens,Mammalia,20.69,NA,2,6,1,4
Akodon mimus,Mammalia,23.99,NA,2,4,1,4
Akodon molinae,Mammalia,33,3.77,2,4,1,4
Akodon mollis,Mammalia,30.39,NA,2,5,1,4
Akodon montensis,Mammalia,34.65,3,2,2,1,4
Akodon mystax,Mammalia,28.3,NA,2,2,1,4
Akodon neocenus,Mammalia,42.39,3,2,2,1,4
Akodon oenos,Mammalia,32.51675676,3,2,2,1,4
Akodon orophilus,Mammalia,38.99,NA,2,5,1,4
Akodon paranaensis,Mammalia,31.32,NA,2,2,1,4
Akodon pervalens,Mammalia,32.51675676,3,2,2,1,4
Akodon philipmyersi,Mammalia,23,NA,NA,1,1,NA
Akodon reigi,Mammalia,31.32,NA,2,1,1,4
Akodon sanctipaulensis,Mammalia,27.1,NA,2,NA,1,4
Akodon serrensis,Mammalia,28.3,NA,2,1,1,4
Akodon siberiae,Mammalia,34.6,NA,2,1,1,4
Akodon simulator,Mammalia,42.5,3,2,3,1,4
Akodon spegazzinii,Mammalia,28.6,4.18,2,3,1,4
Akodon subfuscus,Mammalia,30.39,4.18,2,3,1,4
Akodon surdus,Mammalia,38.99,NA,2,1,1,4
Akodon sylvanus,Mammalia,38.99,3,2,2,1,4
Akodon toba,Mammalia,51.2,3,2,1,1,4
Akodon torques,Mammalia,38.99,NA,2,4,1,4
Akodon varius,Mammalia,40,3,2,2,1,4
Alaemon alaudipes,Aves,41.6725,2.69,1,3,2,4
Alaemon hamertoni,Aves,40.5,NA,1,1,2,4
Alauda arvensis,Aves,37.405,3.43,1,13,2,1
Alauda gulgula,Aves,26.3,NA,1,8,2,5
Alauda japonica,Aves,31.75,NA,1,NA,2,1
Alauda razae,Aves,21.95,3,1,3,2,5
Alca torda,Aves,722.995,1,1,12,2,3
Alcedo atthis,Aves,31.245,6.5,1,14,2,3
Alcedo coerulescens,Aves,27.59,NA,1,8,2,4
Alcedo euryzona,Aves,42.99,NA,1,4,2,3
Alcedo hercules,Aves,27.59,NA,1,2,2,3
Alcedo meninting,Aves,19.985,NA,1,6,2,3
Alcedo peninsulae,Aves,32.56571429,NA,NA,4,2,NA
Alcedo quadribrachys,Aves,34.9,5.5,1,18,2,3
Alcedo semitorquata,Aves,43.66,3.5,1,10,2,3
Alcelaphus buselaphus,Mammalia,160937.9,1,1,8,1,1
Alces alces,Mammalia,356998.16,1.27,2,4,1,1
Alces americanus,Mammalia,541460.4,1.135,2,NA,1,1
Alcippe brunnea,Aves,17.465,NA,1,NA,2,4
Alcippe brunneicauda,Aves,14.3,NA,1,3,2,4
Alcippe castaneceps,Aves,13.25,NA,1,NA,2,4
Alcippe chrysotis,Aves,5.5,NA,1,NA,2,5
Alcippe cinerea,Aves,11,NA,1,NA,2,4
Alcippe cinereiceps,Aves,10,NA,1,NA,2,4
Alcippe danisi,Aves,13.16,NA,1,NA,2,4
Alcippe dubia,Aves,15.33,NA,1,NA,2,4
Alcippe formosana,Aves,10,NA,1,NA,2,4
Alcippe grotei,Aves,14.525,NA,1,2,2,4
Alcippe klossi,Aves,13.25,NA,1,NA,2,4
Alcippe ludlowi,Aves,10.5,NA,1,NA,2,4
Alcippe manipurensis,Aves,10,NA,1,NA,2,4
Alcippe morrisonia,Aves,15.18,NA,1,3,2,4
Alcippe nipalensis,Aves,15.8,3.5,1,3,2,2
Alcippe peracensis,Aves,14.525,NA,1,1,2,4
Alcippe poioicephala,Aves,20.6,NA,1,5,2,4
Alcippe pyrrhoptera,Aves,13.16,NA,1,2,2,4
Alcippe ruficapilla,Aves,13.16,NA,1,NA,2,4
Alcippe rufogularis,Aves,13.16,NA,1,NA,2,4
Alcippe striaticollis,Aves,13.16,NA,1,NA,2,4
Alcippe variegaticeps,Aves,13.16,NA,1,NA,2,4
Alcippe vinipectus,Aves,11.95,NA,1,NA,2,4
Aleadryas rufinucha,Aves,40.5,NA,1,2,2,4
Alectoris barbara,Aves,417.415,12,1,4,2,1
Alectoris chukar,Aves,518.8,11.25,1,2,2,1
Alectoris graeca,Aves,595.805,11,1,2,2,1
Alectoris magna,Aves,559.425,11,1,2,2,1
Alectoris melanocephala,Aves,669.375,6.65,1,5,2,1
Alectoris philbyi,Aves,441,6.3,1,3,2,1
Alectoris rufa,Aves,521.93,12,1,5,2,1
Alectroenas madagascariensis,Aves,170.125,1,1,5,2,2
Alectroenas pulcherrimus,Aves,165,NA,NA,2,2,NA
Alectroenas sganzini,Aves,158.25,NA,1,3,2,2
Alectrurus risora,Aves,25,3,1,4,2,4
Alectrurus tricolor,Aves,16,NA,1,3,2,4
Alectura lathami,Aves,2331.53,14.78,1,4,2,1
Alethe castanea,Aves,32.45,2,NA,1,2,NA
Alethe choloensis,Aves,41.3,NA,1,NA,2,4
Alethe diademata,Aves,31.72,2,1,1,2,4
Alethe fuelleborni,Aves,52,NA,1,NA,2,4
Alethe poliocephala,Aves,32.37,NA,1,NA,2,4
Alethe poliophrys,Aves,35.2,NA,1,NA,2,4
Alionycteris paucidentata,Mammalia,16.24,NA,2,1,2,2
Alipiopsitta xanthops,Aves,246.135,NA,1,2,2,5
Alisterus amboinensis,Aves,153.25,2,1,3,2,1
Alisterus chloropterus,Aves,156,3,1,2,2,5
Alisterus scapularis,Aves,232.38,4.35,1,9,2,1
Allactaga balikunica,Mammalia,82.79,2.52,2,2,1,1
Allactaga bullata,Mammalia,80.925,2.52,2,2,1,1
Allactaga elater,Mammalia,59,4.485,2,2,1,1
Allactaga euphratica,Mammalia,232,4.995,2,2,1,1
Allactaga firouzi,Mammalia,103.293227,NA,2,2,1,1
Allactaga hotsoni,Mammalia,76.5,NA,2,4,1,1
Allactaga major,Mammalia,350,3.6175,2,2,1,1
Allactaga severtzovi,Mammalia,159,3.93,2,NA,1,1
Allactaga sibirica,Mammalia,97.5,3.44,2,2,1,4
Allactaga tetradactyla,Mammalia,52,NA,2,2,1,1
Allactaga vinogradovi,Mammalia,61.83099239,4.5,2,1,1,1
Allactaga williamsi,Mammalia,116.74,5,2,1,1,1
Allactodipus bobrinskii,Mammalia,65.15,5.15,2,1,1,1
Alle alle,Aves,170.365,1,1,12,2,4
Allenopithecus nigroviridis,Mammalia,4749.96,1.005,1,2,1,5
