ebird_COMMON_NAME,ebird_SCIENTIFIC_NAME,order,family,TipLabel
Common Ostrich,Struthio camelus,Struthioniformes,Struthionidae (Ostriches),Struthio_camelus
Somali Ostrich,Struthio molybdophanes,Struthioniformes,Struthionidae (Ostriches),NA
Greater Rhea,Rhea americana,Rheiformes,Rheidae (Rheas),Rhea_americana
Lesser Rhea,Rhea pennata,Rheiformes,Rheidae (Rheas),Rhea_pennata
Tawny-breasted Tinamou,Nothocercus julius,Tinamiformes,Tinamidae (Tinamous),Nothocercus_julius
Highland Tinamou,Nothocercus bonapartei,Tinamiformes,Tinamidae (Tinamous),Nothocercus_bonapartei
Hooded Tinamou,Nothocercus nigrocapillus,Tinamiformes,Tinamidae (Tinamous),Nothocercus_nigrocapillus
Gray Tinamou,Tinamus tao,Tinamiformes,Tinamidae (Tinamous),Tinamus_tao
Solitary Tinamou,Tinamus solitarius,Tinamiformes,Tinamidae (Tinamous),Tinamus_solitarius
Black Tinamou,Tinamus osgoodi,Tinamiformes,Tinamidae (Tinamous),Tinamus_osgoodi
Great Tinamou,Tinamus major,Tinamiformes,Tinamidae (Tinamous),Tinamus_major
White-throated Tinamou,Tinamus guttatus,Tinamiformes,Tinamidae (Tinamous),Tinamus_guttatus
Cinereous Tinamou,Crypturellus cinereus,Tinamiformes,Tinamidae (Tinamous),Crypturellus_cinereus
Berlepsch's Tinamou,Crypturellus berlepschi,Tinamiformes,Tinamidae (Tinamous),Crypturellus_berlepschi
Little Tinamou,Crypturellus soui,Tinamiformes,Tinamidae (Tinamous),Crypturellus_soui
Tepui Tinamou,Crypturellus ptaritepui,Tinamiformes,Tinamidae (Tinamous),Crypturellus_ptaritepui
Brown Tinamou,Crypturellus obsoletus,Tinamiformes,Tinamidae (Tinamous),Crypturellus_obsoletus
Undulated Tinamou,Crypturellus undulatus,Tinamiformes,Tinamidae (Tinamous),Crypturellus_undulatus
Pale-browed Tinamou,Crypturellus transfasciatus,Tinamiformes,Tinamidae (Tinamous),Crypturellus_transfasciatus
Brazilian Tinamou,Crypturellus strigulosus,Tinamiformes,Tinamidae (Tinamous),Crypturellus_strigulosus
Gray-legged Tinamou,Crypturellus duidae,Tinamiformes,Tinamidae (Tinamous),Crypturellus_duidae
Red-legged Tinamou,Crypturellus erythropus,Tinamiformes,Tinamidae (Tinamous),Crypturellus_erythropus
Yellow-legged Tinamou,Crypturellus noctivagus,Tinamiformes,Tinamidae (Tinamous),Crypturellus_noctivagus
Black-capped Tinamou,Crypturellus atrocapillus,Tinamiformes,Tinamidae (Tinamous),Crypturellus_atrocapillus
Slaty-breasted Tinamou,Crypturellus boucardi,Tinamiformes,Tinamidae (Tinamous),Crypturellus_boucardi
Choco Tinamou,Crypturellus kerriae,Tinamiformes,Tinamidae (Tinamous),Crypturellus_kerriae
Variegated Tinamou,Crypturellus variegatus,Tinamiformes,Tinamidae (Tinamous),Crypturellus_variegatus
Thicket Tinamou,Crypturellus cinnamomeus,Tinamiformes,Tinamidae (Tinamous),Crypturellus_cinnamomeus
Rusty Tinamou,Crypturellus brevirostris,Tinamiformes,Tinamidae (Tinamous),Crypturellus_brevirostris
Bartlett's Tinamou,Crypturellus bartletti,Tinamiformes,Tinamidae (Tinamous),Crypturellus_bartletti
Small-billed Tinamou,Crypturellus parvirostris,Tinamiformes,Tinamidae (Tinamous),Crypturellus_parvirostris
Barred Tinamou,Crypturellus casiquiare,Tinamiformes,Tinamidae (Tinamous),Crypturellus_casiquiare
Tataupa Tinamou,Crypturellus tataupa,Tinamiformes,Tinamidae (Tinamous),Crypturellus_tataupa
Red-winged Tinamou,Rhynchotus rufescens,Tinamiformes,Tinamidae (Tinamous),Rhynchotus_rufescens
Huayco Tinamou,Rhynchotus maculicollis,Tinamiformes,Tinamidae (Tinamous),Rhynchotus_maculicollis
Taczanowski's Tinamou,Nothoprocta taczanowskii,Tinamiformes,Tinamidae (Tinamous),Nothoprocta_taczanowskii
Ornate Tinamou,Nothoprocta ornata,Tinamiformes,Tinamidae (Tinamous),Nothoprocta_ornata
Chilean Tinamou,Nothoprocta perdicaria,Tinamiformes,Tinamidae (Tinamous),Nothoprocta_perdicaria
Brushland Tinamou,Nothoprocta cinerascens,Tinamiformes,Tinamidae (Tinamous),Nothoprocta_cinerascens
Andean Tinamou,Nothoprocta pentlandii,Tinamiformes,Tinamidae (Tinamous),Nothoprocta_pentlandii
Curve-billed Tinamou,Nothoprocta curvirostris,Tinamiformes,Tinamidae (Tinamous),Nothoprocta_curvirostris
White-bellied Nothura,Nothura boraquira,Tinamiformes,Tinamidae (Tinamous),Nothura_boraquira
Lesser Nothura,Nothura minor,Tinamiformes,Tinamidae (Tinamous),Nothura_minor
Darwin's Nothura,Nothura darwinii,Tinamiformes,Tinamidae (Tinamous),Nothura_darwinii
Spotted Nothura,Nothura maculosa,Tinamiformes,Tinamidae (Tinamous),Nothura_maculosa
Chaco Nothura,Nothura chacoensis,Tinamiformes,Tinamidae (Tinamous),Nothura_chacoensis
Dwarf Tinamou,Taoniscus nanus,Tinamiformes,Tinamidae (Tinamous),Taoniscus_nanus
Elegant Crested-Tinamou,Eudromia elegans,Tinamiformes,Tinamidae (Tinamous),Eudromia_elegans
Quebracho Crested-Tinamou,Eudromia formosa,Tinamiformes,Tinamidae (Tinamous),Eudromia_formosa
Puna Tinamou,Tinamotis pentlandii,Tinamiformes,Tinamidae (Tinamous),Tinamotis_pentlandii
Patagonian Tinamou,Tinamotis ingoufi,Tinamiformes,Tinamidae (Tinamous),Tinamotis_ingoufi
Southern Cassowary,Casuarius casuarius,Casuariiformes,Casuariidae (Cassowaries and Emu),Casuarius_casuarius
Dwarf Cassowary,Casuarius bennetti,Casuariiformes,Casuariidae (Cassowaries and Emu),Casuarius_bennetti
Northern Cassowary,Casuarius unappendiculatus,Casuariiformes,Casuariidae (Cassowaries and Emu),Casuarius_unappendiculatus
Emu,Dromaius novaehollandiae,Casuariiformes,Casuariidae (Cassowaries and Emu),Dromaius_novaehollandiae
Southern Brown Kiwi,Apteryx australis,Apterygiformes,Apterygidae (Kiwis),Apteryx_australis
Okarito Brown Kiwi,Apteryx rowi,Apterygiformes,Apterygidae (Kiwis),NA
North Island Brown Kiwi,Apteryx mantelli,Apterygiformes,Apterygidae (Kiwis),Apteryx_mantelli
Little Spotted Kiwi,Apteryx owenii,Apterygiformes,Apterygidae (Kiwis),Apteryx_owenii
Great Spotted Kiwi,Apteryx haastii,Apterygiformes,Apterygidae (Kiwis),Apteryx_haastii
Horned Screamer,Anhima cornuta,Anseriformes,Anhimidae (Screamers),Anhima_cornuta
Southern Screamer,Chauna torquata,Anseriformes,Anhimidae (Screamers),Chauna_torquata
Northern Screamer,Chauna chavaria,Anseriformes,Anhimidae (Screamers),Chauna_chavaria
Magpie Goose,Anseranas semipalmata,Anseriformes,Anseranatidae (Magpie Goose),Anseranas_semipalmata
Spotted Whistling-Duck,Dendrocygna guttata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna_guttata
Plumed Whistling-Duck,Dendrocygna eytoni,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna_eytoni
White-faced Whistling-Duck,Dendrocygna viduata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna_viduata
Black-bellied Whistling-Duck,Dendrocygna autumnalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna_autumnalis
West Indian Whistling-Duck,Dendrocygna arborea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna_arborea
Fulvous Whistling-Duck,Dendrocygna bicolor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna_bicolor
Wandering Whistling-Duck,Dendrocygna arcuata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna_arcuata
Lesser Whistling-Duck,Dendrocygna javanica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Dendrocygna_javanica
White-backed Duck,Thalassornis leuconotus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Thalassornis_leuconotus
Bar-headed Goose,Anser indicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser_indicus
Emperor Goose,Anser canagicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Chen_canagica
Snow Goose,Anser caerulescens,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Chen_caerulescens
Ross's Goose,Anser rossii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Chen_rossii
Graylag Goose,Anser anser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser_anser
Swan Goose,Anser cygnoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser_cygnoides
Greater White-fronted Goose,Anser albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser_albifrons
Lesser White-fronted Goose,Anser erythropus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser_erythropus
Taiga Bean-Goose,Anser fabalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser_fabalis
Tundra Bean-Goose,Anser serrirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA
Pink-footed Goose,Anser brachyrhynchus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anser_brachyrhynchus
Brant,Branta bernicla,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Branta_bernicla
Barnacle Goose,Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Branta_leucopsis
Cackling Goose,Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Branta_hutchinsii
Canada Goose,Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Branta_canadensis
Hawaiian Goose,Branta sandvicensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Branta_sandvicensis
Red-breasted Goose,Branta ruficollis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Branta_ruficollis
Cape Barren Goose,Cereopsis novaehollandiae,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cereopsis_novaehollandiae
Freckled Duck,Stictonetta naevosa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Stictonetta_naevosa
Blue-winged Goose,Cyanochen cyanoptera,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cyanochen_cyanoptera
Mute Swan,Cygnus olor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cygnus_olor
Black Swan,Cygnus atratus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cygnus_atratus
Black-necked Swan,Cygnus melancoryphus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cygnus_melancoryphus
Trumpeter Swan,Cygnus buccinator,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cygnus_buccinator
Tundra Swan,Cygnus columbianus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cygnus_columbianus
Whooper Swan,Cygnus cygnus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cygnus_cygnus
Coscoroba Swan,Coscoroba coscoroba,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Coscoroba_coscoroba
Knob-billed Duck,Sarkidiornis melanotos,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Sarkidiornis_melanotos
Comb Duck,Sarkidiornis sylvicola,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Sarkidiornis_melanotos
Hartlaub's Duck,Pteronetta hartlaubii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Pteronetta_hartlaubii
Orinoco Goose,Oressochen jubatus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Neochen_jubata
Andean Goose,Oressochen melanopterus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Chloephaga_melanoptera
Upland Goose,Chloephaga picta,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Chloephaga_picta
Kelp Goose,Chloephaga hybrida,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Chloephaga_hybrida
Ashy-headed Goose,Chloephaga poliocephala,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Chloephaga_poliocephala
Ruddy-headed Goose,Chloephaga rubidiceps,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Chloephaga_rubidiceps
Radjah Shelduck,Radjah radjah,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Tadorna_radjah
Egyptian Goose,Alopochen aegyptiaca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Alopochen_aegyptiaca
Ruddy Shelduck,Tadorna ferruginea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Tadorna_ferruginea
South African Shelduck,Tadorna cana,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Tadorna_cana
Australian Shelduck,Tadorna tadornoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Tadorna_tadornoides
Paradise Shelduck,Tadorna variegata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Tadorna_variegata
Common Shelduck,Tadorna tadorna,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Tadorna_tadorna
Crested Shelduck,Tadorna cristata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA
Spur-winged Goose,Plectropterus gambensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Plectropterus_gambensis
Flying Steamer-Duck,Tachyeres patachonicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Tachyeres_patachonicus
Flightless Steamer-Duck,Tachyeres pteneres,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Tachyeres_pteneres
Falkland Steamer-Duck,Tachyeres brachypterus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Tachyeres_brachypterus
White-headed Steamer-Duck,Tachyeres leucocephalus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Tachyeres_leucocephalus
Crested Duck,Lophonetta specularioides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Lophonetta_specularioides
Spectacled Duck,Speculanas specularis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Speculanas_specularis
Muscovy Duck,Cairina moschata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cairina_moschata
Green Pygmy-Goose,Nettapus pulchellus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Nettapus_pulchellus
Cotton Pygmy-Goose,Nettapus coromandelianus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Nettapus_coromandelianus
African Pygmy-Goose,Nettapus auritus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Nettapus_auritus
Ringed Teal,Callonetta leucophrys,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Callonetta_leucophrys
Wood Duck,Aix sponsa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aix_sponsa
Mandarin Duck,Aix galericulata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aix_galericulata
Maned Duck,Chenonetta jubata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Chenonetta_jubata
Brazilian Teal,Amazonetta brasiliensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Amazonetta_brasiliensis
Blue Duck,Hymenolaimus malacorhynchos,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Hymenolaimus_malacorhynchos
Torrent Duck,Merganetta armata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Merganetta_armata
Salvadori's Teal,Salvadorina waigiuensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Salvadorina_waigiuensis
Baikal Teal,Sibirionetta formosa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_formosa
Garganey,Spatula querquedula,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_querquedula
Hottentot Teal,Spatula hottentota,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_hottentota
Silver Teal,Spatula versicolor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_versicolor
Puna Teal,Spatula puna,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_puna
Blue-winged Teal,Spatula discors,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_discors
Cinnamon Teal,Spatula cyanoptera,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_cyanoptera
Red Shoveler,Spatula platalea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_platalea
Cape Shoveler,Spatula smithii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_smithii
Australian Shoveler,Spatula rhynchotis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_rhynchotis
Northern Shoveler,Spatula clypeata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_clypeata
Gadwall,Mareca strepera,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_strepera
Falcated Duck,Mareca falcata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_falcata
Eurasian Wigeon,Mareca penelope,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_penelope
American Wigeon,Mareca americana,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_americana
Chiloe Wigeon,Mareca sibilatrix,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_sibilatrix
African Black Duck,Anas sparsa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_sparsa
Yellow-billed Duck,Anas undulata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_undulata
Meller's Duck,Anas melleri,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_melleri
Pacific Black Duck,Anas superciliosa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_superciliosa
Laysan Duck,Anas laysanensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_laysanensis
Hawaiian Duck,Anas wyvilliana,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_wyvilliana
Philippine Duck,Anas luzonica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_luzonica
Indian Spot-billed Duck,Anas poecilorhyncha,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_poecilorhyncha
Eastern Spot-billed Duck,Anas zonorhyncha,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA
Mallard,Anas platyrhynchos,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_platyrhynchos
Mexican Duck,Anas diazi,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA
American Black Duck,Anas rubripes,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_rubripes
Mottled Duck,Anas fulvigula,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_fulvigula
Cape Teal,Anas capensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_capensis
White-cheeked Pintail,Anas bahamensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_bahamensis
Red-billed Duck,Anas erythrorhyncha,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_erythrorhyncha
Northern Pintail,Anas acuta,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_acuta
Eaton's Pintail,Anas eatoni,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_eatoni
Yellow-billed Pintail,Anas georgica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_georgica
Green-winged Teal,Anas crecca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_crecca
Andean Teal,Anas andium,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_andium
Yellow-billed Teal,Anas flavirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_flavirostris
Andaman Teal,Anas albogularis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA
Sunda Teal,Anas gibberifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_gibberifrons
Gray Teal,Anas gracilis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_gracilis
Chestnut Teal,Anas castanea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_castanea
Bernier's Teal,Anas bernieri,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_bernieri
Auckland Islands Teal,Anas aucklandica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_aucklandica
Campbell Islands Teal,Anas nesiotis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_nesiotis
Brown Teal,Anas chlorotis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_chlorotis
Pink-eared Duck,Malacorhynchus membranaceus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Malacorhynchus_membranaceus
Marbled Teal,Marmaronetta angustirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Marmaronetta_angustirostris
Pink-headed Duck,Rhodonessa caryophyllacea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA
White-winged Duck,Asarcornis scutulata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cairina_scutulata
Red-crested Pochard,Netta rufina,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Netta_rufina
Southern Pochard,Netta erythrophthalma,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Netta_erythrophthalma
Rosy-billed Pochard,Netta peposaca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Netta_peposaca
Canvasback,Aythya valisineria,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aythya_valisineria
Redhead,Aythya americana,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aythya_americana
Common Pochard,Aythya ferina,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aythya_ferina
Ring-necked Duck,Aythya collaris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aythya_collaris
Ferruginous Duck,Aythya nyroca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aythya_nyroca
Madagascar Pochard,Aythya innotata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aythya_innotata
Baer's Pochard,Aythya baeri,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aythya_baeri
Hardhead,Aythya australis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aythya_australis
Tufted Duck,Aythya fuligula,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aythya_fuligula
New Zealand Scaup,Aythya novaeseelandiae,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aythya_novaeseelandiae
Greater Scaup,Aythya marila,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aythya_marila
Lesser Scaup,Aythya affinis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aythya_affinis
Steller's Eider,Polysticta stelleri,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Polysticta_stelleri
Spectacled Eider,Somateria fischeri,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Somateria_fischeri
King Eider,Somateria spectabilis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Somateria_spectabilis
Common Eider,Somateria mollissima,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Somateria_mollissima
Harlequin Duck,Histrionicus histrionicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Histrionicus_histrionicus
Labrador Duck,Camptorhynchus labradorius,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA
Surf Scoter,Melanitta perspicillata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Melanitta_perspicillata
Velvet Scoter,Melanitta fusca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Melanitta_fusca
White-winged Scoter,Melanitta deglandi,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Melanitta_fusca
Common Scoter,Melanitta nigra,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Melanitta_nigra
Black Scoter,Melanitta americana,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Melanitta_nigra
Long-tailed Duck,Clangula hyemalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Clangula_hyemalis
Bufflehead,Bucephala albeola,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Bucephala_albeola
Common Goldeneye,Bucephala clangula,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Bucephala_clangula
Barrow's Goldeneye,Bucephala islandica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Bucephala_islandica
Smew,Mergellus albellus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Mergellus_albellus
Hooded Merganser,Lophodytes cucullatus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Lophodytes_cucullatus
Auckland Islands Merganser,Mergus australis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA
Common Merganser,Mergus merganser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Mergus_merganser
Brazilian Merganser,Mergus octosetaceus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Mergus_octosetaceus
Red-breasted Merganser,Mergus serrator,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Mergus_serrator
Scaly-sided Merganser,Mergus squamatus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Mergus_squamatus
Black-headed Duck,Heteronetta atricapilla,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Heteronetta_atricapilla
Masked Duck,Nomonyx dominicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Nomonyx_dominicus
Ruddy Duck,Oxyura jamaicensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Oxyura_jamaicensis
Andean Duck,Oxyura ferruginea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA
White-headed Duck,Oxyura leucocephala,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Oxyura_leucocephala
Maccoa Duck,Oxyura maccoa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Oxyura_maccoa
Lake Duck,Oxyura vittata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Oxyura_vittata
Blue-billed Duck,Oxyura australis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Oxyura_australis
Musk Duck,Biziura lobata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Biziura_lobata
Australian Brushturkey,Alectura lathami,Galliformes,Megapodiidae (Megapodes),Alectura_lathami
Wattled Brushturkey,Aepypodius arfakianus,Galliformes,Megapodiidae (Megapodes),Aepypodius_arfakianus
Waigeo Brushturkey,Aepypodius bruijnii,Galliformes,Megapodiidae (Megapodes),Aepypodius_bruijnii
Red-billed Brushturkey,Talegalla cuvieri,Galliformes,Megapodiidae (Megapodes),Talegalla_cuvieri
Yellow-legged Brushturkey,Talegalla fuscirostris,Galliformes,Megapodiidae (Megapodes),Talegalla_fuscirostris
